,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
6216,riaru: kanzen naru kubinagaryû no hi,2014-03-26,"Romance, Fantastique",2h 07min,Kiyoshi Kurosawa,"Kiyoshi Kurosawa, Sachiko Tanaka","Takeru Satô, Haruka Ayase, Joe Odagiri",Japon,Condor Distribution,Box Office France,17584,"3,6","3,0",345562.0,0
6218,corbo,2015-09-02,Drame,1h 59min,Mathieu Denis,Mathieu Denis,"Anthony Therrien, Antoine L'Ecuyer, Karelle Tremblay",Canada,Océan Films,Box Office France,1428,"3,3","3,5",27448.0,0
6219,valentin valentin,2015-01-07,"Comédie, Policier",1h 46min,Pascal Thomas,"Pascal Thomas, Nathalie Lafaurie","Marilou Berry, Vincent Rottiers, Marie Gillain",France,SBS Distribution,Box Office France,31507,"3,0","2,1",382692.0,0
6220,einaym pkuhot,2009-09-02,Drame,1h 30min,Haim Tabakman,Merav Doster,"Zohar Strauss, Ran Danker, Ravit Rozen",Israël,Haut et Court,Box Office France,30846,"3,6","3,6",102900.0,Erreur lors de la requête API 2.
6221,ordinary people,2009-08-26,Drame,1h 20min,Vladimir Perišić,Vladimir Perišić,"Relja Popovic, Boris Isaković, Miroslav Stevanovic",France,Pyramide Distribution,Box Office France,2934,"3,3","2,3",14742.0,6000000
6222,duck duck goose,2018-08-15,"Animation, Aventure",1h 31min,Christopher Jenkins,"Rob Muir, Christopher Jenkins","Éric Antoine, Jim Gaffigan,  Zendaya",Chine,SND,Box Office France,123038,"2,7","2,4",352911.0,0
6223,i am not a witch,2017-12-27,Drame,1h 34min,Rungano Nyoni,Rungano Nyoni,"Margaret Mulubwa, Henry B.J. Phiri, Nancy Mulilo",Grande-Bretagne,Pyramide Distribution,Box Office France,15426,"3,6","3,4",164569.0,0
6224,malgré la nuit,2016-07-06,Drame,2h 36min,Philippe Grandrieux,"Philippe Grandrieux, Bertrand Schefer","Kristian Marr, Ariane Labed, Roxane Mesquida",France,Shellac,Box Office France,668,"2,7","2,5",89059.0,0
6226,"l'ami, françois d'assise et ses frères",2016-12-28,"Historique, Drame",1h 27min,Renaud Fely,"Arnaud Louvet, Arnaud Louvet, Renaud Fely","Jérémie Renier, Elio Germano, Yannick Renier",France,Haut et Court,Box Office France,16591,"3,2","3,1",209903.0,0
6227,gekijô-ban poketto monsutâ: kesshô-tô no teiô,2001-06-13,Animation,1h 31min,Michael Haigney,"Kunihiko Yuyama, Michael Haigney, Norman J. Grossfeld","Veronica Taylor, Ikue Ôtani, Eric Stuart",Japon,Warner Bros. France,Box Office France,54681,"2,6","2,7",625.0,Erreur lors de la requête API 2.
6228,j'ai faim !!!,2001-11-07,Comédie,1h 37min,Florence Quentin,Florence Quentin,"Catherine Jacob, Michèle Laroque, Garance Clavel",France,Gaumont Buena Vista International (GBVI),Box Office France,218247,"2,6","1,8",18253.0,0
6229,too much flesh,2001-02-07,"Drame, Erotique",1h 50min,Jean-Marc Barr,"Pascal Arnold, Pascal Arnold, Jean-Marc Barr","Stephnie Weir, Rosanna Arquette, Élodie Bouchez",France,Rezo Films,Box Office France,36493,"3,2","2,3",19804.0,0
6230,romaine par moins 30,2009-04-29,Comédie,1h 25min,Agnès Obadia,"Agnès Obadia, Lydia Decobert","Sandrine Kiberlain, Pascal Elbé, Elina Löwensohn",France,UGC Distribution,Box Office France,101329,"3,1","2,0",239857.0,0
6231,down in paris,2022-03-02,"Drame, Romance",1h 40min,Antony Hickling,"Antony Hickling, Pierre Guiho","Antony Hickling, Jean-Christophe Bouvet, Dominique Frot",France,Optimale Distribution,Box Office France,334,"3,0","2,6",6082.0,0
6232,eden à l'ouest,2009-02-11,Drame,1h 50min,Costa-Gavras," Costa-Gavras, Jean-Claude Grumberg","Riccardo Scamarcio, Eric Caravaca, Ulrich Tukur",France,Pathé,Box Office France,66019,"2,8","3,1",106030.0,0
