Week Number,Start Date,End Date,Bordeaux,Lille,Lyon,Paris,Moyenne
9,2012-02-29,2012-03-06,9.39,6.55,7.15,8.64,8.15
9,2013-02-27,2013-03-05,7.11,3.42,3.02,5.46,5.6
9,2014-02-26,2014-03-04,8.32,6.64,6.28,5.76,7.2
9,2015-02-25,2015-03-03,10.7,6.19,7.03,7.1,8.0
9,2016-03-02,2016-03-08,8.06,3.05,4.19,5.15,5.89
9,2017-03-01,2017-03-07,10.45,7.21,7.56,7.88,8.42
9,2018-02-28,2018-03-06,9.88,1.68,6.17,3.4,6.03
9,2019-02-27,2019-03-05,12.8,9.54,8.66,10.83,10.17
9,2020-02-26,2020-03-03,9.58,5.64,6.11,5.94,7.25
9,2021-03-03,2021-03-09,9.35,4.74,8.36,6.94,7.68
9,2022-03-02,2022-03-08,8.07,5.66,5.99,5.88,6.92
9,2023-03-01,2023-03-07,4.17,3.35,2.44,3.75,4.54
10,2010-03-10,2010-03-16,4.73,5.34,4.11,4.06,5.65
10,2011-03-09,2011-03-15,10.86,9.05,10.79,10.37,10.21
10,2012-03-07,2012-03-13,6.79,7.46,6.7,8.48,7.89
10,2013-03-06,2013-03-12,12.54,4.7,10.1,6.99,8.87
10,2014-03-05,2014-03-11,10.33,7.87,8.24,7.92,8.87
10,2015-03-04,2015-03-10,9.45,5.59,5.49,6.21,7.35
10,2016-03-09,2016-03-15,7.98,5.28,6.1,7.1,7.29
10,2017-03-08,2017-03-14,12.94,9.35,10.68,9.02,10.4
10,2018-03-07,2018-03-13,9.3,8.57,9.81,9.91,9.52
10,2019-03-06,2019-03-12,10.21,8.39,9.97,9.27,9.57
10,2020-03-04,2020-03-10,10.52,8.63,7.26,8.6,9.0
10,2021-03-10,2021-03-16,10.0,5.89,8.06,8.19,8.43
10,2022-03-09,2022-03-15,11.54,9.56,9.89,8.97,9.99
10,2023-03-08,2023-03-14,12.82,6.41,10.73,12.23,10.44
11,2010-03-17,2010-03-23,11.8,11.11,10.59,11.43,11.19
11,2011-03-16,2011-03-22,11.52,6.96,9.41,9.41,9.66
11,2012-03-14,2012-03-20,10.61,8.8,10.37,11.24,10.4
11,2013-03-13,2013-03-19,5.06,3.39,5.77,1.86,5.42
11,2014-03-12,2014-03-18,11.92,9.91,11.28,9.72,10.77
11,2015-03-11,2015-03-17,9.37,5.75,9.74,8.04,8.78
11,2016-03-16,2016-03-22,8.44,5.93,6.67,6.13,7.63
11,2017-03-15,2017-03-21,11.65,11.86,13.44,11.37,11.86
11,2018-03-14,2018-03-20,7.16,5.55,7.85,4.69,7.25
11,2019-03-13,2019-03-19,10.06,7.91,8.27,8.22,9.09
11,2020-03-11,2020-03-17,11.02,7.42,11.78,9.78,10.2
11,2021-03-17,2021-03-23,9.35,6.45,4.46,5.42,7.34
11,2022-03-16,2022-03-22,13.85,11.2,10.93,10.45,11.49
11,2023-03-15,2023-03-21,12.91,10.05,11.87,10.8,11.33
12,2010-03-24,2010-03-30,12.08,11.15,11.13,11.51,11.57
12,2011-03-23,2011-03-29,11.73,9.61,11.73,12.79,11.57
12,2012-03-21,2012-03-27,14.6,12.78,13.4,14.04,13.36
12,2013-03-20,2013-03-26,10.86,2.06,8.74,5.79,7.89
12,2014-03-19,2014-03-25,8.61,9.23,9.18,9.5,9.7
12,2015-03-18,2015-03-24,10.38,4.93,10.59,7.03,8.99
12,2016-03-23,2016-03-29,12.38,9.22,9.99,9.12,10.54
12,2017-03-22,2017-03-28,12.7,9.14,11.39,12.57,11.56
12,2018-03-21,2018-03-27,7.84,5.89,5.69,8.29,7.94
12,2019-03-20,2019-03-26,10.49,9.85,7.56,7.11,9.4
12,2020-03-18,2020-03-24,13.46,8.42,10.25,11.38,11.1
12,2021-03-24,2021-03-30,14.9,9.39,16.96,12.64,13.18
12,2022-03-23,2022-03-29,14.11,10.47,13.23,11.32,12.23
12,2023-03-22,2023-03-28,12.74,8.32,11.92,10.68,11.13
13,2010-03-31,2010-04-06,9.48,7.88,8.18,7.89,9.29
13,2011-03-30,2011-04-05,15.66,12.01,13.36,10.73,12.95
13,2012-03-28,2012-04-03,12.49,8.55,13.84,9.92,11.56
13,2013-03-27,2013-04-02,9.66,2.46,7.42,2.62,7.03
13,2014-03-26,2014-04-01,12.13,12.55,10.9,10.1,11.74
13,2015-03-25,2015-03-31,10.58,8.55,9.08,6.6,9.56
13,2016-03-30,2016-04-05,10.83,10.59,12.92,11.39,11.75
13,2017-03-29,2017-04-04,14.47,12.44,13.85,13.73,13.5
13,2018-03-28,2018-04-03,11.28,7.55,11.08,8.57,10.3
13,2019-03-27,2019-04-02,15.07,10.35,12.12,11.26,12.36
13,2020-03-25,2020-03-31,6.37,6.43,6.78,7.46,8.01
13,2021-03-31,2021-04-06,14.34,7.43,11.23,11.36,11.47
13,2022-03-30,2022-04-05,6.85,6.37,6.71,6.88,7.96
13,2023-03-29,2023-04-04,13.95,9.31,12.14,9.74,11.63
14,2010-04-07,2010-04-13,13.35,10.31,9.71,9.88,11.45
14,2011-04-06,2011-04-12,17.55,11.76,15.8,13.99,14.62
14,2012-04-04,2012-04-10,11.45,7.33,10.46,8.8,10.41
14,2013-04-03,2013-04-09,6.89,4.61,8.17,6.64,8.06
14,2014-04-02,2014-04-08,14.87,14.03,14.29,14.14,14.27
14,2015-04-01,2015-04-07,10.92,5.64,6.18,7.59,8.87
14,2016-04-06,2016-04-12,10.67,10.83,12.71,8.42,11.33
14,2017-04-05,2017-04-11,13.15,10.75,12.45,12.69,12.61
14,2018-04-04,2018-04-10,12.19,12.87,14.55,11.53,13.03
14,2019-04-03,2019-04-09,8.55,8.92,8.18,7.31,9.39
14,2020-04-01,2020-04-07,13.9,9.15,11.08,10.16,11.66
14,2021-04-07,2021-04-13,10.02,4.72,9.95,7.95,9.33
14,2022-04-06,2022-04-12,11.58,10.81,11.95,9.28,11.52
14,2023-04-05,2023-04-11,12.94,9.04,11.34,10.78,11.62
15,2010-04-14,2010-04-20,13.13,9.26,13.66,11.11,12.43
15,2011-04-13,2011-04-19,14.32,11.7,11.78,11.03,12.77
15,2012-04-11,2012-04-17,10.2,6.35,8.4,8.84,9.76
15,2013-04-10,2013-04-16,14.56,11.79,13.56,12.0,13.38
15,2014-04-09,2014-04-15,15.89,9.4,12.61,10.53,12.69
15,2015-04-08,2015-04-14,14.89,12.3,14.66,11.34,13.64
15,2016-04-13,2016-04-19,12.24,8.44,11.44,10.64,11.55
15,2017-04-12,2017-04-18,14.26,9.65,12.61,10.58,12.42
15,2018-04-11,2018-04-17,13.55,11.86,13.51,12.96,13.38
15,2019-04-10,2019-04-16,10.83,9.15,9.86,5.03,9.97
15,2020-04-08,2020-04-14,19.81,12.62,16.28,12.47,15.24
15,2021-04-14,2021-04-20,9.58,8.54,7.81,9.04,9.99
15,2022-04-13,2022-04-19,14.2,13.94,13.95,14.48,14.31
15,2023-04-12,2023-04-18,12.42,8.03,10.19,9.99,11.13
16,2010-04-21,2010-04-27,15.08,10.41,15.36,12.54,13.88
16,2011-04-20,2011-04-26,16.63,17.58,15.45,18.14,16.76
16,2012-04-18,2012-04-24,9.56,7.7,10.63,8.47,10.47
16,2013-04-17,2013-04-23,13.44,12.15,11.49,12.99,13.21
16,2014-04-16,2014-04-22,14.23,10.88,10.44,11.18,12.55
16,2015-04-15,2015-04-21,14.99,11.98,12.43,14.51,13.98
16,2016-04-20,2016-04-26,13.09,9.14,12.85,9.56,12.13
16,2017-04-19,2017-04-25,14.03,7.83,9.77,8.41,11.21
