title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Avatar: The Way of Water,14 décembre 2022,"Science fiction, Aventure, Fantastique, Action",3h 12min,James Cameron,"James Cameron, Rick Jaffa","Sam Worthington, Zoe Saldana, Sigourney Weaver","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,The Walt Disney Company France,Box Office France,"['14 au 21 décembre 2022', '21 au 28 décembre 2022']",2 739 848,3 010 310,"4,1","4,2",927086
The Pope's Exorcist,10 mai 2023,"Epouvante-horreur, Biopic, Fantastique",1h 43min,Julius Avery,"Evan Spiliotopoulos, Michael Petroni","Russell Crowe, Daniel Zovatto, Alex Essoe",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,Box Office France,"['10 au 17 mai 2023', '17 au 24 mai 2023']",155 555,115 170,"2,9","2,8",64244
Love Again,7 juin 2023,"Comédie, Romance",1h 45min,Jim Strouse,Jim Strouse,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion",None,U.S.A.,Sony Pictures Releasing France,Box Office France,"['07 au 14 juin 2023', '14 au 21 juin 2023']",36 242,13 983,"2,4","2,7",27397
"Indiana Jones and the Kingdom of the Crystal Skull
",21 mai 2008,"Aventure, Action",2h 03min,Steven Spielberg,"David Koepp, George Lucas","Harrison Ford, Shia LaBeouf, Karen Allen",à partir de 10 ans (children's film),U.S.A.,Paramount Pictures France,Box Office France,"['21 au 28 mai 2008', '28 mai au 4 juin 2008']",1 674 041,1 007 135,"3,0","3,1",2825542
Marinette,7 juin 2023,Biopic,1h 36min,Virginie Verrier,Virginie Verrier,"Garance Marillier, Emilie Dequenne, Alban Lenoir",None,France,The Jokers / Les Bookmakers,Box Office France,"['07 au 14 juin 2023', '14 au 21 juin 2023']",26 273,12 278,"3,0","3,8",104179
Evil Dead Rise,19 avril 2023,"Epouvante-horreur, Fantastique",1h 37min,Lee Cronin,Lee Cronin,"Lily Sullivan, Alyssa Sutherland, Morgan Davies",Interdit aux moins de 16 ans,U.S.A.,Metropolitan FilmExport,Box Office France,"['19 au 26 avril 2023', '26 avril au 3 mai 2023']",235 926,167 421,"3,1","2,9",118494
Farang,28 juin 2023,Action,1h 39min,Xavier Gens,"Xavier Gens, Magali Rossito","Nassim Lyes, Loryn Nounay, Olivier Gourmet",Interdit aux moins de 12 ans,France,StudioCanal,Box Office France,"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",79 426,54 052,"3,4","3,7",223912
Insidious: The Red Door,5 juillet 2023,"Epouvante-horreur, Fantastique",1h 48min,Patrick Wilson,Scott Teems,"Patrick Wilson, Rose Byrne, Ty Simpkins",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Sony Pictures Releasing France,Box Office France,"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",306 107,160 642,"2,1","2,2",50006
L'Innocent,12 octobre 2022,Comédie,1h 40min,Louis Garrel,"Louis Garrel, Tanguy Viel","Roschdy Zem, Anouk Grinberg, Noémie Merlant",None,France,Ad Vitam,Box Office France,"['12 au 19 octobre 2022', '19 au 26 octobre 2022']",192 906,157 119,"4,1","3,9",242551
Antichrist,3 juin 2009,"Thriller, Drame",1h 50min,Lars von Trier,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",Interdit aux moins de 18 ans,France,Les Films du Losange,Box Office France,"['03 au 10 juin 2009', '10 au 17 juin 2009']",63 719,40 295,"2,2","2,4",906381
