title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Su Qi-Er,28 septembre 2011,"Action, Historique",1h 54min,Woo-Ping Yuen,Christine To,"Wenzhuo Zhao, Zhou Xun, Michelle Yeoh",None,Chine,Universal Pictures International France,Box Office France,"['28 septembre au 5 octobre 2011', '05 au 12 octobre 2011']",10 420,1 577,"2,8","2,9",388051
Essential Killing,6 avril 2011,"Thriller, Guerre",1h 23min,Jerzy Skolimowski,"Jerzy Skolimowski, Ewa Piaskowska","Vincent Gallo, Emmanuelle Seigner, Nicolai Cleve Broch","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Pologne,Surreal Distribution,Box Office France,"['06 au 13 avril 2011', '13 au 20 avril 2011']",14 919,12 018,"3,8","2,7",206053
The Grudge 2,27 décembre 2006,Epouvante-horreur,1h 42min,Takashi Shimizu,"Takashi Shimizu, Stephen Susco","Amber Tamblyn, Arielle Kebbel, Edison Chen",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,"['27 décembre 2006 au 3 janvier 2007', '03 au 10 janvier 2007']",152 431,98 524,"1,9","1,9",508050
Dan In Real Life,17 septembre 2008,"Romance, Comédie, Drame",1h 36min,Peter Hedges,"Pierce Gardner, Peter Hedges","Steve Carell, Juliette Binoche, Dane Cook",None,U.S.A.,EuropaCorp Distribution,Box Office France,"['17 au 24 septembre 2008', '24 septembre au 1 octobre 2008']",134 661,85 524,"2,7","2,8",182729
O que arde,4 septembre 2019,Drame,1h 25min,Oliver Laxe,"Santiago Fillol, Oliver Laxe","Amador Arias, Benedicta Sánchez, Inazio Abrao",None,Espagne,Pyramide Distribution,Box Office France,"['04 au 11 septembre 2019', '11 au 18 septembre 2019']",9 813,4 852,"3,2","3,3",183875
Janis et John,15 octobre 2003,Comédie,1h 45min,Samuel Benchetrit,Samuel Benchetrit,"François Cluzet, Marie Trintignant, Christopher Lambert",None,France,Mars Distribution,Box Office France,['15 au 22 octobre 2003'],176 689,None,"3,8","2,3",19238
"Guillaume, la jeunesse du conquérant",31 mai 2017,"Aventure, Historique",1h 31min,Fabien Drugeon,Fabien Drugeon,"Tiésay Deshayes, Jean-Damien Détouillon, Dan Bronchinson",None,France,Panoceanic Films,Box Office France,"['31 mai au 7 juin 2017', '07 au 14 juin 2017']",47,13,"2,6",--,62863
Hustle & Flow,7 décembre 2005,"Drame, Musical",1h 56min,Craig Brewer,Craig Brewer,"Terrence Howard, Anthony Anderson, Taryn Manning",None,U.S.A.,United International Pictures (UIP),Box Office US,"['22 au 25 juillet 2005', '29 juillet 2005 au 1 août 2005']",8 017 808,4 029 764,"3,1","3,5",24516
The Girl King,11 janvier 2017,"Historique, Drame, Romance",1h 42min,Mika Kaurismäki,Michel Marc Bouchard,"Malin Buska, Sarah Gadon, Michael Nyqvist",None,Finlande,Condor Distribution,Box Office France,"['11 au 18 janvier 2017', '18 au 25 janvier 2017']",413,147,"2,3","2,8",38577
30 Minutes or Less,28 décembre 2011,"Action, Aventure, Comédie",1h 23min,Ruben Fleischer,"Michael Diliberti, Matthew Sullivan","Jesse Eisenberg, Danny McBride, Aziz Ansari",None,U.S.A.,Sony Pictures Releasing France,Box Office France,"['28 décembre 2011 au 4 janvier 2012', '12 au 15 août 2011']",8 188,None,"2,3","2,3",578818
Cookie,23 janvier 2013,Comédie dramatique,1h 38min,Léa Fazer,"Léa Fazer, Benoît Graffin","Alice Taglioni, Virginie Efira, Mehdi Nebbou",None,France,UGC Distribution,Box Office France,"['23 au 30 janvier 2013', '30 janvier au 6 février 2013']",64 872,14 866,"2,0","2,9",820688
The Bob's Burgers Movie,None,"Animation, Comédie, Aventure, Famille",1h 42min,Loren Bouchard,"Bernard Derriman, Loren Bouchard, Nora Smith","H. Jon Benjamin, John Roberts, Dan Mintz",à partir de 10 ans (children's film),U.S.A.,,Box Office US,"['27 au 30 mai 2022', '03 au 6 juin 2022']",12 600 000,4 500 000,"2,8",--,None
La Monnaie de leur pièce,10 janvier 2018,Comédie,1h 30min,Anne Le Ny,"Anne Le Ny, Stéphane Kazandjian","Julia Piaton, Baptiste Lecaplain, Margot Bancilhon",None,France,UGC Distribution,Box Office France,"['10 au 17 janvier 2018', '17 au 24 janvier 2018']",44 578,12 994,"2,0","1,8",278251
Nos enfants chéris,2 juillet 2003,Comédie dramatique,1h 26min,Benoît Cohen,"Benoît Cohen, Eléonore Pourriat","Mathieu Demy, Romane Bohringer, Laurence Côte",None,France,232 388 entrées,Box Office France,"['02 au 9 juillet 2003', '09 au 16 juillet 2003']",110 407,63 746,"3,6","2,7",14557
Roads,17 juillet 2019,Drame,1h 40min,Sebastian Schipper,"Sebastian Schipper, Oliver Ziegenbalg","Fionn Whitehead, Stéphane Bak, Moritz Bleibtreu",None,Allemagne,Rezo Films,Box Office France,"['17 au 24 juillet 2019', '31 juillet au 7 août 2019']",3 364,568,"2,9","3,3",144958
Carmen y Lola,14 novembre 2018,"Drame, Romance",1h 47min,Arantxa Echevarría,Arantxa Echevarría,"Zaira Romero, Rosy Rodriguez, Moreno Borja",None,Espagne,Eurozoom,Box Office France,"['14 au 21 novembre 2018', '21 au 28 novembre 2018']",12 271,4 619,"3,3","3,7",39755
Stuart Little 2,16 octobre 2002,"Comédie, Animation, Aventure, Famille, Fantastique",1h 18min,Rob Minkoff,"Douglas Wick, Bruce Joel Rubin","Lorie Pester, Melanie Griffith, Geena Davis",à partir de 8 ans (children's film),U.S.A.,Columbia TriStar Films,Box Office France,"['16 au 23 octobre 2002', '23 au 30 octobre 2002']",313 926,635 508,"3,5","2,0",10276
Yu-Gi-Oh! The Movie,10 novembre 2004,"Animation, Action, Aventure, Famille, Fantastique, Thriller",1h 40min,Hatsuki Tsuji,"Christopher Collet, Eric Stuart, Norman J. Grossfeld","Dan Green, Eric Stuart, Amy Birnbaum",None,Japon,Warner Bros. France,Box Office France,"['10 au 17 novembre 2004', '13 au 16 août 2004']",35 805,None,"2,1","2,4",65425
Un début prometteur,30 septembre 2015,Comédie dramatique,1h 30min,Emma Luchini,"Nicolas Rey (II), Vanessa David","Manu Payet, Veerle Baetens, Zacharie Chasseriaud",None,France,Gaumont Distribution,Box Office France,"['23 au 30 septembre 2015', '30 septembre au 7 octobre 2015']",1 313,60 817,"3,2","2,1",365249
In den Gängen,15 août 2018,"Drame, Romance",2h 05min,Thomas Stuber,"Thomas Stuber, Clemens Meyer","Franz Rogowski, Sandra Hüller, Peter Kurth",None,Allemagne,KMBO,Box Office France,"['15 au 22 août 2018', '22 au 29 août 2018']",17 820,10 117,"3,9","3,6",180700
Le Temps des aveux,17 décembre 2014,"Drame, Historique",1h 35min,Régis Wargnier,"Antoine Audouard, Régis Wargnier","Raphaël Personnaz, Kompheak Phoeung, Olivier Gourmet",None,France,Gaumont Distribution,Box Office France,"['10 au 17 décembre 2014', '17 au 24 décembre 2014']",2 182,34 948,"3,2","3,1",315840
Yogi Bear,9 février 2011,"Animation, Comédie, Aventure",1h 20min,Eric Brevig,"Joshua Sternin, Jeffrey Ventimilia","Dan Aykroyd, Justin Timberlake, Tom Cavanagh",à partir de 6 ans (children's film),U.S.A.,Warner Bros. France,Box Office France,"['09 au 16 février 2011', '16 au 23 février 2011']",76 886,82 109,"2,3","2,1",755740
Voyoucratie,31 janvier 2018,Thriller,1h 24min,FGKO, FGKO,"Salim Kechiouche, Abel Jafri, Hichem Yacoubi",None,France,La Vingt-Cinquième Heure,Box Office France,"['31 janvier au 7 février 2018', '07 au 14 février 2018']",7 147,2 527,"2,5","3,0",139219
King Of Thieves,27 mars 2019,Comédie,1h 46min,James Marsh,Joe Penhall,"Michael Caine, Tom Courtenay, Jim Broadbent",None,Grande-Bretagne,StudioCanal,Box Office France,"['27 mars au 3 avril 2019', '03 au 10 avril 2019']",47 089,15 570,"2,3","2,0",122076
"Ensemble, nous allons vivre une très, très grande histoire d'amour...",7 avril 2010,Comédie,1h 39min,Pascal Thomas,"Clémence De Biéville, François Caviglioli","Julien Doré, Marina Hands, Guillaume Gallienne",None,France,Rezo Films,Box Office France,"['07 au 14 avril 2010', '14 au 21 avril 2010']",64 195,20 155,"3,0","1,6",351924
Rab Ne Bana Di Jodi,12 décembre 2008,"Drame, Musical, Romance",2h 07min,Aditya Chopra,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Rani Mukerji",None,Inde,Bollywood Times,Box Office US,"['12 au 15 décembre 2008', '19 au 22 décembre 2008']",920 995,326 641,"4,0",--,None
Ddongpari,14 avril 2010,Drame,2h 10min,Ik-june Yang,Ik-june Yang,"Ik-june Yang, Kim Kkot-bi, Hwan Lee",None,Corée du Sud,Tadrart Films,Box Office France,"['14 au 21 avril 2010', '21 au 28 avril 2010']",2 890,1 039,"4,1","4,1",42255
Hævnen,16 mars 2011,Drame,1h 53min,Susanne Bier,"Anders Thomas Jensen, Susanne Bier","Mikael Persbrandt, Trine Dyrholm, Ulrich Thomsen",None,Danemark,Equation,Box Office France,"['16 au 23 mars 2011', '23 au 30 mars 2011']",10 687,3 991,"2,9","3,8",95046
Bangkok Dangerous,27 août 2008,"Action, Policier",1h 38min,Oxide Chun Pang,"Danny Pang, Jason Richman","Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung",None,U.S.A.,TFM Distribution,Box Office France,"['27 août au 3 septembre 2008', '03 au 10 septembre 2008']",173 148,97 848,"1,5","1,9",298256
El Olivo,None,"Drame, Comédie dramatique",1h 39min,Icíar Bollaín,Paul Laverty,"Anna Castillo, Javier Gutiérrez, Pep Ambròs",None,Espagne,Haut et Court,Box Office France,"['13 au 20 juillet 2016', '20 au 27 juillet 2016']",10 467,6 627,"3,2","3,7",198546
N'importe qui,5 mars 2014,Comédie,1h 21min,Raphaël Frydman,Raphaël Frydman,"Rémi Gaillard, Nicole Ferroni, Alban Ivanov",None,France,Wild Bunch Distribution,Box Office France,"['05 au 12 mars 2014', '12 au 19 mars 2014']",85 291,37 766,"2,5","1,6",551508
Re Granchio,23 février 2022,"Drame, Historique, Aventure",1h 39min,Alessio Rigo de Righi,"Matteo Zoppis, Alessio Rigo de Righi, Matteo Zoppis","Gabriele Silli, Maria Alexandra Lungu, Severino Sperandio",None,Italie,Shellac,Box Office France,"['23 février au 2 mars 2022', '02 au 9 mars 2022']",4 325,2 027,"3,8","3,4",108038
The Perfect Guy,None,"Thriller, Drame",1h 40min,David Rosenthal,Tyger Williams,"Sanaa Lathan, Michael Ealy, Morris Chestnut",None,U.S.A.,,Box Office US,"['11 au 14 septembre 2015', '18 au 21 septembre 2015']",25 888 154,9 751 801,"2,9",--,67820
La tourneuse de pages,9 août 2006,"Drame, Thriller",1h 25min,Denis Dercourt,"Denis Dercourt, Jacques Sotty","Catherine Frot, Déborah François, Pascal Greggory",None,France,Diaphana Distribution,Box Office France,"['09 au 16 août 2006', '16 au 23 août 2006']",209 560,168 093,"3,3","2,9",118635
Le Rôle de sa vie,16 juin 2004,Comédie,1h 42min,François Favrat,"François Favrat, Julie Lopes Curval","Agnès Jaoui, Karin Viard, Jonathan Zaccaï",None,France,Mars Distribution,Box Office France,"['16 au 23 juin 2004', '23 au 30 juin 2004']",219 223,207 139,"3,6","2,6",26886
Heist,23 janvier 2002,Thriller,1h 50min,David Mamet,David Mamet,"Gene Hackman, Danny DeVito, Delroy Lindo",None,Canada,Warner Bros. France,Box Office France,"['23 au 30 janvier 2002', '09 au 12 novembre 2001']",96 024,None,"3,1","2,8",15083
Burke and Hare,31 août 2011,Comédie,1h 31min,John Landis,"Piers Ashworth, Nick Moorcroft","Simon Pegg, Andy Serkis, Isla Fisher",None,Grande-Bretagne,La Fabrique 2,Box Office France,"['31 août au 7 septembre 2011', '07 au 14 septembre 2011']",12 842,2 092,"2,8","2,8",192000
Inteurodeoksyeon,2 février 2022,Drame,1h 06min,Hong Sang-Soo,Hong Sang-Soo,"Shin Seokho, Mi-so Park, Kim Young-Ho",None,Corée du Sud,Capricci Films,Box Office France,"['02 au 9 février 2022', '09 au 16 février 2022']",3 830,1 830,"3,5","3,0",29489
"Hrútar
",9 décembre 2015,"Drame, Comédie",1h 32min,Grímur Hákonarson,Grímur Hákonarson,"Sigurður Sigurjónsson, Theodór Júlíusson, Charlotte Bøving",None,Islande,ARP Sélection,Box Office France,"['09 au 16 décembre 2015', '16 au 23 décembre 2015']",25 903,21 675,"4,1","3,9",205855
Spiral,15 septembre 2021,Drame,1h 32min,Sofiene Mamdi,Sofiene Mamdi,"Sofiene Mamdi, Constantin Leu, Cécile Fisera",Interdit aux moins de 12 ans avec avertissement,France,Reaficta Films,Box Office France,"['15 au 22 septembre 2021', '22 au 29 septembre 2021']",38,39,"3,2",--,7005
Laws of Attraction,8 septembre 2004,"Romance, Comédie",1h 27min,Peter Howitt,"Aline Brosh McKenna, Robert Harling","Pierce Brosnan, Julianne Moore, Parker Posey",None,Grande-Bretagne,TFM Distribution,Box Office France,"['08 au 15 septembre 2004', '30 avril 2004 au 3 mai 2004']",51 870,None,"3,3","2,5",54537
The Great Gilly Hopkins,24 février 2016,"Comédie, Famille, Drame",1h 37min,Stephen Herek,David Paterson,"Sophie Nélisse, Kathy Bates, Glenn Close",à partir de 10 ans (children's film),U.S.A.,Chrysalis Films,Box Office France,"['24 février au 2 mars 2016', '02 au 9 mars 2016']",6 841,863,"2,7","3,5",113737
One For The Money,8 février 2012,"Policier, Comédie, Action",1h 31min,Julie Anne Robinson,"Stacy Sherman, Karen Ray","Katherine Heigl, Jason O'Mara, Daniel Sunjata",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['08 au 15 février 2012', '15 au 22 février 2012']",120 309,51 815,"1,6","1,9",1176836
Denis,1 mai 2013,Comédie,1h 25min,Lionel Bailliu,"Lionel Bailliu, Laurent Roggero","Fabrice Eboué, Jean-Paul Rouve, Audrey Dana",None,France,SND,Box Office France,"['01 au 8 mai 2013', '08 au 15 mai 2013']",44 100,4 156,"1,0","1,7",491815
Aux yeux des vivants,30 avril 2014,"Epouvante-horreur, Thriller",1h 28min,Julien Maury,"Alexandre Bustillo, Alexandre Bustillo, Julien Maury","Anne Marivin, Théo Fernandez, Francis Renaud",Interdit aux moins de 16 ans,France,Tanzi Distribution,Box Office France,"['30 avril au 7 mai 2014', '07 au 14 mai 2014']",1 650,179,"2,5","1,7",94734
Le Prince,15 juin 2022,"Drame, Romance",2h 05min,Lisa Bierwirth,"Hannes Held, Lisa Bierwirth","Ursula Strauss,  Passi, Nsumbo Tango Samuel",None,Allemagne,Shellac,Box Office France,"['15 au 22 juin 2022', '22 au 29 juin 2022']",3 019,967,"3,1","3,3",4815
The Nut Job,6 août 2014,"Animation, Famille, Comédie",1h 22min,Peter Lepeniotis,"Peter Lepeniotis, Lorne Cameron","Will Arnett, Brendan Fraser, Liam Neeson",à partir de 6 ans (children's film),Canada,SND,Box Office France,"['06 au 13 août 2014', '13 au 20 août 2014']",291 619,207 528,"2,6","2,8",833179
Flores Raras,20 août 2014,"Drame, Biopic, Romance",1h 44min,Bruno Barreto,"Carolina Kotscho, Julie Sayres","Glória Pires, Miranda Otto, Tracy Middendorf",None,Brésil,Outplay Films,Box Office France,"['20 au 27 août 2014', '27 août au 3 septembre 2014']",3 514,1 910,"3,0","3,9",19403
A Walk in the Woods,13 janvier 2016,"Comédie, Drame, Aventure",1h 45min,Ken Kwapis,"Michael Arndt, Bill Holderman","Robert Redford, Nick Nolte, Emma Thompson",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['13 au 20 janvier 2016', '20 au 27 janvier 2016']",23 660,5 878,"2,1","2,5",123073
Street Dance 2 [3D],9 mai 2012,"Drame, Musical, Romance",1h 25min,Max Giwa,"Dania Pasquini, Dania Pasquini, Jane English","Falk Hentschel, Sofia Boutella, George Sampson",à partir de 10 ans (children's film),Grande-Bretagne,Metropolitan FilmExport,Box Office France,"['09 au 16 mai 2012', '16 au 23 mai 2012']",141 968,138 571,"1,9","2,7",830872
Les Météorites,8 mai 2019,Drame,1h 25min,Romain Laguna,"Romain Laguna, Salvatore Lista","Zéa Duprez, Billal Agab, Oumaima Lyamouri",None,France,KMBO,Box Office France,"['08 au 15 mai 2019', '15 au 22 mai 2019']",3 613,1 163,"3,3","2,8",228590
Unfinished Business,20 mai 2015,Comédie,1h 32min,Ken Scott,Steve Conrad,"Vince Vaughn, Dave Franco, Tom Wilkinson",None,U.S.A.,Twentieth Century Fox France,Box Office France,"['20 au 27 mai 2015', '27 mai au 3 juin 2015']",325,92,"2,1",--,108453
Walk Of Shame,21 mai 2014,Comédie,1h 35min,Steven Brill,Steven Brill,"Elizabeth Banks, James Marsden, Gillian Jacobs",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['21 au 28 mai 2014', '28 mai au 4 juin 2014']",66 708,31 672,"2,3","2,4",224628
L'Apôtre,1 octobre 2014,,None,Cheyenne Carron,Cheyenne Carron,"Faycal Safi, Brahim Tekfa, Sarah Zaher",None,France,1 250 entrées,Box Office France,"['01 au 8 octobre 2014', '08 au 15 octobre 2014']",1 827,2 664,"3,3","3,9",43571
A 2 heures de Paris,27 juin 2018,Comédie,1h 20min,Virginie Verrier,"Virginie Verrier, Shirley Bousquet","Erika Sainte, Matilda Marty, Fred Testot",None,France,VIGO Films,Box Office France,"['27 juin au 4 juillet 2018', '04 au 11 juillet 2018']",429,131,"2,2",--,47575
A l'aveugle,7 mars 2012,Thriller,1h 34min,Xavier Palud,Eric Besnard,"Jacques Gamblin, Lambert Wilson, Raphaëlle Agogué",None,France,EuropaCorp Distribution,Box Office France,"['07 au 14 mars 2012', '14 au 21 mars 2012']",129 632,91 591,"2,4","2,7",430444
Bayala,5 février 2020,"Animation, Fantastique, Famille",1h 25min,Federico Milella,"Aina Järvine, Pamela Hickey, Dennys McCoy","Madison Mullahey, Jessica Webb, Olivia Manning",à partir de 6 ans (children's film),Allemagne,Septième Factory,Box Office France,"['05 au 12 février 2020', '12 au 19 février 2020']",14 262,13 079,"2,6","1,6",390468
Le Jeu de la vérité,22 janvier 2014,Comédie,1h 25min,François Desagnat,Philippe Lellouche,"Philippe Lellouche, Vanessa Demouy, Christian Vadim",None,France,EuropaCorp Distribution,Box Office France,"['22 au 29 janvier 2014', '29 janvier au 5 février 2014']",39 743,8 535,"2,3","2,1",550077
Franklin et le trésor du lac,20 décembre 2006,Animation,1h 20min,Dominique Monféry,John Van Bruggen,"Cathy Cerda, Jean Lescot, Clara Borras",à partir de 3 ans (children's film),France,Mars Distribution,Box Office France,"['20 au 27 décembre 2006', '27 décembre 2006 au 3 janvier 2007']",67 968,135 373,"2,8","1,7",225116
Victor,7 octobre 2009,Comédie,1h 35min,Thomas Gilou,"Lisa Azuelos, Thomas Gilou","Pierre Richard, Lambert Wilson, Clémentine Célarié",None,France,TFM Distribution,Box Office France,"['07 au 14 octobre 2009', '14 au 21 octobre 2009']",99 045,35 483,"2,4","1,7",190461
Parkland,2 octobre 2013,"Historique, Drame",1h 33min,Peter Landesman,Peter Landesman,"Zac Efron, Marcia Gay Harden, Paul Giamatti",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['02 au 9 octobre 2013', '09 au 16 octobre 2013']",30 776,6 399,"3,1","3,0",216145
Los Lobos,19 janvier 2022,Drame,1h 35min,Samuel Kishi Leopo,"Samuel Kishi Leopo, Sofía Gómez-Córdova","Martha Reyes Arias, Maximiliano Nájar Márquez, Leonardo Nájar Márquez",None,Mexique,Bodega Films,Box Office France,"['19 au 26 janvier 2022', '26 janvier au 2 février 2022']",7 129,401,"3,4","3,1",7764
Kiss and Cry,20 septembre 2017,"Drame, Biopic, Musical, Romance",1h 18min,Lila Pinell,"Chloé Mahieu, Chloé Mahieu, Lila Pinell","Sarah Bramms, Dinara Drukarova, Xavier Dias",None,France,UFO Distribution,Box Office France,"['20 au 27 septembre 2017', '27 septembre au 4 octobre 2017']",5 160,2 634,"3,3","2,9",267290
La Face cachée,19 septembre 2007,Comédie dramatique,1h 33min,Bernard Campan,Bernard Campan,"Bernard Campan, Karin Viard, Jean-Hugues Anglade",None,Belgique,Wild Bunch Distribution,Box Office France,"['19 au 26 septembre 2007', '26 septembre au 3 octobre 2007']",58 107,28 807,"2,8","2,0",105306
L'homme de chevet,18 novembre 2009,"Drame, Romance",1h 33min,Alain Monne,"Alain Monne, Nathalie Vailloud","Sophie Marceau, Christopher Lambert, Margarita Rosa de Francisco",None,France,Rezo Films,Box Office France,"['18 au 25 novembre 2009', '25 novembre au 2 décembre 2009']",114 463,70 559,"2,6","3,0",212325
Geu-Hu,7 juin 2017,"Drame, Comédie",1h 32min,Hong Sang-Soo,Hong Sang-Soo,"Kim Min-Hee, Hae-hyo Kwon, Yunhee Cho",None,Corée du Sud,Les Bookmakers / Capricci Films,Box Office France,"['07 au 14 juin 2017', '14 au 21 juin 2017']",17 256,5 266,"4,1","3,4",44946
Harry Brown,12 janvier 2011,Thriller,1h 43min,Daniel Barber,Gary Young (IV),"Michael Caine, Emily Mortimer, Charlie Creed-Miles",Interdit aux moins de 12 ans avec avertissement,Grande-Bretagne,Surreal Distribution,Box Office France,"['12 au 19 janvier 2011', '19 au 26 janvier 2011']",28 608,17 145,"2,7","3,4",1025488
La Sainte Famille,25 décembre 2019,Comédie dramatique,1h 30min,Louis-Do de Lencquesaing,"Louis-Do de Lencquesaing, Jérôme Beaujour","Marthe Keller, Laura Smet, Léa Drucker",None,France,Pyramide Distribution,Box Office France,"['25 décembre 2019 au 1 janvier 2020', '01 au 8 janvier 2020']",19 622,2 164,"2,9","1,8",212449
Overboard,None,"Comédie, Romance",1h 52min,Rob Greenberg,"Rob Greenberg, Bob Fisher (VII)","Anna Faris, Eugenio Derbez, Eva Longoria",None,U.S.A.,,Box Office US,"['04 au 7 mai 2018', '11 au 14 mai 2018']",14 711 101,9 864 415,"2,8",--,81121
Akiresu to kame,10 mars 2010,"Comédie, Drame",1h 59min,Takeshi Kitano,Takeshi Kitano,"Takeshi Kitano, Kanako Higuchi, Yurei Yanagi",None,Japon,Océan Films,Box Office France,"['10 au 17 mars 2010', '17 au 24 mars 2010']",11 453,8 270,"4,0","3,7",65180
The Assent,22 juin 2020,Epouvante-horreur,1h 28min,Pearry Reginald Teo,Pearry Reginald Teo,"Robert Kazinsky, Peter Jason, Florence Faivre",Interdit aux moins de 12 ans,U.S.A.,Alba Films,Box Office France,"['24 juin au 1 juillet 2020', '01 au 8 juillet 2020']",39 963,32 818,"1,8","1,6",103327
J'invente rien,16 août 2006,Comédie,1h 28min,Michel Leclerc,Michel Leclerc,"Kad Merad, Elsa Zylberstein, Claude Brasseur",None,France,Pyramide Distribution,Box Office France,['16 au 23 août 2006'],30 903,None,"2,9","2,2",82384
Ali & Ava,2 mars 2022,"Romance, Comédie dramatique, Drame, Comédie",1h 35min,Clio Barnard,Clio Barnard,"Adeel Akhtar, Claire Rushbrook, Ellora Torchia",None,Grande-Bretagne,Rezo Films,Box Office France,"['02 au 9 mars 2022', '09 au 16 mars 2022']",10 476,6 128,"3,4","3,5",97070
The Animal,26 décembre 2001,Comédie,1h 23min,Luke Greenfield,"Tom Brady, Rob Schneider","Rob Schneider, Colleen Haskell, Edward Asner",None,U.S.A.,Columbia TriStar Films,Box Office US,"['30 mai 2001 au 2 juin 2001', '06 au 9 juin 2001']",19 610 520,9 800 000,"2,2","2,0",9346
We Are Marshall,None,Comédie dramatique,2h 04min,McG,"Cory Helms, Jamie Linden","Matthew McConaughey, Matthew Fox, David Strathairn",None,U.S.A.,,Box Office US,"['22 au 25 décembre 2006', '29 décembre au 1 janvier 2007']",6 110 000,8 089 931,"3,7",--,24981
Selena,None,"Drame, Biopic, Musical",2h 07min,Gregory Nava,Gregory Nava,"Jennifer Lopez, Edward James Olmos, Jackie Guerra",None,U.S.A.,1 nomination,Box Office US,['08 au 11 avril 2022'],402 280,None,"3,6",--,55
Cats and Peachtopia,12 décembre 2018,"Animation, Famille",1h 27min,Gary Wang,Gary Wang,"Dermot Mulroney, Brittany Curran, Nicole Tompkins",à partir de 8 ans (children's film),Chine,KMBO,Box Office France,"['12 au 19 décembre 2018', '19 au 26 décembre 2018']",50 675,35 407,"2,9","3,1",367442
El mal ajeno,17 novembre 2010,"Drame, Fantastique",1h 42min,Oskar Santos,Daniel Sánchez Arévalo,"Eduardo Noriega, Belén Rueda, Angie Cepeda",None,Espagne,CTV International,Box Office France,['17 au 24 novembre 2010'],107,None,"2,9",--,7949
Le Secret des banquises,22 juin 2016,Comédie,1h 21min,Marie Madinier,Marie Madinier,"Guillaume Canet, Charlotte Le Bon, Anne Le Ny",None,France,Mars Films,Box Office France,"['22 au 29 juin 2016', '29 juin au 6 juillet 2016']",12 292,1 694,"3,0","2,1",280332
Import/Export,7 janvier 2009,"Drame, Erotique",2h 15min,Ulrich Seidl,"Ulrich Seidl, Veronika Franz","Ekateryna Rak, Paul Hofmann, Michael Thomas (III)",Interdit aux moins de 16 ans,Autriche,Solaris Distribution,Box Office France,"['07 au 14 janvier 2009', '14 au 21 janvier 2009']",2 161,1 353,"3,1","3,1",130745
It's a Free World,2 janvier 2008,Drame,1h 33min,Ken Loach,Paul Laverty,"Kierston Wareing, Juliet Ellis, Leslaw Zurek",None,Grande-Bretagne,Diaphana Films,Box Office France,"['02 au 9 janvier 2008', '09 au 16 janvier 2008']",164 658,100 256,"4,1","3,4",173650
Sans queue ni tête,29 septembre 2010,Comédie,1h 35min,Jeanne Labrune,"Jeanne Labrune, Richard Debuisne","Isabelle Huppert, Bouli Lanners, Sabila Moussadek",None,France,Rezo Films,Box Office France,"['29 septembre au 6 octobre 2010', '06 au 13 octobre 2010']",31 346,10 412,"2,2","1,8",125897
The Darkness,None,"Epouvante-horreur, Thriller",1h 28min,Greg McLean,"Shayne Armstrong, Shane Krause","Kevin Bacon, Radha Mitchell, David Mazouz",None,U.S.A.,,Box Office US,"['13 au 16 mai 2016', '20 au 23 mai 2016']",4 950 859,2 272 618,"1,9",--,77715
Arthur,11 mai 2011,Comédie,1h 50min,Jason Winer,"Russell Brand, Peter Baynham","Russell Brand, Jennifer Garner, Helen Mirren",None,U.S.A.,2 nominations,Box Office US,"['08 au 11 avril 2011', '15 au 18 avril 2011']",12 222 756,6 755 340,"2,4",--,26067
Beyond the Sea,None,"Biopic, Drame",1h 58min,Kevin Spacey,"Lewis Colick, James Toback","Kevin Spacey, Kate Bosworth, Brenda Blethyn",None,U.S.A.,1 nomination,Box Office US,['31 décembre au 3 janvier 2005'],1 340 773,None,"3,7",--,381952
Plemya,1 octobre 2014,Drame,2h 12min,Myroslav Slaboshpytskyi,Myroslav Slaboshpytskyi,"Yana Novikova, Grigoriy Fesenko, Rosa Babiy",Interdit aux moins de 16 ans,Ukraine,UFO Distribution,Box Office France,"['01 au 8 octobre 2014', '08 au 15 octobre 2014']",10 089,4 670,"3,5","3,0",377884
Giovanni no Shima,28 mai 2014,"Animation, Drame, Historique",1h 42min,Mizuho Nishikubo,"Shigemichi Sugita, Yoshiki Sakurai","Kota Yokoyama, Junya Taniai, Polina Ilyushenko",None,Japon,Eurozoom,Box Office France,"['28 mai au 4 juin 2014', '04 au 11 juin 2014']",8 036,2 509,"4,1","4,0",57651
BloodRayne,None,"Fantastique, Action, Epouvante-horreur",1h 35min,Uwe Boll,Guinevere Turner,"Kristanna Loken, Ben Kingsley, Michael Madsen",None,Allemagne,6 nominations,Box Office US,['06 au 9 janvier 2006'],1 550 000,None,"1,3",--,47030
