title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
The Santa Clause 3 : The Escape Clause,,"['Comédie', 'Fantastique', 'Famille']",1h 38min,Michael Lembeck,"['Edward Decter', 'John J. Strauss']","['Tim Allen', 'Martin Short', 'Elizabeth Mitchell']","2,9",--,à partir de 8 ans (children's film),U.S.A.,5 nominations,10884,['Box Office US'],"['03 au 6 novembre 2006', '10 au 13 novembre 2006']",19 504 038,16 927 004
Shelter,4 juillet 2018,"['Drame', 'Thriller']",1h 33min,Eran Riklis,['Eran Riklis'],"['Neta Riskin', 'Golshifteh Farahani', 'Doraid Liddawi']","3,1","2,7",,Israël,Pyramide Distribution,228588,['Box Office France'],"['04 au 11 juillet 2018', '11 au 18 juillet 2018']",13 120,5 499
Top Five,,['Comédie'],1h 38min,Chris Rock,['Chris Rock'],"['Chris Rock', 'Rosario Dawson', 'Kevin Hart']","2,2",--,,U.S.A.,Paramount Pictures,38439,['Box Office US'],"['12 au 15 décembre 2014', '19 au 22 décembre 2014']",7 210 000,3 570 000
Le Roman de Lulu,18 avril 2001,['Comédie dramatique'],1h 28min,Pierre-Olivier Scotto,['David Decca'],"['Thierry Lhermitte', 'Claire Keim', 'Patrick Bouchitey']","3,1","2,6",,France,Bac Films,9380,['Box Office France'],['18 au 25 avril 2001'],74 555,
Menocchio,17 avril 2019,['Drame'],1h 43min,Alberto Fasulo,"['Alberto Fasulo', 'Enrico Vecchi']","['Marcello Martini', 'Maurizio Fanin', 'Carlo Baldracchi']","3,0","3,0",,Italie,Rouge Distribution,6410,['Box Office France'],"['17 au 24 avril 2019', '24 avril au 1 mai 2019']",1 717,779
Någonting måste gå sönder,10 décembre 2014,['Drame'],1h 21min,Ester Martin Bergsmark,"['Ester Martin Bergsmark', 'Eli Levén']","['Saga Becker', 'Iggy Malmborg', 'Shima Niavarani']","2,7","2,9",Interdit aux moins de 12 ans avec avertissement,Suède,Outplay Films,18183,['Box Office France'],"['10 au 17 décembre 2014', '24 au 31 décembre 2014']",1 971,306
Say It Isn't So,11 juillet 2001,['Comédie'],1h 36min,James B. Rogers,"['Peter Gaulke', 'Gerry Swallow']","['Chris Klein', 'Heather Graham', 'Orlando Jones']","2,3","2,3",,U.S.A.,UFD,4379,['Box Office US'],['21 au 24 mars 2001'],3 100 000,
Nous nous marierons,8 février 2017,['Drame'],1h 16min,Dan Uzan,"['Dan Uzan', 'Orianne Mio Ramseyer']","['Karim El Hayani', 'Faten Kesraoui', 'Sylvia Bergé']","3,1","3,3",,France,KMBO,150528,['Box Office France'],"['08 au 15 février 2017', '15 au 22 février 2017']",1 953,279
La Pivellina,17 février 2010,['Drame'],1h 40min,Tizza Covi,"['Rainer Frimmel', 'Tizza Covi']","['Patrizia Gerardi', 'Asia Crippa', 'Walter Saabel']","3,8","3,7",,Autriche,Zootrope Films,46748,['Box Office France'],"['17 au 24 février 2010', '24 février au 3 mars 2010']",10 061,6 074
Comrades,23 juillet 2014,"['Drame', 'Historique']",3h 03min,Bill Douglas,['Bill Douglas'],"['Robin Soans', 'Imelda Staunton', 'William Gaminara']","4,0","4,2",,Grande-Bretagne,UFO Distribution,15548,['Box Office France'],"['23 au 30 juillet 2014', '30 juillet au 6 août 2014']",3 163,1 345
Kreuzweg,29 octobre 2014,['Drame'],1h 47min,Dietrich Brüggemann,"['Dietrich Brüggemann', 'Anna Brüggemann']","['Lea van Acken', 'Franziska Weisz', 'Klaus Michael Kamp']","2,3","3,6",,Allemagne,Memento Distribution,313886,['Box Office France'],"['29 octobre au 5 novembre 2014', '05 au 12 novembre 2014']",7 585,2 632
La Veillée,5 décembre 2018,['Drame'],0h 51min,Jonathan Millet,,"['Joana Preiss', 'Natacha Lindinger', 'Maud Wyler']","4,0","3,5",,France,Dublin Films,2742,['Box Office France'],"['05 au 12 décembre 2018', '12 au 19 décembre 2018']",69,34
