title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
Les Combattants,20 août 2014,"['Comédie', 'Romance']",1h 38min,Thomas Cailley,"['Thomas Cailley', 'Claude Le Pape']","['Adèle Haenel', 'Kévin Azaïs', 'Brigitte Roüan']","4,1","3,7",,France,Haut et Court,938759,['Box Office France'],"['20 au 27 août 2014', '27 août au 3 septembre 2014']",127 237,96 372
Furie,6 novembre 2019,"['Thriller', 'Epouvante-horreur']",1h 37min,Olivier Abbou,"['Olivier Abbou', 'Aurélien Molas']","['Adama Niane', 'Stéphane Caillard', 'Paul Hamy']","3,3","2,4",Interdit aux moins de 16 ans,France,New Story,203741,['Box Office France'],"['06 au 13 novembre 2019', '13 au 20 novembre 2019']",7 045,460
Enter the Void,5 mai 2010,"['Drame', 'Fantastique']",2h 30min,Gaspar Noé,['Gaspar Noé'],"['Nathaniel Brown', 'Paz de la Huerta', 'Cyril Roy']","3,0","3,4",Interdit aux moins de 16 ans,France,Wild Bunch Distribution,443398,['Box Office France'],"['05 au 12 mai 2010', '12 au 19 mai 2010']",19 878,13 575
The Other Woman,18 juin 2014,['Comédie'],1h 49min,Nick Cassavetes,['Melissa Stack'],"['Cameron Diaz', 'Leslie Mann', 'Kate Upton']","2,7","2,8",,U.S.A.,Twentieth Century Fox France,561543,['Box Office France'],"['18 au 25 juin 2014', '25 juin au 2 juillet 2014']",214 548,282 056
El buen patrón,22 juin 2022,['Comédie'],2h 00min,Fernando León de Aranoa,['Fernando León de Aranoa'],"['Javier Bardem', 'Manolo Solo', 'Almudena Amor']","3,6","3,9",,Espagne,Paname Distribution,144149,['Box Office France'],"['22 au 29 juin 2022', '29 juin au 6 juillet 2022']",57 333,42 869
Robuste,2 mars 2022,"['Comédie dramatique', 'Drame', 'Comédie']",1h 35min,Constance Meyer,"['Constance Meyer', 'Marcia Romano']","['Gérard Depardieu', 'Déborah Lukumuena', 'Lucas Mortier']","3,6","2,6",,France,Diaphana Distribution,113796,['Box Office France'],"['02 au 9 mars 2022', '09 au 16 mars 2022']",17 245,7 353
Forever My Girl,,"['Romance', 'Musical', 'Drame']",1h 48min,Bethany Ashton Wolf,"['Bethany Ashton Wolf', 'Heidi McLaughlin']","['Alex Roe', 'Jessica Rothe', 'Abby Ryder Fortson']","3,4",--,,U.S.A.,Koba Films,20242,['Box Office US'],['19 au 22 janvier 2018'],4 245 490,
À l'origine,11 novembre 2009,['Drame'],2h 10min,Xavier Giannoli,['Xavier Giannoli'],"['François Cluzet', 'Emmanuelle Devos', 'Gérard Depardieu']","4,1","3,8",,France,EuropaCorp Distribution,330785,['Box Office France'],"['11 au 18 novembre 2009', '18 au 25 novembre 2009']",178 696,94 522
The Predator,17 octobre 2018,"['Action', 'Science fiction']",1h 47min,Shane Black,"['Fred Dekker', 'Shane Black']","['Boyd Holbrook', 'Trevante Rhodes', 'Olivia Munn']","2,5","1,9",Interdit aux moins de 12 ans,U.S.A.,Twentieth Century Fox France,558963,['Box Office France'],"['17 au 24 octobre 2018', '24 au 31 octobre 2018']",191 048,105 539
Une intime conviction,6 février 2019,"['Judiciaire', 'Thriller']",1h 50min,Antoine Raimbault,"['Antoine Raimbault', 'Isabelle Lazard']","['Marina Foïs', 'Olivier Gourmet', 'Laurent Lucas']","4,0","4,0",,France,Memento Distribution,472781,['Box Office France'],"['06 au 13 février 2019', '13 au 20 février 2019']",130 195,93 113
How To Train Your Dragon: The Hidden World,6 février 2019,"['Animation', 'Aventure', 'Famille']",1h 44min,Dean DeBlois,['Dean DeBlois'],"['Donald Reignoux', 'Jay Baruchel', 'Florine Orphelin']","3,9","4,2",à partir de 8 ans (children's film),U.S.A.,Universal Pictures International France,881876,['Box Office France'],"['06 au 13 février 2019', '13 au 20 février 2019']",1 224 811,728 119
Escobar: Paradise Lost,5 novembre 2014,"['Thriller', 'Policier']",2h 00min,Andrea Di Stefano,['Andrea Di Stefano'],"['Benicio Del Toro', 'Josh Hutcherson', 'Claudia Traisac']","2,9","3,6","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Pathé,458224,['Box Office France'],"['05 au 12 novembre 2014', '12 au 19 novembre 2014']",119 644,51 480
Temps Mort,3 mai 2023,['Drame'],1h 58min,Eve Duchemin,['Eve Duchemin'],"['Karim Leklou', 'Issaka Sawadogo', 'Jarod Cousyns']","3,3","3,7",,Belgique,Pyramide Distribution,58045,['Box Office France'],"['03 au 10 mai 2023', '10 au 17 mai 2023']",5 321,1 928
Peter von Kant,6 juillet 2022,"['Comédie dramatique', 'Drame', 'Comédie']",1h 26min,François Ozon,['François Ozon'],"['Denis Ménochet', 'Isabelle Adjani', 'Khalil Gharbia']","3,6","2,8",,France,Diaphana Distribution,114477,['Box Office France'],"['06 au 13 juillet 2022', '13 au 20 juillet 2022']",42 675,17 453
Sicario: Day of the Soldado,27 juin 2018,"['Thriller', 'Action', 'Espionnage']",2h 03min,Stefano Sollima,['Taylor Sheridan'],"['Benicio Del Toro', 'Josh Brolin', 'Isabela Merced']","3,3","3,6",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,327763,['Box Office France'],"['27 juin au 4 juillet 2018', '04 au 11 juillet 2018']",133 856,68 225
Elephant,22 octobre 2003,['Drame'],1h 21min,Gus Van Sant,['Gus Van Sant'],"['Alex Frost', 'John Robinson (IV)', 'Elias McConnell']","4,4","3,7",Interdit aux moins de 12 ans,U.S.A.,Diaphana Distribution,196490,['Box Office France'],"['22 au 29 octobre 2003', '29 octobre au 5 novembre 2003']",246 419,158 369
Meet the Spartans,16 juillet 2008,['Comédie'],1h 24min,Jason Friedberg,"['Aaron Seltzer', 'Aaron Seltzer', 'Jason Friedberg']","['Sean Maguire', 'Carmen Electra', 'Ken Davitian']","2,2","1,2",,U.S.A.,Twentieth Century Fox France,315888,['Box Office France'],"['16 au 23 juillet 2008', '25 au 28 janvier 2008']",29 260,
Présidents,30 juin 2021,['Comédie'],1h 40min,Anne Fontaine,['Anne Fontaine'],"['Jean Dujardin', 'Grégory Gadebois', 'Doria Tillier']","3,5","2,6",,France,Universal Pictures International France,154400,['Box Office France'],"['30 juin au 7 juillet 2021', '14 au 21 juillet 2021']",249 345,50 444
ADN,28 octobre 2020,['Drame'],1h 30min, Maïwenn,"[' Maïwenn', 'Mathieu Demy']","[' Maïwenn', 'Omar Marwan', 'Fanny Ardant']","3,3","2,8",,France,Le Pacte,587389,['Box Office France'],"['26 mai au 2 juin 2021', '02 au 9 juin 2021']",48 077,21 599
Belle et Sébastien : Nouvelle génération,19 octobre 2022,"['Aventure', 'Famille']",1h 37min,Pierre Coré,"['Pierre Coré', 'Alexandre Coffre']","['Michèle Laroque', 'Robinson Mensah-Rouanet', 'Alice David']","3,2","3,1",à partir de 10 ans (children's film),France,Gaumont Distribution,134814,['Box Office France'],"['19 au 26 octobre 2022', '26 octobre au 2 novembre 2022']",179 709,171 196
Fast & Furious 6,22 mai 2013,['Action'],2h 10min,Justin Lin,['Chris Morgan'],"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","3,0","3,5",,U.S.A.,Universal Pictures International France,691727,['Box Office France'],"['22 au 29 mai 2013', '29 mai au 5 juin 2013']",1 546 806,690 040
Gekijouban Violet Evergarden,19 mai 2021,"['Animation', 'Drame', 'Fantastique']",2h 21min,Taichi Ishidate,['Reiko Yoshida'],"['Yui Ishikawa', 'Daisuke Namikawa', 'Takehito Koyasu']","2,7","4,2",à partir de 10 ans (children's film),Japon,Eurozoom,22742,['Box Office France'],"['26 mai au 2 juin 2021', '02 au 9 juin 2021']",2 828,787
Premier de la classe,10 juillet 2019,['Comédie'],1h 22min,Stéphane Ben Lahcene,['Stéphane Ben Lahcene'],"['Mutamba Kalonji', 'Pascal NZonzi', 'Michèle Laroque']","3,3","2,5",,France,UGC Distribution,513387,['Box Office France'],"['10 au 17 juillet 2019', '17 au 24 juillet 2019']",132 706,83 018
Große Freiheit,9 février 2022,['Drame'],1h 56min,Sebastian Meise,"['Thomas Reider', 'Sebastian Meise']","['Franz Rogowski', 'Georg Friedrich', 'Anton von Lucke']","3,5","3,9",Interdit aux moins de 12 ans,Autriche,Paname Distribution,116063,['Box Office France'],"['09 au 16 février 2022', '16 au 23 février 2022']",10 070,5 691
Les Irréductibles,14 juin 2006,['Comédie dramatique'],1h 45min,Renaud Bertrand,"['Sébastien Thibaudeau', 'Marc Herpoux']","['Jacques Gamblin', 'Kad Merad', ' Rufus']","2,7","2,1",,France,Bac Films,54386,['Box Office France'],['14 au 21 juin 2006'],43 261,
Heidi,10 février 2016,"['Famille', 'Aventure']",1h 46min,Alain Gsponer,['Petra Biondina Volpe'],"['Anuk Steffen', 'Bruno Ganz', 'Isabelle Ottmann']","3,3","4,1",à partir de 8 ans (children's film),Suisse,StudioCanal,593061,['Box Office France'],"['10 au 17 février 2016', '17 au 24 février 2016']",262 095,177 929
Space Pirate Captain Harlock,25 décembre 2013,"['Animation', 'Aventure', 'Science fiction']",1h 55min,Shinji Aramaki,"['Harutoshi Fukui', 'Kiyoto Takeuchi']","['Shun Oguri', 'Haruma Miura', 'Yû Aoi']","2,5","3,4",à partir de 10 ans (children's film),Japon,Océan Films,692786,['Box Office France'],"['25 décembre 2013 au 1 janvier 2014', '01 au 8 janvier 2014']",343 500,203 681
99 francs,26 septembre 2007,"['Comédie', 'Drame']",1h 40min,Jan Kounen,"['Bruno Lavaine', 'Nicolas Charlet']","['Jean Dujardin', 'Jocelyn Quivrin', 'Patrick Mille']","3,0","3,2","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Pathé,878056,['Box Office France'],"['26 septembre au 3 octobre 2007', '03 au 10 octobre 2007']",517 322,257 981
Rose Plays Julie,24 mai 2023,['Thriller'],1h 40min,Joe Lawlor,"['Christine Molloy', 'Joe Lawlor', 'Christine Molloy']","['Ann Skelly', 'Orla Brady', 'Aidan Gillen']","2,3","3,1","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Irlande,Destiny Films,7842,['Box Office France'],"['24 au 31 mai 2023', '31 mai au 7 juin 2023']",3 406,1 173
Respect,8 septembre 2021,"['Biopic', 'Musical']",2h 26min,Liesl Tommy,['Tracey Scott Wilson'],"['Jennifer Hudson', 'Forest Whitaker', 'Marlon Wayans']","2,6","3,6",,U.S.A.,Universal Pictures International France,112822,['Box Office France'],"['08 au 15 septembre 2021', '15 au 22 septembre 2021']",63 758,36 716
Maze Runner: The Scorch Trials,7 octobre 2015,"['Aventure', 'Science fiction', 'Action']",2h 13min,Wes Ball,['T.S. Nowlin'],"[""Dylan O'Brien"", 'Ki Hong Lee', 'Kaya Scodelario']","3,0","3,3","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Twentieth Century Fox France,1108484,['Box Office France'],"['07 au 14 octobre 2015', '14 au 21 octobre 2015']",1 190 062,762 353
"Lyle, Lyle, Crocodile",30 novembre 2022,"['Famille', 'Musical', 'Comédie']",1h 47min,Will Speck,"['Josh Gordon', 'Will Davies']","['Doryan Ben', 'Shawn Mendes', 'Javier Bardem']","2,6","3,3",à partir de 6 ans (children's film),U.S.A.,Sony Pictures Releasing France,69234,['Box Office France'],"['30 novembre au 7 décembre 2022', '07 au 14 décembre 2022']",132 431,59 118
Coma,16 novembre 2022,['Drame'],1h 20min,Bertrand Bonello,['Bertrand Bonello'],"['Louise Labeque', 'Julia Faure', 'Laetitia Casta']","3,3","2,4",,France,New Story,114795,['Box Office France'],"['16 au 23 novembre 2022', '23 au 30 novembre 2022']",5 074,794
Sublime,17 mai 2023,"['Drame', 'Romance']",1h 40min,Mariano Biasin,['Mariano Biasin'],"['Martin Miller', 'Teo Inama Chiabrando', 'Azul Mazzeo']","2,8","2,7",,Argentine,Outplay Films,81508,['Box Office France'],"['17 au 24 mai 2023', '24 au 31 mai 2023']",3 463,1 178
Den Of Thieves,21 février 2018,"['Thriller', 'Policier', 'Action']",2h 20min,Christian Gudegast,"['Christian Gudegast', 'Paul Scheuring']","['Gerard Butler', 'Pablo Schreiber', ' 50 Cent']","2,9","3,5","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,280072,['Box Office France'],"['21 au 28 février 2018', '28 février au 7 mars 2018']",130 352,66 392
The Dictator,20 juin 2012,['Comédie'],1h 23min,Larry Charles,"['Sacha Baron Cohen', 'Alec Berg']","['Sacha Baron Cohen', 'Anna Faris', 'Ben Kingsley']","2,8","3,0",,U.S.A.,Paramount Pictures France,1892961,['Box Office France'],"['20 au 27 juin 2012', '27 juin au 4 juillet 2012']",411 656,223 267
A Dangerous Method,21 décembre 2011,"['Drame', 'Thriller']",1h 39min,David Cronenberg,['Christopher Hampton'],"['Keira Knightley', 'Michael Fassbender', 'Viggo Mortensen']","3,5","3,0",,Grande-Bretagne,Mars Films,1962684,['Box Office France'],"['21 au 28 décembre 2011', '28 décembre 2011 au 4 janvier 2012']",149 627,136 888
American Hustle,5 février 2014,"['Comédie dramatique', 'Thriller']",2h 18min,David O. Russell,"['David O. Russell', 'Eric Warren Singer']","['Christian Bale', 'Bradley Cooper', 'Amy Adams']","3,2","3,4",,U.S.A.,Metropolitan FilmExport,659370,['Box Office France'],"['05 au 12 février 2014', '12 au 19 février 2014']",279 324,175 864
War Horse,22 février 2012,"['Drame', 'Historique', 'Guerre']",2h 27min,Steven Spielberg,"['Lee Hall', 'Richard Curtis']","['Jeremy Irvine', 'Emily Watson', 'Peter Mullan']","3,5","3,9",à partir de 10 ans (children's film),U.S.A.,The Walt Disney Company France,2075849,['Box Office France'],"['22 au 29 février 2012', '29 février au 7 mars 2012']",320 448,195 550
Le Crocodile du Botswanga,19 février 2014,['Comédie'],1h 30min,Fabrice Eboué,"['Lionel Steketee', 'Fabrice Eboué']","['Thomas Ngijol', 'Fabrice Eboué', 'Claudia Tagbo']","3,4","2,4",,France,Mars Films,786577,['Box Office France'],"['19 au 26 février 2014', '26 février au 5 mars 2014']",582 916,321 867
Monsieur Constant,17 mai 2023,['Comédie dramatique'],1h 48min,Alan Simon,['Alan Simon'],"['Jean-Claude Drouot', ' Cali', 'Danièle Evenou']","2,3","3,7",,France,Babaika,8136,['Box Office France'],['17 au 24 mai 2023'],40,
"Surf's Up
",24 octobre 2007,"['Animation', 'Comédie']",1h 28min,Ash Brannon,"['Chris Buck', 'Christian Darren', 'Don Rhymer']","['Shia LaBeouf', 'Jeff Bridges', 'Zooey Deschanel']","3,2","3,0",à partir de 6 ans (children's film),U.S.A.,Sony Pictures Releasing France,484090,['Box Office France'],"['24 au 31 octobre 2007', '31 octobre au 7 novembre 2007']",444 083,564 492
How High,,['Comédie'],1h 33min,Jesse Dylan,['Dustin Abraham'],"[' Method Man', ' Redman', 'Fred Willard']","2,9",--,,U.S.A.,,102296,['Box Office US'],['21 au 24 décembre 2001'],7 600 000,
Ma Première fois,18 janvier 2012,"['Drame', 'Romance']",1h 35min,Marie-Castille Mention-Schaar,['Marie-Castille Mention-Schaar'],"['Esther Comar', 'Martin Cannavo', 'Vincent Perez']","3,0","3,3",,France,Mars Films,2985039,['Box Office France'],"['18 au 25 janvier 2012', '25 janvier au 1 février 2012']",108 071,71 413
Frozen II,20 novembre 2019,"['Animation', 'Musical']",1h 44min,Jennifer Lee,"['Chris Buck', 'Jennifer Lee', 'Allison Schroeder']","['Emmylou Homs', 'Kristen Bell', 'Charlotte Hervieux']","3,3","3,4",à partir de 6 ans (children's film),U.S.A.,The Walt Disney Company France,766873,['Box Office France'],"['20 au 27 novembre 2019', '27 novembre au 4 décembre 2019']",2 137 267,1 435 442
Entre amis,22 avril 2015,['Comédie'],1h 31min,Olivier Baroux,"['Eric Besnard', 'Richard Grandpierre']","['Daniel Auteuil', 'Gérard Jugnot', 'François Berléand']","2,2","1,9",,France,Pathé,953490,['Box Office France'],"['22 au 29 avril 2015', '29 avril au 6 mai 2015']",301 214,208 651
L'Embarras Du Choix,15 mars 2017,"['Comédie', 'Romance']",1h 38min,Eric Lavaine,"['Laurent Turner', 'Laure Hennequart']","['Alexandra Lamy', 'Arnaud Ducret', 'Jamie Bamber']","2,8","2,7",,France,Pathé,523033,['Box Office France'],"['15 au 22 mars 2017', '22 au 29 mars 2017']",291 171,100 544
Independence Day: Resurgence,20 juillet 2016,"['Science fiction', 'Action']",2h 01min,Roland Emmerich,"['James A. Woods', 'Nicolas Wright']","['Liam Hemsworth', 'Jeff Goldblum', 'Bill Pullman']","2,3","2,1",,U.S.A.,Twentieth Century Fox France,767783,['Box Office France'],"['20 au 27 juillet 2016', '27 juillet au 3 août 2016']",666 332,323 950
Snake Eyes: G.I. Joe Origins,,"['Action', 'Aventure', 'Arts Martiaux', 'Thriller']",2h 02min,Robert Schwentke,"['Evan Spiliotopoulos', 'Anna Waterhouse']","['Henry Golding', 'Andrew Koji', 'Úrsula Corberó']","2,2",--,"Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,,27819,['Box Office US'],['23 au 26 juillet 2021'],13 350 000,
Jennifer's Body,21 octobre 2009,"['Fantastique', 'Comédie', 'Epouvante-horreur']",1h 45min,Karyn Kusama,['Diablo Cody'],"['Megan Fox', 'Amanda Seyfried', 'Johnny Simmons']","2,7","1,9",Interdit aux moins de 12 ans,U.S.A.,Twentieth Century Fox France,644970,['Box Office France'],"['21 au 28 octobre 2009', '28 octobre au 4 novembre 2009']",175 555,111 098
Danny the Dog,2 février 2005,"['Thriller', 'Drame', 'Action']",1h 42min,Louis Leterrier,"['Luc Besson', 'Robert Mark Kamen']","['Jet Li', 'Bob Hoskins', 'Morgan Freeman']","2,8","3,3",Interdit aux moins de 12 ans,France,EuropaCorp Distribution,199319,['Box Office France'],"['02 au 9 février 2005', '09 au 16 février 2005']",350 054,231 598
X-Men Origins: Wolverine,29 avril 2009,"['Fantastique', 'Science fiction', 'Action']",1h 45min,Gavin Hood,"['David Benioff', 'Skip Woods']","['Hugh Jackman', 'Danny Huston', 'Liev Schreiber']","2,3","3,1",,U.S.A.,Twentieth Century Fox France,1802467,['Box Office France'],"['29 avril au 6 mai 2009', '06 au 13 mai 2009']",969 755,488 032
The Vow,16 mai 2012,"['Drame', 'Romance']",1h 44min,Michael Sucsy,"['Abby Kohn', 'Marc Silverstein']","['Rachel McAdams', 'Channing Tatum', 'Jessica Lange']","2,0","3,7",,U.S.A.,Sony Pictures Releasing France,1799598,['Box Office France'],"['16 au 23 mai 2012', '23 au 30 mai 2012']",153 285,57 098
The Ugly Truth,26 août 2009,"['Comédie', 'Romance']",1h 36min,Robert Luketic,"['Karen McCullah Lutz', 'Kirsten Smith']","['Katherine Heigl', 'Gerard Butler', 'Bree Turner']","2,5","3,1",,U.S.A.,Sony Pictures Releasing France,916521,['Box Office France'],"['26 août au 2 septembre 2009', '02 au 9 septembre 2009']",263 349,145 788
Camping 2,21 avril 2010,['Comédie'],1h 39min,Fabien Onteniente,"['Fabien Onteniente', 'Franck Dubosc']","['Franck Dubosc', 'Richard Anconina', 'Mathilde Seigner']","2,6","1,6",,France,Pathé,3174539,['Box Office France'],"['21 au 28 avril 2010', '28 avril au 5 mai 2010']",1 357 109,986 172
Énorme,2 septembre 2020,['Comédie'],1h 41min,Sophie Letourneur,"['Sophie Letourneur', 'Mathias Gavarry']","['Marina Foïs', 'Jonathan Cohen', 'Jacqueline Kakou']","3,7","2,2",,France,Memento Distribution,323263,['Box Office France'],"['02 au 9 septembre 2020', '09 au 16 septembre 2020']",62 177,30 498
The Princess and the Frog,27 janvier 2010,"['Animation', 'Comédie musicale']",1h 37min,Ron Clements,"['John Musker', 'John Musker', 'Ron Clements']","['Anika Noni Rose', 'Bruno Campos', 'Keith David']","3,5","3,8",à partir de 6 ans (children's film),U.S.A.,The Walt Disney Company France,1970341,['Box Office France'],"['27 janvier au 3 février 2010', '03 au 10 février 2010']",876 083,716 402
The Darkest Minds,8 août 2018,['Science fiction'],1h 44min,Jennifer Yuh Nelson,['Chad Hodge'],"['Amandla Stenberg', 'Harris Dickinson', 'Miya Cech']","2,3","3,0",,U.S.A.,Twentieth Century Fox France,305239,['Box Office France'],"['08 au 15 août 2018', '15 au 22 août 2018']",303 255,182 688
Radin!,28 septembre 2016,['Comédie'],1h 29min,Fred Cavayé,"['Laurent Turner', 'Nicolas Cuche']","['Dany Boon', 'Laurence Arné', 'Noémie Schmidt']","2,8","2,3",,France,Mars Films,1332930,['Box Office France'],"['28 septembre au 5 octobre 2016', '05 au 12 octobre 2016']",1 002 709,597 859
Monsters University,10 juillet 2013,"['Animation', 'Famille', 'Comédie', 'Fantastique']",1h 44min,Dan Scanlon,"['Robert L. Baird', 'Daniel Gerson']","['Eric Métayer', 'Billy Crystal', 'Xavier Fagnon']","3,5","3,9",à partir de 6 ans (children's film),U.S.A.,The Walt Disney Company France,632474,['Box Office France'],"['10 au 17 juillet 2013', '17 au 24 juillet 2013']",587 446,414 154
Pet Sematary,10 avril 2019,['Epouvante-horreur'],1h 41min,Kevin Kölsch,"['Dennis Widmyer', 'Jeff Buhler']","['Jason Clarke', 'Amy Seimetz', 'John Lithgow']","2,8","2,6",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,490206,['Box Office France'],"['10 au 17 avril 2019', '17 au 24 avril 2019']",385 254,184 258
Mon poussin,28 juin 2017,['Comédie'],1h 37min,Frédéric Forestier,['Romain Protat'],"['Isabelle Nanty', 'Pierre-François Martin-Laval', 'Thomas Solivérès']","2,0","2,1",,France,UGC Distribution,493554,['Box Office France'],"['28 juin au 5 juillet 2017', '05 au 12 juillet 2017']",186 948,81 333
Much Loved,16 septembre 2015,['Drame'],1h 44min,Nabil Ayouch,['Nabil Ayouch'],"['Loubna Abidar', 'Asmaa Lazrak', 'Halima Karaouane']","4,0","3,6",Interdit aux moins de 12 ans,Maroc,Pyramide Distribution,624205,['Box Office France'],"['16 au 23 septembre 2015', '23 au 30 septembre 2015']",77 921,52 837
Competencia oficial,1 juin 2022,['Comédie'],1h 54min,Mariano Cohn,"['Gastón Duprat', 'Andrés Duprat', 'Mariano Cohn']","['Penélope Cruz', 'Antonio Banderas', 'Oscar Martinez']","3,5","3,5",,Espagne,Wild Bunch Distribution,140047,['Box Office France'],"['01 au 8 juin 2022', '08 au 15 juin 2022']",61 295,31 220
Miss,21 octobre 2020,['Comédie'],1h 47min,Ruben Alves,"['Elodie Namer', 'Ruben Alves']","['Alexandre Wetter', 'Pascale Arbillot', 'Isabelle Nanty']","3,4","3,5",,France,Warner Bros. France,275753,['Box Office France'],"['21 au 28 octobre 2020', '26 mai au 2 juin 2021']",113 727,445
The Way,25 septembre 2013,"['Comédie', 'Aventure', 'Drame']",2h 08min,Emilio Estevez,['Emilio Estevez'],"['Martin Sheen', 'Emilio Estevez', 'Deborah Kara Unger']","2,8","3,9",,Espagne,Condor Distribution,284710,['Box Office France'],"['25 septembre au 2 octobre 2013', '02 au 9 octobre 2013']",41 156,27 168
Les Femmes du 6e étage,16 février 2011,['Comédie'],1h 46min,Philippe Le Guay,"['Philippe Le Guay', 'Jérôme Tonnerre']","['Fabrice Luchini', 'Sandrine Kiberlain', 'Natalia Verbeke']","3,5","3,8",,France,SND,1712512,['Box Office France'],"['16 au 23 février 2011', '23 février au 2 mars 2011']",502 481,460 551
Terminator Salvation,3 juin 2009,"['Science fiction', 'Action', 'Aventure']",1h 48min, McG,"['John Brancato', 'Michael Ferris']","['Christian Bale', 'Sam Worthington', 'Anton Yelchin']","2,7","3,3",,U.S.A.,Sony Pictures Releasing France,1477289,['Box Office France'],"['03 au 10 juin 2009', '10 au 17 juin 2009']",756 323,371 057
"Un año, una noche",3 mai 2023,['Drame'],2h 10min,Isaki Lacuesta,"['Isa Campo', 'Fran Araújo']","['Noémie Merlant', 'Nahuel Perez Biscayart', 'Quim Gutiérrez']","2,5","3,0",,Espagne,StudioCanal,93916,['Box Office France'],"['03 au 10 mai 2023', '10 au 17 mai 2023']",6 373,2 194
Hustlers,16 octobre 2019,"['Biopic', 'Drame']",1h 47min,Lorene Scafaria,['Lorene Scafaria'],"['Constance Wu', 'Jennifer Lopez', 'Julia Stiles']","2,9","2,7","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,298852,['Box Office France'],"['16 au 23 octobre 2019', '23 au 30 octobre 2019']",120 348,78 805
Père Fils Thérapie !,28 décembre 2016,['Comédie'],1h 32min,Emile Gaudreault,"['Emile Gaudreault', 'Guy Laurent']","['Richard Berry', 'Waly Dia', 'Jacques Gamblin']","2,6",--,,France,UGC Distribution,366423,['Box Office France'],"['28 décembre 2016 au 4 janvier 2017', '04 au 11 janvier 2017']",154 177,58 497
Aux yeux de tous,4 avril 2012,['Thriller'],1h 25min,Cédric Jimenez,"['Audrey Diwan', 'Cédric Jimenez']","['Mélanie Doutey', 'Olivier Barthelemy', 'Francis Renaud']","3,1","3,0",,France,DistriB Films,834425,['Box Office France'],"['04 au 11 avril 2012', '11 au 18 avril 2012']",32 459,15 053
Moulin Rouge!,3 octobre 2001,"['Comédie musicale', 'Romance']",2h 06min,Baz Luhrmann,"['Baz Luhrmann', 'Craig Pearce']","['Nicole Kidman', 'Ewan McGregor', 'John Leguizamo']","3,7","3,8",,Australie,UFD,211311,['Box Office France'],"['03 au 10 octobre 2001', '10 au 17 octobre 2001']",446 712,266 171
The Offering,11 janvier 2023,['Epouvante-horreur'],1h 33min,Oliver Park,['Hank Hoffman'],"['Nick Blood', 'Emily Wiseman', 'Paul Kaye']","1,4","1,7",Interdit aux moins de 12 ans,Grande-Bretagne,Metropolitan FilmExport,22246,['Box Office France'],"['11 au 18 janvier 2023', '18 au 25 janvier 2023']",85 068,48 248
Epouse-moi mon pote,25 octobre 2017,['Comédie'],1h 32min,Tarek Boudali,['Tarek Boudali'],"['Tarek Boudali', 'Philippe Lacheau', 'Charlotte Gabris']","2,2","2,9",,France,StudioCanal,1301205,['Box Office France'],"['25 octobre au 1 novembre 2017', '01 au 8 novembre 2017']",970 435,642 927
La Môme,14 février 2007,"['Biopic', 'Drame', 'Musical']",2h 20min,Olivier Dahan,"['Olivier Dahan', 'Isabelle Sobelmann']","['Marion Cotillard', 'Jean-Pierre Martins', 'Gérard Depardieu']","4,0","3,8",,France,TFM Distribution,793191,['Box Office France'],"['14 au 21 février 2007', '21 au 28 février 2007']",1 573 648,1 296 944
Sweeney Todd - The Demon Barber of Fleet Street,23 janvier 2008,"['Comédie musicale', 'Thriller', 'Epouvante-horreur', 'Drame']",1h 56min,Tim Burton,['John Logan'],"['Johnny Depp', 'Helena Bonham Carter', 'Alan Rickman']","3,7","3,7",Interdit aux moins de 12 ans,U.S.A.,Warner Bros. France,829223,['Box Office France'],"['23 au 30 janvier 2008', '30 janvier au 6 février 2008']",507 434,247 188
L'Invité,19 septembre 2007,['Comédie'],1h 22min,Laurent Bouhnik,['David Pharao'],"['Daniel Auteuil', 'Valérie Lemercier', 'Thierry Lhermitte']","2,3","1,8",,France,EuropaCorp Distribution,294124,['Box Office France'],"['19 au 26 septembre 2007', '26 septembre au 3 octobre 2007']",288 146,179 210
Infinite Storm,,"['Science fiction', 'Thriller', 'Action']",1h 44min,Michal Englert,"['Malgorzata Szumowska', 'Joshua Rollins']","['Naomi Watts', 'Billy Howle', ""Denis O'Hare""]","2,1",--,,U.S.A.,,15850,['Box Office US'],['25 au 28 mars 2022'],751 296,
