,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
3758,taj mahal,2015-12-02,Drame,1h 31min,Nicolas Saada,Nicolas Saada,"Stacy Martin, Louis-Do de Lencquesaing, Gina McKee",France,Bac Films,Box Office France,20 007,"3,2","2,3",378258,0
3759,the one,2001-11-28,"Science fiction, Action",1h 27min,James Wong,"Glen Morgan, James Wong","Jet Li, Delroy Lindo, Jason Statham",U.S.A.,Columbia TriStar Films,Box Office France,264 342,"2,6","2,0",34483,49000000
3761,la belle personne,2008-09-17,Comédie dramatique,1h 30min,Christophe Honoré,"Christophe Honoré, Gilles Taurand","Louis Garrel, Léa Seydoux, Grégoire Leprince-Ringuet",France,Le Pacte,Box Office France,30 604,"3,5","3,1",279857,0
3762,café de flore,2012-01-25,Drame,2h 00min,Jean-Marc Vallée,Jean-Marc Vallée,"Vanessa Paradis, Kevin Parent, Hélène Florent",France,UGC Distribution,Box Office France,47 611,"2,7","3,3",1051157,0
3763,resident evil: retribution,2012-09-26,"Action, Science fiction",1h 35min,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Kevin Durand",Canada,Metropolitan FilmExport,Box Office France,265 993,"1,9","1,9",3634178,65000000
3765,if only,2004-11-24,"Comédie dramatique, Fantastique",,Gil Junger,Christina Welsh,"Jennifer Love Hewitt, Paul Nicholls, Lucy Davenport",U.S.A.,SND,Box Office France,30 159,"2,0","3,2",176564,532673
3766,passengers,2009-03-11,"Thriller, Fantastique",1h 35min,Rodrigo García,Ronnie Christensen,"Anne Hathaway, Patrick Wilson, Andre Braugher",U.S.A.,Metropolitan FilmExport,Box Office France,46 507,"2,0","2,1",218486,110000000
3767,bokura no nanoka-kan sensô,2021-10-06,"Animation, Comédie dramatique",1h 28min,Yuta Murano,Ichiro Okouchi,"Mathieu Dupire, Takumi Kitamura, Clara Quilichini",Japon,Eurozoom,Box Office France,4 600,"3,3","3,2",7019,Erreur lors de la requête API 2.
3768,kaboom,2010-10-06,Comédie,1h 26min,Gregg Araki,Gregg Araki,"Thomas Dekker, Juno Temple, Roxane Mesquida",U.S.A.,Wild Bunch Distribution,Box Office France,54 729,"4,1","3,0",1114996,0
3769,the american,2010-10-27,"Thriller, Drame",1h 43min,Anton Corbijn,Rowan Joffe,"George Clooney, Thekla Reuten, Bruce Altman",U.S.A.,Mars Films,Box Office France,308 290,"3,4","2,0",987953,20000000
3770,à la folie,2022-04-06,Drame,1h 22min,Audrey Estrougo,Audrey Estrougo,"Virginie Van Robby, Lucie Debay, Anne Coesens",France,Damned Distribution,Box Office France,1 150,"3,0","3,0",143998,0
3771,charlie wilson's war,2008-01-16,"Drame, Biopic",1h 45min,Mike Nichols,Aaron Sorkin,"Julia Roberts, Tom Hanks, Philip Seymour Hoffman",U.S.A.,Paramount Pictures France,Box Office France,280 835,"3,6","3,2",204319,75000000
