title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
lola vers la mer,2019-12-11,"Drame, Comédie",60,Laurent Micheli,Laurent Micheli,"Mya Bollaers, Benoît Magimel, Sami Outalbali",Belgique,Les Films du Losange,13003,3.6,3.4,149200.0,0.0,17.15,7.01,12.36,7.37,8.99,Winter,2019
luna,2018-04-11,Comédie dramatique,60,Elsa Diringer,"Elsa Diringer, Claude Mouriéras","Laëtitia Clément, Rod Paradot, Lyna Khoudri",France,Pyramide Distribution,16692,3.5,3.8,282588.0,0.0,13.38,11.86,13.55,13.51,12.96,Spring,2018
l'extraordinaire voyage de marona,2020-01-08,"Animation, Drame, Famille",60,Anca Damian,Anghel Damian,"Lizzie Brocheré, Bruno Salomone, Thierry Hancisse",Roumanie,Cinéma Public Films,12065,3.8,3.6,151955.0,3000000.0,7.09,10.08,8.79,6.06,8.52,Winter,2020
le lion,2020-01-29,"Comédie, Espionnage",60,Ludovic Colbeau-Justin,"Alexandre Coquelle, Mathieu Le Nahour","Dany Boon, Philippe Katerine, Anne Serra",France,Pathé,253092,2.4,1.8,423308.0,0.0,9.49,7.61,13.45,10.52,10.87,Winter,2020
a trois on y va,2015-03-25,"Comédie, Romance",60,Jérôme Bonnell,Jérôme Bonnell,"Anaïs Demoustier, Félix Moati, Sophie Verbeeck",France,Wild Bunch Distribution,66999,3.9,3.1,506295.0,0.0,9.56,8.55,10.58,9.08,6.6,Spring,2015
les cowboys,2015-11-25,Drame,60,Thomas Bidegain,"Thomas Bidegain, Noé Debré","François Damiens, Finnegan Oldfield, Agathe Dronne",France,Pathé,114382,3.5,3.6,499315.0,0.0,15.95,9.04,10.02,4.15,8.55,Autumn,2015
dans la forêt,2017-02-15,Thriller,60,Gilles Marchand,"Dominik Moll, Gilles Marchand","Timothé Vom Dorp, Jérémie Elkaïm, Théo Van de Voorde",France,Pyramide Distribution,12684,3.3,2.2,217284.0,0.0,8.36,8.34,9.95,8.16,8.36,Winter,2017
ema,2020-09-02,"Drame, Thriller",60,Pablo Larraín,"Guillermo Calderón, Alejandro Moreno","Mariana Di Girólamo, Gael García Bernal, Paola Giannini",Chili,Potemkine Films,5834,3.4,3.3,106105.0,0.0,22.8,17.36,19.66,19.98,21.0,Autumn,2020
ça tourne à saint-pierre et miquelon,2022-05-25,Comédie dramatique,60,Christian Monnier,"Christian Monnier, Sheila O'Connor","Céline Mauge, Philippe Rebbot, Jules Sitruk",France,Destiny Films,2177,2.1,2.9,9808.0,0.0,18.01,13.68,21.53,17.98,15.86,Spring,2022
the lego ninjago movie,2017-10-11,"Animation, Action",60,Charlie Bean,"Paul Fisher (II), Bob Logan, Bob Logan, William Wheeler","Dave Franco, Jackie Chan, Justin Theroux",U.S.A.,Warner Bros. France,116414,2.2,2.6,364479.0,70000000.0,21.58,15.96,17.23,17.72,16.01,Autumn,2017
grudge match,2014-01-22,Comédie,60,Peter Segal,"Tim Kelleher, Rodney Rothman","Sylvester Stallone, Robert De Niro, Kevin Hart",U.S.A.,Warner Bros. France,98045,2.1,3.3,347881.0,40000000.0,5.51,4.64,8.72,4.96,5.23,Winter,2014
di renjie zhi tongtian diguo,2011-04-20,"Action, Thriller",120,Tsui Hark,Chia-Lu Chang,"Andy Lau, Carina Lau, Bingbing Li",Chine,Wild Side Films / Le Pacte,113967,4.1,3.2,601794.0,13000000.0,16.76,17.58,16.63,15.45,18.14,Spring,2011
la marche,2013-11-27,Drame,120,Nabil Ben Yadir,"Nabil Ben Yadir, Nadia Lakhdar","Olivier Gourmet, Tewfik Jallab, Vincent Rottiers",France,EuropaCorp Distribution,120139,3.4,2.5,486667.0,0.0,12.46,5.51,3.18,-0.66,6.26,Autumn,2013
l'homme qu'on aimait trop,2014-07-16,Drame,60,André Téchiné,"André Téchiné, Cédric Anger","Guillaume Canet, Catherine Deneuve, Adèle Haenel",France,Mars Films,144601,3.1,3.0,542397.0,0.0,23.57,20.86,21.78,22.28,23.92,Summer,2014
de guerre lasse,2014-05-07,Drame,60,Olivier Panchot,Olivier Panchot,"Jalil Lespert, Tchéky Karyo, Hiam Abbass",France,SND,24191,3.5,2.4,850495.0,2500000.0,14.05,11.47,13.55,13.21,13.03,Spring,2014
les reines du ring,2013-07-03,Comédie,60,Jean-Marc Rudnicki,"Manon Dillys, Hélène Le Gal","Marilou Berry, Nathalie Baye, André Dussollier",France,Warner Bros. France,150739,2.6,3.0,642733.0,0.0,22.43,20.14,22.72,22.31,19.98,Summer,2013
bonhomme,2018-08-29,Comédie dramatique,60,Marion Vernoux,"Marion Vernoux, Grégoire Vigneron","Nicolas Duvauchelle, Ana Girardot, Béatrice Dalle",France,Orange Studio Distribution / UGC Distribution,29768,3.1,3.2,317010.0,0.0,22.16,17.07,21.17,19.99,17.55,Summer,2018
chez nous,2017-02-22,Drame,60,Lucas Belvaux,"Lucas Belvaux, Jerome Leroy","Emilie Dequenne, André Dussollier, Guillaume Gouix",France,Le Pacte,144010,3.3,3.2,465861.0,0.0,8.41,7.67,9.91,9.28,7.2,Winter,2017
mes héros,2012-12-12,Comédie,60,Eric Besnard,Eric Besnard,"Josiane Balasko, Gérard Jugnot, Clovis Cornillac",France,Pathé,203694,2.4,3.0,918483.0,9780000.0,14.82,3.41,8.93,6.8,4.94,Winter,2012
l'angle mort,2019-10-16,"Drame, Fantastique",60,Patrick-Mario Bernard,"Pierre Trividic, Patrick-Mario Bernard, Pierre Trividic","Jean-Christophe Folly, Isabelle Carré, Golshifteh Farahani",France,Rouge Distribution,6998,3.4,2.5,53015.0,0.0,19.06,12.32,13.02,15.39,12.59,Autumn,2019
kantai,2021-05-26,Comédie,60,Kôji Fukada,Kôji Fukada,"Kenji Yamauchi, Kanji Furutachi, Kiki Sugino",Japon,Art House,8442,3.9,3.5,120428.0,0.0,19.01,14.39,21.93,19.46,18.28,Spring,2021
the rover,2014-06-04,"Drame, Thriller",60,David Michôd,David Michôd,"Guy Pearce, Robert Pattinson, Scoot McNairy",Australie,Metropolitan FilmExport,33955,3.6,3.0,551784.0,12250000.0,21.12,18.65,20.04,24.4,19.51,Summer,2014
jersey boys,2014-06-18,"Musical, Biopic",120,Clint Eastwood,"Rick Elice, Marshall Brickman","Christopher Walken, John Lloyd Young, Vincent Piazza",U.S.A.,Warner Bros. France,71092,3.6,3.8,219737.0,40000000.0,21.28,15.66,24.39,21.98,19.35,Summer,2014
17 filles,2011-12-14,Comédie dramatique,60,Muriel Coulin,"Delphine Coulin, Muriel Coulin, Delphine Coulin","Louise Grinberg, Juliette Darche, Roxane Duran",France,Diaphana Distribution,30948,3.8,2.7,1169530.0,4141459.0,14.42,4.47,8.29,4.36,4.97,Winter,2011
she's out of my league,2010-06-23,"Comédie, Romance",60,Jim Field Smith,"John Morris (IV), Sean Anders","Jay Baruchel, Alice Eve, T.J. Miller",U.S.A.,Paramount Pictures France,3493,2.6,2.7,526408.0,20000000.0,21.71,20.16,21.87,19.81,21.73,Summer,2010
gloria mundi,2019-11-27,Drame,60,Robert Guédiguian,"Robert Guédiguian, Serge Valletti","Ariane Ascaride, Jean-Pierre Darroussin, Gérard Meylan",France,Diaphana Distribution,128391,4.0,3.5,312216.0,4100000.0,15.37,5.95,8.76,8.91,5.25,Autumn,2019
amitiés sincères,2013-01-30,Comédie dramatique,60,Stephan Archinard,"François Prévôt-Leygonie, Stephan Archinard, François Prévôt-Leygonie","Gérard Lanvin, Jean-Hugues Anglade, Wladimir Yordanoff",France,SND,363024,2.8,3.4,729468.0,0.0,7.65,7.2,11.18,6.87,8.02,Winter,2013
un couteau dans le coeur,2018-06-27,"Thriller, Drame, Romance",60,Yann Gonzalez,"Yann Gonzalez, Cristiano Mangione","Vanessa Paradis, Kate Moran, Nicolas Maury",France,Memento Distribution,27312,3.0,2.3,298190.0,0.0,23.78,22.51,23.35,24.27,22.78,Summer,2018
couples retreat,2010-02-24,Comédie,60,Peter Billingsley,"Jon Favreau, Vince Vaughn","Vince Vaughn, Jason Bateman, Faizon Love",U.S.A.,Universal Pictures International France,80771,1.5,1.8,420915.0,70000000.0,8.7,7.04,11.41,8.69,8.34,Winter,2010
possessions,2012-03-07,"Drame, Thriller",60,Eric Guirado,"Isabelle Claris, Eric Guirado","Jérémie Renier, Julie Depardieu, Lucien Jean-Baptiste",France,UGC Distribution,55148,3.1,3.0,890391.0,0.0,7.89,7.46,6.79,6.7,8.48,Spring,2012
né quelque part,2013-06-19,Comédie dramatique,60,Mohamed Hamidi,"Alain-Michel Blanc, Mohamed Hamidi","Tewfik Jallab, Jamel Debbouze, Fatsah Bouyahmed",France,Mars Films,150067,3.4,3.4,616633.0,0.0,18.58,15.28,15.31,20.79,16.52,Summer,2013
nos batailles,2018-10-03,Drame,60,Guillaume Senez,"Guillaume Senez, Raphaëlle Desplechin","Romain Duris, Laure Calamy, Laetitia Dosch",France,Haut et Court,83239,4.1,3.7,356986.0,0.0,19.48,12.58,14.93,14.87,15.0,Autumn,2018
rafiki,2018-09-26,Drame,60,Wanuri Kahiu,"Wanuri Kahiu, Jenna Cato Bass","Samantha Mugatsia, Sheila Munyiva, Jimmi Gathu",Afrique du Sud,Météore Films,8440,3.2,3.6,109893.0,0.0,19.44,12.77,16.83,15.35,13.24,Autumn,2018
august: osage county,2014-02-26,"Comédie, Drame",120,John Wells,Tracy Letts,"Meryl Streep, Julia Roberts, Ewan McGregor",U.S.A.,Wild Bunch Distribution,230896,2.9,3.5,451451.0,25000000.0,7.2,6.64,8.32,6.28,5.76,Winter,2014
the spongebob movie: sponge out of water,2015-02-18,"Animation, Aventure, Comédie, Famille",60,Paul Tibbitt,"Mike Mitchell (V), Jonathan Aibel, Glenn Berger","Tom Kenny, Bill Fagerbakke, Clancy Brown",U.S.A.,Paramount Pictures France,582073,2.8,2.0,812546.0,74000000.0,5.8,4.55,5.61,6.35,4.49,Winter,2015
ratchet & clank,2016-04-13,"Animation, Aventure, Famille",60,Jericca Cleland,"Kevin Munroe, T.J. Fixman, Kevin Munroe"," Squeezie, James Arnold Taylor, Xavier Fagnon",Canada,La Belle Company,97190,2.2,2.3,287879.0,20000000.0,11.55,8.44,12.24,11.44,10.64,Spring,2016
m,2017-11-15,Drame,60,Sara Forestier,Sara Forestier,"Sara Forestier, Redouanne Harjane, Jean-Pierre Léaud",France,Ad Vitam,35112,3.2,3.7,184280.0,0.0,14.04,7.61,6.2,2.63,7.77,Autumn,2017
rester vertical,2016-08-24,Drame,60,Alain Guiraudie,Alain Guiraudie,"Damien Bonnard, India Hair, Christian Bouillette",France,Les Films du Losange,34156,3.7,2.6,172787.0,0.0,26.64,22.64,27.19,26.0,23.38,Summer,2016
child's play,2019-06-19,Epouvante-horreur,60,Lars Klevberg,Tyler Burton Smith,"Mark Hamill, Aubrey Plaza, Gabriel Bateman",U.S.A.,Paramount Pictures France,87030,3.0,2.7,150108.0,9000000.0,21.69,19.62,21.33,22.55,19.96,Summer,2019
marie curie,2018-01-24,Drame,60,Marie Noëlle,"Marie Noëlle, Andrea Stoll","Karolina Gruszka, Arieh Worthalter, Charles Berling",France,KMBO,13320,2.2,2.9,281186.0,0.0,6.13,5.84,5.49,7.83,7.47,Winter,2018
galveston,2018-10-10,Policier,60,Mélanie Laurent,Jim Hammet,"Ben Foster, Elle Fanning, Lili Reinhart",U.S.A.,The Jokers / Les Bookmakers,15958,3.0,3.1,361633.0,0.0,22.77,16.2,18.35,18.76,19.55,Autumn,2018
kkeut-kka-ji-gan-da,2015-01-07,"Policier, Action, Thriller",60,Seong Hun Kim,Seong Hun Kim,"Sun-kyun Lee, Jin-woong Cho, Man-Sik Jeong",Corée du Sud,Bodega Films,14747,3.6,3.9,322192.0,0.0,6.57,8.0,9.06,6.04,7.74,Winter,2015
les meilleurs amis du monde,2010-06-09,Comédie,60,Julien Rambaldi,"Julien Rambaldi, Guy Laurent","Marc Lavoine, Pierre-François Martin-Laval, Léa Drucker",France,Gaumont Distribution,218206,2.5,2.4,1169007.0,0.0,18.67,15.38,16.63,20.38,17.98,Summer,2010
music,2023-03-08,Drame,60,Angela Schanelec,Angela Schanelec,"Aliocha Schneider, Agathe Bonitzer, Marisha Triantafyllidou",Allemagne,Shellac,1370,3.5,2.5,3188.0,16000000.0,10.44,6.41,12.82,10.73,12.23,Spring,2023
papi-sitter,2020-03-04,Comédie,60,Philippe Guillard,Philippe Guillard,"Gérard Lanvin, Olivier Marchal, Camille Aguilar",France,Gaumont Distribution,187681,3.3,2.5,326631.0,0.0,9.0,8.63,10.52,7.26,8.6,Spring,2020
peur de rien,2016-02-10,Drame,120,Danielle Arbid,Danielle Arbid,"Manal Issa, Vincent Lacoste, Paul Hamy",France,Ad Vitam,20660,3.6,3.7,186821.0,0.0,4.8,2.57,7.1,4.52,3.83,Winter,2016
kriegerin,2013-03-27,Drame,60,David Wnendt,David Wnendt,"Alina Levshin, Jella Haase, Gerdy Zint",Allemagne,UFO Distribution,6039,2.8,3.7,140563.0,0.0,7.03,2.46,9.66,7.42,2.62,Spring,2013
l'amour est un crime parfait,2014-01-15,Thriller,60,Jean-Marie Larrieu,Arnaud Larrieu,"Mathieu Amalric, Karin Viard,  Maïwenn",France,Gaumont Distribution,171693,3.2,2.3,689512.0,0.0,5.82,5.37,7.67,6.08,6.99,Winter,2014
meek's cutoff,2011-06-22,Western,60,Kelly Reichardt,Jonathan Raymond,"Michelle Williams, Paul Dano, Bruce Greenwood",U.S.A.,Pretty Pictures,15699,4.2,3.0,200172.0,0.0,22.2,20.99,25.29,21.41,18.33,Summer,2011
la virgen de agosto,2020-08-05,Drame,120,Jonás Trueba,"Jonás Trueba, Itsaso Arana","Itsaso Arana, Vito Sanz, Isabelle Stoffel",Espagne,Arizona Distribution,13362,4.1,3.6,123926.0,0.0,27.13,26.75,25.47,24.46,26.97,Summer,2020
resident evil: the final chapter,2017-01-25,"Action, Epouvante-horreur",60,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Ali Larter, Iain Glen",U.S.A.,Metropolitan FilmExport,174825,2.2,2.2,4243412.0,40000000.0,3.48,2.62,5.12,1.87,3.79,Winter,2017
one piece - strong world,2011-08-24,Animation,60,Munehisa Sakai,Hirohiko Uesaka,"Ikue Ôtani, Hiroaki Hirata, Yûichi Nagashima",Japon,Eurozoom,10951,3.1,3.9,241795.0,0.0,20.44,14.54,20.1,17.67,15.89,Summer,2011
florence foster jenkins,2016-07-13,"Biopic, Drame, Comédie",60,Stephen Frears,Nicholas Martin,"Meryl Streep, Hugh Grant, Simon Helberg",Grande-Bretagne,Pathé,55876,3.5,3.6,368773.0,29000000.0,21.89,19.89,22.06,20.05,19.46,Summer,2016
step up 3-d,2010-08-18,"Romance, Comédie musicale",60,Jon M. Chu,"Amy Andelson, Emily Meyer","Rick Malambri, Adam Sevani, Sharni Vinson",U.S.A.,Universal Pictures International France,355666,3.3,3.7,1746292.0,30000000.0,23.75,19.28,22.95,23.6,19.9,Summer,2010
charlatan,2021-06-30,"Biopic, Drame, Historique",60,Agnieszka Holland,Marek Epstein,"Ivan Trojan, Josef Trojan, Juraj Loj",Pologne,KMBO,17917,3.0,3.5,157216.0,0.0,20.69,16.25,21.46,21.11,18.64,Summer,2021
"telle mère, telle fille",2017-03-29,Comédie,60,Noémie Saglio,"Noémie Saglio, Agathe Pastorino","Juliette Binoche, Camille Cottin, Lambert Wilson",France,Gaumont Distribution,123885,3.0,2.0,523407.0,0.0,13.5,12.44,14.47,13.85,13.73,Spring,2017
karafuru,2011-11-16,"Animation, Drame, Fantastique",120,Keiichi Hara,Miho Maruo,"Kazato Tomizawa, Aoi Miyazaki, Akina Minami",Japon,Eurozoom,3526,3.6,4.1,217141.0,0.0,16.28,5.18,12.63,9.56,8.02,Autumn,2011
feathers,2022-03-23,"Comédie dramatique, Fantastique",60,Omar El Zohairy,"Ahmed Amer (II), Omar El Zohairy","Demyana Nassar, Samy Bassouny, Fady Mina Fawzy",France,Dulac Distribution,5471,3.9,2.7,82880.0,0.0,12.23,10.47,14.11,13.23,11.32,Spring,2022
"kimi to, nami ni noretara",2021-09-01,"Animation, Romance, Fantastique",60,Masaaki Yuasa,Reiko Yoshida,"Ryōta Katayose, Rina Kawaei, Honoka Matsumoto",Japon,Alba Films,5636,3.7,3.5,92020.0,0.0,23.82,17.19,22.03,23.9,20.96,Autumn,2021
selon la police,2022-02-23,"Drame, Policier",60,Frédéric Videau,Frédéric Videau,"Patrick d'Assumçao, Sofia Lesaffre, Laetitia Casta",France,Pyramide Distribution,5704,2.4,2.3,96026.0,0.0,7.53,6.17,10.24,6.77,6.47,Winter,2022
god bless america,2012-10-10,Comédie,60,Bobcat Goldthwait,Bobcat Goldthwait,"Joel Murray, Tara Lynne Barr, Melinda Page Hamilton",U.S.A.,Potemkine Films,376,3.1,4.0,933496.0,0.0,17.91,9.89,14.44,12.92,11.3,Autumn,2012
"men, women & children",2014-12-10,Comédie dramatique,60,Jason Reitman,"Jason Reitman, Erin Cressida Wilson","Ansel Elgort, Jennifer Garner, Adam Sandler",U.S.A.,Paramount Pictures France,21894,2.3,3.2,268537.0,0.0,15.49,5.97,7.69,7.72,6.06,Winter,2014
20th century women,2017-03-01,"Drame, Comédie",60,Mike Mills,Mike Mills,"Annette Bening, Greta Gerwig, Elle Fanning",U.S.A.,Mars Films,35698,3.6,3.5,280310.0,7000000.0,8.42,7.21,10.45,7.56,7.88,Spring,2017
mastemah,2022-06-29,"Epouvante-horreur, Thriller",60,Didier D. Daarwin,"Didier D. Daarwin, Johanne Rigoulot","Camille Razat, Olivier Barthelemy, Tibo Vandenborre",France,Alba Films,3603,1.3,1.6,89968.0,0.0,21.41,19.26,18.44,22.0,21.37,Summer,2022
the happy prince,2018-12-19,"Biopic, Drame",60,Rupert Everett,Rupert Everett,"Rupert Everett, Colin Firth, Colin Morgan (II)",Grande-Bretagne,Océan Films,13801,3.0,2.9,54234.0,0.0,17.75,8.0,11.71,9.01,9.02,Winter,2018
"i, frankenstein",2014-01-29,"Epouvante-horreur, Thriller, Action",60,Stuart Beattie,Kevin Grevioux,"Aaron Eckhart, Bill Nighy, Yvonne Strahovski",U.S.A.,Metropolitan FilmExport,166331,1.9,1.8,493159.0,65000000.0,5.4,5.33,6.59,5.36,4.7,Winter,2014
l'echange des princesses,2017-12-27,"Historique, Drame",60,Marc Dugain,"Marc Dugain, Chantal Thomas","Lambert Wilson, Anamaria Vartolomei, Olivier Gourmet",France,Ad Vitam,123056,3.6,3.5,250234.0,0.0,16.16,5.6,10.54,5.47,7.17,Winter,2017
fatima,2015-10-07,"Drame, Famille",60,Philippe Faucon,Philippe Faucon,"Soria Zeroual, Zita Hanrot, Kenza Noah Aïche",France,Pyramide Distribution,66812,4.3,3.5,340356.0,0.0,17.5,9.51,13.01,12.25,11.73,Autumn,2015
starred up,2014-06-04,Drame,60,David Mackenzie,Jonathan Asser,"Jack O'Connell, Rupert Friend, Ben Mendelsohn",Grande-Bretagne,Wild Side Films / Le Pacte,35412,3.8,4.0,618214.0,0.0,21.12,18.65,20.04,24.4,19.51,Summer,2014
nos années folles,2017-09-13,Drame,60,André Téchiné,"André Téchiné, Cédric Anger","Pierre Deladonchamps, Céline Sallette, Grégoire Leprince-Ringuet",France,ARP Sélection,66095,3.2,2.6,356693.0,0.0,18.19,13.64,14.58,13.26,12.49,Autumn,2017
the boxtrolls,2014-10-15,"Aventure, Famille, Animation, Fantastique",60,Graham Annable,"Anthony Stacchi, Irena Brignull, Adam Pava","Isaac Hempstead Wright, Elle Fanning, Ben Kingsley",U.S.A.,Universal Pictures International France,142863,3.6,3.7,344015.0,60000000.0,22.67,16.16,19.7,19.24,16.26,Autumn,2014
my sweet pepper land,2014-04-09,Drame,60,Hiner Saleem,Hiner Saleem,"Golshifteh Farahani, Korkmaz Arslan, Suat Usta",France,Memento Distribution,41745,3.5,3.9,382125.0,0.0,12.69,9.4,15.89,12.61,10.53,Spring,2014
l'adieu à la nuit,2019-04-24,Drame,60,André Téchiné,"André Téchiné, Léa Mysius","Catherine Deneuve, Kacey Mottet Klein, Oulaya Amamra",France,Ad Vitam,100079,3.6,3.5,186964.0,0.0,12.15,11.01,12.06,11.05,9.65,Spring,2019
al-sadd,2023-03-01,Drame,60,Ali Cherri,"Ali Cherri, Geoffroy Grison","Maher El Khair, Mudathir Musa, Santino Aguer Ding",France,Dulac Distribution,4214,3.3,2.6,77544.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,2023
free fire,2017-06-14,"Action, Thriller, Comédie",60,Ben Wheatley,"Amy Jump, Ben Wheatley","Brie Larson, Cillian Murphy, Armie Hammer",Grande-Bretagne,Metropolitan FilmExport,6650,2.7,2.5,401598.0,7000000.0,23.82,22.16,25.25,23.82,23.86,Summer,2017
au bout du conte,2013-03-06,Comédie,60,Agnès Jaoui,"Agnès Jaoui, Jean-Pierre Bacri","Agnès Jaoui, Jean-Pierre Bacri, Agathe Bonitzer",France,Memento Distribution,369847,3.5,2.8,622802.0,0.0,8.87,4.7,12.54,10.1,6.99,Spring,2013
le skylab,2011-10-05,Comédie,60,Julie Delpy,Julie Delpy,"Julie Delpy, Noémie Lvovsky, Bernadette Lafont",France,Mars Films,129376,3.2,2.7,1086790.0,0.0,19.74,14.83,15.78,13.22,14.87,Autumn,2011
paranorman,2012-08-22,"Animation, Aventure, Comédie",60,Sam Fell,"Chris Butler, Chris Butler","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick",U.S.A.,Universal Pictures International France,137124,3.8,3.7,2393525.0,60000000.0,23.04,17.69,20.64,22.67,20.2,Summer,2012
akher wahed fina,2018-08-22,Drame,60,Ala Eddine Slim,Ala Eddine Slim,"Jawher Soudani, Fathi Akkari, Jihed Fourti",Tunisie,Potemkine Films,850,3.6,3.3,59043.0,0.0,22.41,16.18,21.28,22.76,17.84,Summer,2018
venise sous la neige,2017-05-17,Comédie,60,Elliott Covrigaru,"Elliott Covrigaru, Véra Belmont","Élodie Fontan, Arthur Jugnot, Juliette Arnaud",France,Urban Distribution,13074,2.5,1.6,106989.0,0.0,17.19,15.49,17.85,16.09,16.52,Spring,2017
the miseducation of cameron post,2018-07-18,Drame,60,Desiree Akhavan,"Desiree Akhavan, Cecilia Frugiuele","Chloë Grace Moretz, Sasha Lane, Forrest Goodluck",U.S.A.,Condor Distribution,18457,2.8,3.3,314213.0,900000.0,24.33,22.63,24.4,22.59,23.05,Summer,2018
éternité,2016-09-07,Drame,60,Tran Anh Hung,Tran Anh Hung,"Audrey Tautou, Bérénice Bejo, Mélanie Laurent",France,Pathé,50697,2.9,2.1,670947.0,0.0,25.4,22.33,23.29,25.39,19.98,Autumn,2016
benvenuti al sud,2010-11-24,Comédie,60,Luca Miniero,Massimo Gaudioso,"Claudio Bisio, Alessandro Siani, Angela Finocchiaro",Italie,Pathé,21667,1.7,1.8,255282.0,4000000.0,10.0,-0.79,3.77,-0.37,0.4,Autumn,2010
aquarius,2016-09-28,"Drame, Thriller",120,Kleber Mendonça Filho,Kleber Mendonça Filho,"Sônia Braga, Maeve Jinkings, Irandhir Santos",Brésil,SBS Distribution,51391,4.3,3.8,360802.0,762241.0,20.47,15.21,17.45,16.01,14.68,Autumn,2016
the souvenir - part i,2022-02-02,"Drame, Romance",60,Joanna Hogg,Joanna Hogg,"Honor Swinton Byrne, Tilda Swinton, Tom Burke",Grande-Bretagne,Condor Distribution,13082,4.3,3.1,132772.0,0.0,6.54,6.23,8.06,5.6,7.83,Winter,2022
the lazarus effect,2015-03-11,Epouvante-horreur,60,David Gelb,"Luke Dawson, Jeremy Slater","Mark Duplass, Olivia Wilde, Donald Glover",U.S.A.,Metropolitan FilmExport,101092,2.3,1.9,301516.0,3300000.0,8.78,5.75,9.37,9.74,8.04,Spring,2015
party girl,2014-08-27,Drame,60,Marie Amachoukeli,"Claire Burger, Samuel Theis, Marie Amachoukeli, Claire Burger","Angélique Litzenburger, Joseph Bour, Mario Theis",France,Pyramide Distribution,80755,3.6,3.5,217158.0,150000.0,21.85,17.03,19.88,18.74,18.6,Summer,2014
d'amour et d'eau fraîche,2010-08-18,Drame,60,Isabelle Czajka,Isabelle Czajka,"Pio Marmaï, Anaïs Demoustier, Laurent Poitrenaux",France,Bac Films,20326,3.3,2.8,228255.0,0.0,23.75,19.28,22.95,23.6,19.9,Summer,2010
switch,2011-07-06,Thriller,60,Frédéric Schoendoerffer,"Jean-Christophe Grangé, Frédéric Schoendoerffer","Karine Vanasse, Karina Testa, Eric Cantona",France,Pathé,122604,2.3,2.9,873154.0,0.0,21.6,16.93,20.32,23.91,19.86,Summer,2011
también la lluvia,2011-01-05,"Drame, Historique",60,Icíar Bollaín,Paul Laverty,"Gael García Bernal, Luis Tosar, Carlos Aduviri",Espagne,Haut et Court,49237,3.2,4.0,453394.0,10600000.0,5.68,4.19,8.57,7.44,7.21,Winter,2011
revenir,2020-01-29,Drame,60,Jessica Palud,Jessica Palud,"Niels Schneider, Adèle Exarchopoulos, Patrick d'Assumçao",France,Pyramide Distribution,22258,3.1,3.1,207886.0,0.0,9.49,7.61,13.45,10.52,10.87,Winter,2020
augustine,2012-11-07,Drame,60,Alice Winocour,Alice Winocour,"Vincent Lindon,  Soko, Chiara Mastroianni",France,ARP Sélection,67617,3.9,2.6,812568.0,0.0,15.45,7.71,9.09,8.41,7.05,Autumn,2012
djam,2017-08-09,Drame,60,Tony Gatlif,Tony Gatlif,"Daphne Patakia, Simon Abkarian, Maryne Cayon",France,Les Films du Losange,30200,3.4,3.8,186051.0,0.0,21.42,17.06,21.17,19.6,17.26,Summer,2017
ramen teh,2018-10-03,Drame,60,Eric Khoo,"Tan Fong Cheng, Wong Kim Hoh","Takumi Saitoh, Jeanette Aw Ee-Ping, Mark Lee (III)",Japon,Art House / KMBO,29450,3.5,3.9,275955.0,0.0,19.48,12.58,14.93,14.87,15.0,Autumn,2018
nowhere boy,2010-12-08,"Biopic, Drame, Musical",60,Sam Taylor-Johnson,Matt Greenhalgh,"Aaron Taylor-Johnson, Kristin Scott Thomas, Anne-Marie Duff",Grande-Bretagne,Mars Films,28879,2.5,3.7,464306.0,0.0,11.65,1.72,5.7,1.56,0.26,Winter,2010
gaspard va au mariage,2018-01-31,"Comédie, Famille",60,Antony Cordier,Antony Cordier,"Félix Moati, Laetitia Dosch, Christa Théret",France,Pyramide Distribution,55175,3.8,3.0,346995.0,0.0,3.99,3.85,4.78,3.94,2.39,Winter,2018
tous les soleils,2011-03-30,Comédie,60,Philippe Claudel,Philippe Claudel,"Stefano Accorsi, Clotilde Courau, Neri Marcorè",France,UGC Distribution,188591,2.9,3.6,959720.0,0.0,12.95,12.01,15.66,13.36,10.73,Spring,2011
promare,2019-07-31,"Animation, Action, Science fiction",60,Hiroyuki Imaishi,Kazuki Nakashima,"Cédric Dumond, Kenichi Matsuyama, Donald Reignoux",Japon,Eurozoom,8508,3.6,3.8,185308.0,0.0,24.1,19.24,23.63,24.16,22.45,Summer,2019
l'autre monde,2010-07-14,"Drame, Thriller",60,Gilles Marchand,"Gilles Marchand, Dominik Moll","Grégoire Leprince-Ringuet, Louise Bourgoin, Melvil Poupaud",France,Haut et Court,30364,2.6,2.0,668304.0,0.0,22.56,20.71,22.11,22.42,19.57,Summer,2010
la gomera,2020-01-08,Thriller,60,Corneliu Porumboiu,Corneliu Porumboiu,"Vlad Ivanov, Catrinel Marlon, Rodica Lazar",Roumanie,Diaphana Distribution,34852,3.6,2.6,188685.0,0.0,7.09,10.08,8.79,6.06,8.52,Winter,2020
