title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
maestro(s),2022-12-07,Drame,60,Bruno Chiche,"Bruno Chiche, Yaël Langmann","Yvan Attal, Pierre Arditi,  Miou-Miou",France,Apollo Films / Orange Studio,111837,3.0,3.1,40794.0,0.0,10.46,0.38,2.52,0.12,0.3,Winter,2022
the batman,2022-03-02,"Action, Policier, Thriller",120,Matt Reeves,"Matt Reeves, Peter Craig","Robert Pattinson, Zoë Kravitz, Paul Dano",U.S.A.,Warner Bros. France,1165588,3.9,4.1,330830.0,185000000.0,6.92,5.66,8.07,5.99,5.88,Spring,2022
coco,2017-11-15,"Animation, Fantastique, Famille",60,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",U.S.A.,The Walt Disney Company France,948846,4.1,4.5,1508099.0,175000000.0,14.04,7.61,6.2,2.63,7.77,Autumn,2017
annie colère,2022-11-30,Comédie dramatique,120,Blandine Lenoir,"Blandine Lenoir, Axelle Ropert","Laure Calamy, Zita Hanrot, India Hair",France,Diaphana Distribution,68373,3.8,4.0,159751.0,3500000.0,13.1,3.52,5.51,4.56,3.89,Autumn,2022
rock'n roll,2017-02-15,"Comédie, Comédie dramatique",120,Guillaume Canet,"Guillaume Canet, Philippe Lefebvre","Guillaume Canet, Marion Cotillard, Gilles Lellouche",France,Pathé,630004,3.3,2.7,1326317.0,17900000.0,8.36,8.34,9.95,8.16,8.36,Winter,2017
where the crawdads sing,2022-08-17,"Drame, Thriller",120,Olivia Newman,Lucy Alibar,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson",U.S.A.,Sony Pictures Releasing France,110381,2.6,4.0,115627.0,24000000.0,23.63,20.84,21.53,21.93,20.85,Summer,2022
le bleu du caftan,2023-03-22,"Drame, Romance",120,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",France,Ad Vitam,54381,3.8,4.3,140979.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,2023
65 - la terre d'avant,2023-03-15,"Science fiction, Thriller, Action",60,Scott Beck,"Bryan Woods, Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman",U.S.A.,Sony Pictures Releasing France,187043,2.0,2.0,65512.0,45000000.0,11.33,10.05,12.91,11.87,10.8,Spring,2023
inception,2010-07-21,"Science fiction, Thriller",120,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Marion Cotillard, Elliot Page",U.S.A.,Warner Bros. France,1305534,4.1,4.5,3783086.0,160000000.0,21.25,18.53,21.11,18.77,18.84,Summer,2010
barbaque,2021-10-27,Comédie,60,Fabrice Eboué,"Fabrice Eboué, Vincent Solignac","Fabrice Eboué, Marina Foïs, Nicolas Lumbreras",France,Apollo Films / TF1 Studio,126252,3.3,3.6,233691.0,0.0,17.93,9.96,13.45,12.49,10.73,Autumn,2021
vaincre ou mourir,2023-01-25,"Historique, Action",60,Vincent Mottez,"Paul Mignot, Vincent Mottez","Hugo Becker, Rod Paradot, Gilles Cohen",France,Saje Distribution,23152,1.3,3.9,173629.0,0.0,3.85,4.78,5.29,1.31,3.88,Winter,2023
reste un peu,2022-11-16,Comédie,60,Gad Elmaleh,"Gad Elmaleh, Benjamin Charbit","Gad Elmaleh, Régine Elmaleh, David Elmaleh",France,StudioCanal,152695,3.7,3.3,203094.0,0.0,16.65,8.11,10.12,9.87,9.17,Autumn,2022
"simone, le voyage du siècle",2022-10-12,"Biopic, Drame",120,Olivier Dahan,Olivier Dahan,"Elsa Zylberstein, Rebecca Marder, Élodie Bouchez",France,Warner Bros. France,486242,3.1,4.1,228611.0,0.0,21.78,16.39,18.83,17.76,14.91,Autumn,2022
midsommar,2019-07-31,Epouvante-horreur,120,Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Will Poulter",U.S.A.,Metropolitan FilmExport,61418,3.7,3.5,202264.0,9000000.0,24.1,19.24,23.63,24.16,22.45,Summer,2019
black adam,2022-10-19,"Action, Fantastique, Aventure",120,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",U.S.A.,Warner Bros. France,713308,2.1,2.9,127786.0,200000000.0,22.34,14.78,18.99,19.03,16.89,Autumn,2022
