,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2327,"Drame, Romance",107,France,182538,4.1,3.7,804403.0,0.0,16.28,5.18,12.63,9.56,8.02,Autumn,False,0.0,0.0,0,127.0
2328,Drame,108,France,100221,3.6,3.5,1010816.0,0.0,18.97,10.67,18.48,15.41,12.29,Autumn,False,0.33,0.0,0,127.0
2329,"Drame, Romance",95,Allemagne,487,3.2,3.6,86853.0,0.0,11.62,9.04,12.94,11.34,10.78,Spring,False,0.0,0.0,0,26.0
2330,Drame,97,Hongrie,6943,3.7,3.2,86066.0,80000000.0,19.7,16.06,20.81,22.97,18.66,Spring,False,0.0,0.0,0,74.0
2331,"Animation, Drame",80,République tchèque,11763,3.7,3.8,77768.0,0.0,14.03,13.35,14.83,13.08,11.91,Spring,True,0.0,0.0,0,127.0
2332,"Comédie, Romance",110,France,546052,2.4,3.1,3035574.0,15000000.0,21.25,17.32,21.47,22.37,19.07,Summer,False,0.33,0.0,0,156.0
2333,"Erotique, Drame, Romance",103,France,54407,2.8,2.2,600064.0,0.0,19.35,16.09,15.16,15.65,12.84,Autumn,False,1.0,0.0,0,207.0
2334,Drame,107,France,274414,3.5,3.4,786972.0,0.0,15.84,8.29,9.11,7.83,8.96,Autumn,False,0.67,1.0,1,150.0
2335,Comédie,106,France,191612,3.5,2.0,602955.0,0.0,12.13,9.14,13.09,12.85,9.56,Spring,True,0.67,0.0,0,124.0
2336,"Drame, Romance",124,U.S.A.,130327,3.8,3.8,406519.0,9000000.0,8.36,8.34,9.95,8.16,8.36,Winter,True,0.0,0.0,0,150.0
2337,Drame,107,France,86676,3.7,3.7,359514.0,0.0,7.94,5.89,7.84,5.69,8.29,Spring,False,0.0,0.0,0,207.0
2338,Drame,96,France,180826,4.2,3.8,849939.0,0.0,15.49,5.97,7.69,7.72,6.06,Winter,False,0.0,0.0,0,207.0
2339,"Drame, Fantastique",92,Costa Rica,1446,3.2,2.6,2993.0,0.0,8.3,7.73,9.41,8.59,8.79,Winter,True,0.0,0.0,0,71.0
2340,"Drame, Romance, Comédie musicale",124,U.S.A.,2350,2.7,1.7,19446.0,20000000.0,7.96,6.37,6.85,6.71,6.88,Spring,False,0.0,0.0,0,243.0
2341,Action,118,U.S.A.,124735,2.4,3.2,835678.0,35000000.0,13.21,12.15,13.44,11.49,12.99,Spring,True,0.33,0.0,0,142.0
2342,"Thriller, Drame",117,France,9080,3.5,3.7,202813.0,0.0,21.0,17.41,24.33,20.91,17.36,Summer,False,0.0,0.0,0,134.0
2343,"Fantastique, Romance",124,U.S.A.,438226,2.9,2.6,1076195.0,60000000.0,5.6,3.42,7.11,3.02,5.46,Winter,True,0.0,0.0,0,142.0
2344,"Drame, Thriller",106,France,26908,2.7,2.3,490515.0,0.0,21.71,20.16,21.87,19.81,21.73,Summer,False,0.0,0.0,0,124.0
2345,"Drame, Famille, Romance",109,Grande-Bretagne,1243,2.9,3.7,50655.0,0.0,18.74,16.5,17.34,19.06,18.78,Spring,False,0.0,0.0,0,22.0
2346,Comédie,91,Espagne,280394,3.0,2.4,609472.0,5000000.0,7.03,2.46,9.66,7.42,2.62,Spring,False,0.33,1.0,1,156.0
2347,"Policier, Thriller",104,Espagne,69268,3.7,4.0,621810.0,4000000.0,23.88,19.53,24.29,26.25,20.35,Summer,True,0.0,0.0,0,207.0
2348,Comédie,99,France,109237,3.2,1.8,774555.0,0.0,8.41,7.67,9.91,9.28,7.2,Winter,True,0.33,0.0,0,134.0
2349,Thriller,103,France,55338,3.7,3.4,406999.0,0.0,21.36,18.16,20.1,21.55,19.97,Summer,True,0.33,0.0,0,76.0
2350,"Comédie, Espionnage",89,Grande-Bretagne,121585,2.9,3.0,125053.0,25000000.0,22.77,16.2,18.35,18.76,19.55,Autumn,False,0.33,0.0,0,243.0
