,duration,nationality,box_office_first_week,views,budget,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
47,93,U.S.A.,187043,65512.0,45000000.0,Spring,False,1,0,0,154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
48,148,U.S.A.,1305534,3783086.0,160000000.0,Summer,True,3,1,1,183.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
49,88,France,126252,233691.0,0.0,Autumn,True,1,0,0,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,100,France,23152,173629.0,0.0,Winter,False,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,93,France,152695,203094.0,0.0,Autumn,False,0,0,0,160.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,140,France,486242,228611.0,0.0,Autumn,False,0,0,0,183.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,147,U.S.A.,61418,202264.0,9000000.0,Summer,True,0,0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,125,U.S.A.,713308,127786.0,200000000.0,Autumn,False,1,0,0,183.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,110,France,35020,161310.0,0.0,Winter,True,1,0,0,73.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,105,Allemagne,16932,76820.0,0.0,Summer,False,0,0,0,95.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,131,U.S.A.,1529608,2331023.0,170000000.0,Spring,False,2,0,0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,90,Japon,52791,188166.0,0.0,Spring,True,0,0,0,23.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,127,U.S.A.,491067,358804.0,90000000.0,Summer,True,1,0,0,154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,91,France,83427,149535.0,0.0,Summer,True,2,0,0,43.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,118,France,332971,322035.0,7780000.0,Spring,False,0,1,1,160.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,91,France,180034,69214.0,0.0,Autumn,False,2,0,0,156.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,100,France,192906,242321.0,4000000.0,Autumn,False,1,1,1,128.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,97,U.S.A.,235926,118122.0,15000000.0,Spring,True,0,0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,122,U.S.A.,1576425,1095425.0,55000000.0,Autumn,False,2,0,0,183.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,128,Turquie,45633,133500.0,0.0,Spring,True,0,0,0,76.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,97,France,337525,872504.0,0.0,Spring,False,2,0,0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,98,France,298308,214620.0,0.0,Spring,False,1,0,0,142.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,81,Portugal,298,2746.0,0.0,Summer,False,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,102,U.S.A.,193688,2472418.0,1500000.0,Summer,False,0,0,0,134.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,100,France,279606,96517.0,5180000.0,Spring,False,1,0,0,183.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,122,U.S.A.,464821,307849.0,35000000.0,Spring,False,0,0,0,107.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,98,France,27639,113381.0,0.0,Spring,True,0,0,0,127.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,139,U.S.A.,132121,310040.0,25000000.0,Summer,True,0,0,0,2.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,135,U.S.A.,242663,683153.0,40000000.0,Winter,True,1,0,0,154.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,126,Autres,32996,97167.0,0.0,Winter,True,0,0,0,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,90,Iran,8528,9815.0,0.0,Spring,False,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,93,France,102498,137289.0,0.0,Summer,True,0,0,0,142.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,133,U.S.A.,827046,3058802.0,145000000.0,Winter,False,2,0,0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,114,France,96667,283299.0,0.0,Summer,True,0,0,0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
83,89,France,233008,86880.0,0.0,Winter,True,1,0,0,124.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,179,U.S.A.,35019,146637.0,35000000.0,Spring,True,1,0,0,115.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,156,U.S.A.,1030687,590004.0,165000000.0,Autumn,False,3,1,1,183.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,107,France,126975,228201.0,0.0,Winter,False,1,0,0,76.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,95,Belgique,33659,117557.0,0.0,Spring,False,1,0,0,15.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
88,134,U.S.A.,420168,98041.0,151000000.0,Spring,True,1,0,0,107.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,110,Algérie,21049,123893.0,0.0,Spring,True,0,0,0,64.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,91,Portugal,288750,934415.0,7000000.0,Spring,True,0,0,0,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,151,U.S.A.,142309,347143.0,60000000.0,Winter,False,2,1,1,114.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,128,U.S.A.,754534,1639036.0,30000000.0,Winter,False,2,1,1,142.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,141,U.S.A.,150045,661049.0,30000000.0,Spring,False,2,0,0,160.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,134,France,91498,175192.0,14000000.0,Autumn,True,2,0,0,156.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,108,U.S.A.,57763,161725.0,30000000.0,Spring,True,2,0,0,258.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,98,Grande-Bretagne,56893,31876.0,40000000.0,Autumn,False,0,0,0,114.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,151,U.S.A.,367332,325050.0,40000000.0,Winter,True,0,1,1,243.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,125,U.S.A.,426112,1482092.0,120000000.0,Winter,False,0,0,0,165.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
