title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
the hunt,2020-06-22,"Action, Thriller",91,Craig Zobel,"Damon Lindelof, Nick Cuse","Betty Gilpin, Hilary Swank, Wayne Duvall",U.S.A.,Universal Pictures International France,19 864,"3,2","3,0",271060,14000000.0,Summer
pride and prejudice,2006-01-18,"Romance, Comédie",129,Joe Wright,"Deborah Moggach, Emma Thompson","Keira Knightley, Matthew Macfadyen, Rosamund Pike",U.S.A.,Mars Distribution,167 705,"3,8","4,0",525532,0.0,Winter
une femme de notre temps,2022-10-05,Drame,96,Jean Paul Civeyrac,Jean Paul Civeyrac,"Sophie Marceau, Johan Heldenbergh, Cristina Flutur",France,Rezo Films,13 090,"2,6","1,7",137853,2700000.0,Autumn
il sol dell’avvenire,2023-06-28,"Comédie dramatique, Drame, Comédie",95,Nanni Moretti,"Francesca Marciano, Nanni Moretti","Nanni Moretti, Margherita Buy, Silvio Orlando",Italie,Le Pacte,91 786,"3,9","3,3",103252,13266839.0,Summer
the wolf of wall street,2013-12-25,"Biopic, Drame",179,Martin Scorsese,Terence Winter,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",U.S.A.,Metropolitan FilmExport,1 013 324,"4,0","4,2",1501032,100000000.0,Winter
petit jésus,2023-07-12,Comédie,95,Julien Rigoulot,Julien Rigoulot,"Antoine Bertrand, Esteban Azuara Eymard, Gérard Darmon",France,Wild Bunch Distribution,13 176,"2,7","3,0",13072,3100000.0,Summer
the lost city of z,2017-03-15,Aventure,141,James Gray,James Gray,"Charlie Hunnam, Sienna Miller, Tom Holland",U.S.A.,StudioCanal,150 045,"4,5","3,9",661463,30000000.0,Spring
dungeons & dragons: honor among thieves,2023-04-12,"Fantastique, Aventure",134,Jonathan Goldstein (XII),"John Francis Daley, Jonathan Goldstein (XII), John Francis Daley","Chris Pine, Michelle Rodriguez, Regé-Jean Page",U.S.A.,Paramount Pictures France,420 168,"3,3","3,8",98181,151000000.0,Spring
the batman,2022-03-02,"Action, Policier, Thriller",177,Matt Reeves,"Matt Reeves, Peter Craig","Robert Pattinson, Zoë Kravitz, Paul Dano",U.S.A.,Warner Bros. France,1 165 588,"3,9","4,1",330861,185000000.0,Spring
en los márgenes,2023-07-05,Thriller,103,Juan Diego Botto,"Juan Diego Botto, Olga Rodríguez","Penélope Cruz, Luis Tosar, Christian Checa",Espagne,Condor Distribution,28 720,"3,6","3,5",211046,0.0,Summer
j'accuse,2019-11-13,"Drame, Historique, Thriller",132,Roman Polanski,"Robert Harris (II), Roman Polanski","Jean Dujardin, Louis Garrel, Emmanuelle Seigner",France,Gaumont Distribution,501 228,"4,0","3,8",747001,25300000.0,Autumn
nezouh,2023-06-21,Drame,103,Soudade Kaadan,Soudade Kaadan,"Kinda Aloush, Hala Zein, Samir Almasri",Autres,Pyramide Distribution,3 771,"3,0","3,0",70434,0.0,Summer
la dernière reine,2023-04-19,"Historique, Drame",110,Damien Ounouri,"Adila Bendimerad, Damien Ounouri, Adila Bendimerad","Adila Bendimerad, Dali Benssalah, Mohamed Tahar Zaoui",Algérie,Jour2fête,21 049,"3,8","4,1",124003,0.0,Spring
as bestas,2022-07-20,"Thriller, Drame",137,Rodrigo Sorogoyen,"Isabel Peña, Rodrigo Sorogoyen","Marina Foïs, Denis Ménochet, Luis Zahera",Espagne,Le Pacte,74 066,"4,2","4,1",266065,0.0,Summer
un homme heureux,2023-02-15,Comédie,89,Tristan Séguéla,"Guy Laurent, Isabelle Lazard","Fabrice Luchini, Catherine Frot, Philippe Katerine",France,Gaumont Distribution,233 008,"3,1","2,9",87100,0.0,Winter
the dark knight,2008-08-13,"Action, Thriller",152,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart",U.S.A.,Warner Bros. France,1 271 688,"4,0","4,5",2161057,185000000.0,Summer
le bleu du caftan,2023-03-22,"Drame, Romance",122,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",France,Ad Vitam,54 381,"3,8","4,3",141361,0.0,Spring
everything everywhere all at once,2022-08-31,"Action, Comédie, Drame, Science fiction, Arts Martiaux",139,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",U.S.A.,Pathé Live,132 121,"3,9","3,5",310236,25000000.0,Summer
la nuit du verre d’eau,2023-06-14,"Drame, Romance",83,Carlos Chahine,Carlos Chahine,"Marilyne Naaman, Antoine Merheb Harb, Nathalie Baye",France,"JHR Films , Jour2Fête",12 657,"2,6","3,6",119155,1200000.0,Summer
bullet train,2022-08-03,"Action, Thriller",127,David Leitch,Zak Olkewicz,"Brad Pitt, Joey King, Aaron Taylor-Johnson",U.S.A.,Sony Pictures Releasing France,491 067,"3,2","3,9",358989,90000000.0,Summer
mission: impossible - ghost protocol,2011-12-14,"Action, Espionnage, Thriller",133,Brad Bird,"Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,827 046,"3,9","3,8",3059303,145000000.0,Winter
derb,2023-05-24,Drame,90,Hadi Mohaghegh,Hadi Mohaghegh,"Hadi Mohaghegh, Mohammad Eghbali",Iran,Bodega Films,8 528,"4,0","3,6",9886,0.0,Spring
mission: impossible iii,2006-05-03,"Action, Espionnage, Thriller",126,J.J. Abrams,"J.J. Abrams, Alex Kurtzman","Tom Cruise, Philip Seymour Hoffman, Ving Rhames",U.S.A.,United International Pictures (UIP),996 860,"3,3","3,3",969956,150000000.0,Spring
see how they run,2022-09-14,"Comédie, Policier",98,Tom George,Mark Chappell,"Sam Rockwell, Saoirse Ronan, Adrien Brody",Grande-Bretagne,The Walt Disney Company France,56 893,"2,8","2,9",31911,40000000.0,Autumn
coco,2017-11-15,"Animation, Fantastique, Famille",105,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",U.S.A.,The Walt Disney Company France,948 846,"4,1","4,5",1508194,175000000.0,Autumn
wahou !,2023-06-07,Comédie,90,Bruno Podalydès,Bruno Podalydès,"Karin Viard, Bruno Podalydès, Sabine Azéma",France,UGC Distribution,95 610,"3,5","2,5",164047,0.0,Summer
novembre,2022-10-05,"Thriller, Policier",107,Cédric Jimenez,"Olivier Demangel, Cédric Jimenez","Jean Dujardin, Anaïs Demoustier, Sandrine Kiberlain",France,StudioCanal,592 681,"3,5","4,1",373770,17700000.0,Autumn
vaincre ou mourir,2023-01-25,"Historique, Action",100,Vincent Mottez,"Paul Mignot, Vincent Mottez","Hugo Becker, Rod Paradot, Gilles Cohen",France,Saje Distribution,83 814,"1,3","3,9",173907,0.0,Winter
une histoire d'amour et de désir,2021-09-01,"Drame, Romance",102,Leyla Bouzid,Leyla Bouzid,"Sami Outalbali, Zbeida Belhajamor, Diong-Keba Tacu",France,Pyramide Distribution,16 502,"4,0","3,8",102150,0.0,Autumn
the unbearable weight of massive talent,2022-04-20,"Action, Comédie",108,Tom Gormican,"Tom Gormican, Kevin Etten","Nicolas Cage, Pedro Pascal, Alessandra Mastronardi",U.S.A.,Metropolitan FilmExport,57 763,"3,1","3,1",162956,30000000.0,Spring
fifi,2023-06-14,Comédie dramatique,108,Jeanne Aslan,"Paul Saintillan, Jeanne Aslan, Paul Saintillan","Céleste Brunnquell, Quentin Dolmaire, Ilan Schermann",France,New Story,17 284,"3,6","3,9",131144,0.0,Summer
omar la fraise,2023-05-24,Drame,92,Elias Belkeddar,"Elias Belkeddar, Jérôme Pierrat","Reda Kateb, Benoît Magimel, Meriem Amiar",France,StudioCanal,140 144,"3,4","2,9",189168,5490000.0,Spring
gone girl,2014-10-08,"Thriller, Policier, Drame",149,David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris",U.S.A.,Twentieth Century Fox France,539 178,"4,0","4,3",1181695,61000000.0,Autumn
sick of myself,2023-05-31,Comédie dramatique,97,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager",Norvège,Tandem,14 638,"3,4","3,4",87787,0.0,Spring
spider-man: into the spider-verse,2018-12-12,"Animation, Action, Famille",117,Bob Persichetti,"Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman","Stéphane Bak, Shameik Moore, Jake Johnson (XVI)",U.S.A.,Sony Pictures Releasing France,218 728,"4,2","4,4",622474,90000000.0,Winter
avatar: the way of water,2022-12-14,"Science fiction, Aventure, Fantastique, Action",192,James Cameron,"James Cameron, Rick Jaffa","Sam Worthington, Zoe Saldana, Sigourney Weaver",U.S.A.,The Walt Disney Company France,2 739 848,"4,1","4,2",927086,460000000.0,Winter
the pope's exorcist,2023-05-10,"Epouvante-horreur, Biopic, Fantastique",103,Julius Avery,"Evan Spiliotopoulos, Michael Petroni","Russell Crowe, Daniel Zovatto, Alex Essoe",U.S.A.,Sony Pictures Releasing France,155 555,"2,9","2,8",64244,18000000.0,Spring
love again,2023-06-07,"Comédie, Romance",105,Jim Strouse,Jim Strouse,"Priyanka Chopra Jonas, Sam Heughan, Céline Dion",U.S.A.,Sony Pictures Releasing France,36 242,"2,4","2,7",27397,9000000.0,Summer
"indiana jones and the kingdom of the crystal skull
",2008-05-21,"Aventure, Action",123,Steven Spielberg,"David Koepp, George Lucas","Harrison Ford, Shia LaBeouf, Karen Allen",U.S.A.,Paramount Pictures France,1 674 041,"3,0","3,1",2825542,185000000.0,Spring
marinette,2023-06-07,Biopic,96,Virginie Verrier,Virginie Verrier,"Garance Marillier, Emilie Dequenne, Alban Lenoir",France,"The Jokers , Les Bookmakers",26 273,"3,0","3,8",104179,5500000.0,Summer
evil dead rise,2023-04-19,"Epouvante-horreur, Fantastique",97,Lee Cronin,Lee Cronin,"Lily Sullivan, Alyssa Sutherland, Morgan Davies",U.S.A.,Metropolitan FilmExport,235 926,"3,1","2,9",118494,15000000.0,Spring
farang,2023-06-28,Action,99,Xavier Gens,"Xavier Gens, Magali Rossito","Nassim Lyes, Loryn Nounay, Olivier Gourmet",France,StudioCanal,79 426,"3,4","3,7",223912,4920000.0,Summer
insidious: the red door,2023-07-05,"Epouvante-horreur, Fantastique",108,Patrick Wilson,Scott Teems,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Sony Pictures Releasing France,306 107,"2,1","2,2",50006,16000000.0,Summer
l'innocent,2022-10-12,Comédie,100,Louis Garrel,"Louis Garrel, Tanguy Viel","Roschdy Zem, Anouk Grinberg, Noémie Merlant",France,Ad Vitam,192 906,"4,1","3,9",242551,4000000.0,Autumn
antichrist,2009-06-03,"Thriller, Drame",110,Lars von Trier,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",France,Les Films du Losange,63 719,"2,2","2,4",906381,11000000.0,Summer
asteroid city,2023-06-21,Comédie dramatique,106,Wes Anderson,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",U.S.A.,Universal Pictures International France,117 498,"3,3","3,0",148311,25000000.0,Summer
deux moi,2019-09-11,Drame,110,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Ana Girardot, François Civil, Camille Cottin",France,StudioCanal,238 161,"3,7","3,5",970270,0.0,Autumn
insidious,2011-06-15,Epouvante-horreur,102,James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Wild Bunch Distribution,193 688,"3,2","3,5",2472418,1500000.0,Summer
get out,2017-05-03,Thriller,104,Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener",U.S.A.,Universal Pictures International France,465 265,"4,0","4,0",1043115,4500000.0,Spring
yo mama,2023-07-05,Comédie,97,Leïla Sy,"Amadou Mariko, Amadou Mariko","Claudia Tagbo,  Zaho, Sophie-Marie Larrouy",France,Gaumont Distribution,78 717,"2,4","2,8",93944,0.0,Summer
triangle of sadness,2022-09-28,"Drame, Comédie",149,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Charlbi Dean Kriek, Woody Harrelson",Suède,Bac Films,179 786,"3,2","3,8",498535,15600000.0,Autumn
passages,2023-06-28,"Drame, Romance",92,Ira Sachs,"Ira Sachs, Maurício Zacharias","Franz Rogowski, Ben Whishaw, Adèle Exarchopoulos",France,SBS Distribution,11 227,"2,8","2,7",128459,0.0,Summer
retour chez ma mère,2016-06-01,Comédie,91,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Alexandra Lamy, Josiane Balasko, Mathilde Seigner",France,Pathé,643 863,"2,9","3,0",979945,8600000.0,Summer
ouistreham,2022-01-12,Drame,107,Emmanuel Carrère,"Emmanuel Carrère, Hélène Devynck","Juliette Binoche, Hélène Lambert, Léa Carne",France,Memento Distribution,126 975,"3,5","4,0",228786,0.0,Winter
pornomelancolía,2023-06-21,Drame,94,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Argentine,Epicentre Films,3 611,"3,5","2,7",6895,0.0,Summer
dunkirk,2017-07-19,"Guerre, Historique, Drame",107,Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Mark Rylance, Tom Hardy",U.S.A.,Warner Bros. France,925 204,"4,1","3,9",1283108,150000000.0,Summer
la sirène,2023-06-28,"Animation, Drame",101,Sepideh Farsi,Javad Djavahery,"Mina Kavani, Hadmidreza Djavdan",France,Bac Films,3 933,"3,5","3,7",85905,0.0,Summer
interstellar,2014-11-05,"Science fiction, Drame",169,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Michael Caine",U.S.A.,Warner Bros. France,1 071 360,"3,8","4,5",2357047,165000000.0,Autumn
mascarade,2022-11-01,Comédie dramatique,134,Nicolas Bedos,Nicolas Bedos,"Pierre Niney, Isabelle Adjani, François Cluzet",France,Pathé,295 895,"2,5","3,6",175856,14000000.0,Autumn
terrible jungle,2020-07-29,"Aventure, Comédie",91,Hugo Benamozig,"David Caviglioli, Hugo Benamozig, David Caviglioli","Catherine Deneuve, Vincent Dedienne, Alice Belaïdi",France,Apollo Films,83 427,"3,7","2,0",149962,0.0,Summer
the super mario bros. movie,2023-04-05,"Animation, Famille, Comédie",92,Aaron Horvath,"Michael Jelenic, Matthew Fogel","Pierre Tessier, Chris Pratt, Jérémie Covillault",U.S.A.,Universal Pictures International France,1 866 914,"3,1","4,1",388285,100000000.0,Spring
l'amour et les forêts,2023-05-24,"Thriller, Drame",105,Valérie Donzelli,"Valérie Donzelli, Audrey Diwan","Virginie Efira, Melvil Poupaud, Dominique Reymond",France,Diaphana Distribution,220 327,"3,8","3,9",187122,0.0,Spring
ant-man and the wasp: quantumania,2023-02-15,"Action, Aventure, Science fiction",121,Peyton Reed,Jeff Loveness,"Paul Rudd, Evangeline Lilly, Michael Douglas",U.S.A.,The Walt Disney Company France,735 356,"2,3","2,5",281409,200000000.0,Winter
sage-homme,2023-03-15,Comédie dramatique,100,Jennifer Devoldere,"Jennifer Devoldere, Cécile Sellam","Karin Viard, Melvin Boomer, Steve Tientcheu",France,Warner Bros. France,279 606,"3,6","4,0",97261,5180000.0,Spring
38°5 quai des orfèvres,2023-06-21,"Comédie, Policier",84,Benjamin Lehrer,Benjamin Lehrer,"Didier Bourdon, Caroline Anglade, Yann Papin",France,KMBO,45 576,"2,3","1,6",165837,3700000.0,Summer
apaches,2023-03-29,"Drame, Historique, Policier",95,Romain Quirot,Romain Quirot,"Alice Isaaz, Niels Schneider, Rod Paradot",Belgique,Tandem,33 659,"2,8","2,9",118594,0.0,Spring
fumer fait tousser,2022-11-30,Comédie,80,Quentin Dupieux,Quentin Dupieux,"Gilles Lellouche, Vincent Lacoste, Anaïs Demoustier",France,Gaumont Distribution,87 446,"3,2","2,7",160072,6009575.0,Autumn
spider-man: across the spider-verse,2023-05-31,"Animation, Action, Fantastique, Aventure",141,Joaquim Dos Santos,"Kemp Powers, Justin Thompson, Phil Lord, Christopher Miller","Stéphane Bak, Shameik Moore, Shirine Boutella",U.S.A.,Sony Pictures Releasing France,550 808,"4,1","4,5",320062,100000000.0,Spring
joy ride,2023-07-05,Comédie,92,Adele Lim,"Cherry Chevapravatdumrong, Teresa Hsiao","Stephanie Hsu, Ashley Park, Sherry Cola",U.S.A.,Metropolitan FilmExport,9 258,"2,9",--,5034,0.0,Summer
maestro(s),2022-12-07,Drame,87,Bruno Chiche,"Bruno Chiche, Yaël Langmann","Yvan Attal, Pierre Arditi,  Miou-Miou",France,"Apollo Films , Orange Studio",111 837,"3,0","3,1",41027,0.0,Winter
king arthur: legend of the sword,2017-05-17,"Action, Aventure, Fantastique",126,Guy Ritchie,"Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law",U.S.A.,Warner Bros. France,362 905,"2,7","3,3",660290,175000000.0,Spring
astérix et obélix : l'empire du milieu,2023-02-01,"Aventure, Comédie",112,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",France,Pathé,1 882 686,"2,4","1,8",413659,72000000.0,Winter
reste un peu,2022-11-16,Comédie,93,Gad Elmaleh,"Gad Elmaleh, Benjamin Charbit","Gad Elmaleh, Régine Elmaleh, David Elmaleh",France,StudioCanal,152 695,"3,7","3,3",203283,0.0,Autumn
moka,2016-08-17,Drame,90,Frédéric Mermoud,"Frédéric Mermoud, Antonin Martin-Hilbert","Emmanuelle Devos, Nathalie Baye, David Clavel",France,Pyramide Distribution,85 331,"3,2","3,0",312926,0.0,Summer
green book,2019-01-23,"Drame, Biopic",130,Peter Farrelly,"Nick Vallelonga, Brian Hayes Currie","Viggo Mortensen, Mahershala Ali, Linda Cardellini",U.S.A.,Metropolitan FilmExport,288 777,"4,0","4,5",1391907,23000000.0,Winter
c’est mon homme,2023-04-05,Drame,87,Guillaume Bureau,Guillaume Bureau,"Leïla Bekhti, Karim Leklou, Louise Bourgoin",France,Bac Films,24 890,"3,1","2,7",129019,0.0,Spring
the gentlemen,2020-02-05,"Policier, Action",113,Guy Ritchie,Guy Ritchie,"Matthew McConaughey, Hugh Grant, Charlie Hunnam",U.S.A.,SND,238 040,"3,5","4,1",878110,22000000.0,Winter
whitney houston: i wanna dance with somebody,2022-12-21,"Biopic, Musical",146,Kasi Lemmons,Anthony McCarten,"Naomi Ackie, Stanley Tucci, Tamara Tunie",U.S.A.,Sony Pictures Releasing France,64 834,"2,5","3,5",54633,50000000.0,Winter
the bad guys,2022-04-06,"Animation, Comédie, Aventure, Famille",100,Pierre Perifel,"Etan Cohen, Hilary Winston","Pierre Niney, Sam Rockwell, Igor Gotesman",U.S.A.,Universal Pictures International France,259 472,"3,6","3,9",186985,80000000.0,Spring
mission: impossible - rogue nation,2015-08-12,"Action, Espionnage",132,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg",U.S.A.,Paramount Pictures France,1 233 768,"3,7","3,9",851732,150000000.0,Summer
avatar,2009-12-16,"Science fiction, Aventure",162,James Cameron,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver",U.S.A.,The Walt Disney Company France,2 648 596,"4,3","4,3",4280602,237000000.0,Winter
la baleine et l'escargote,2020-10-21,"Animation, Famille",40,Max Lang,"Daniel Snaddon, Max Lang, Suzanne Lang (II)","Colette Sodoyez, Diana Rigg, Maia Baran",Grande-Bretagne,Les Films du Préau,40 156,"3,8","3,7",117096,0.0,Autumn
transformers: rise of the beasts,2023-06-07,"Action, Science fiction",128,Steven Caple Jr.,"Jon Hoeber, Erich Hoeber","Anthony Ramos, Dominique Fishback, Luna Lauren Velez",U.S.A.,Paramount Pictures France,451 052,"2,8","3,0",162592,195000000.0,Summer
miraculous - le film,2023-07-05,"Animation, Action, Aventure, Comédie musicale",99,Jeremy Zag,"Jeremy Zag, Bettina López Mendoza","Anouck Hautbois, Benjamin Bollen, Antoine Tomé",France,SND,660 421,"2,7","2,7",183528,86000000.0,Summer
luise,2023-07-05,"Drame, Historique, Romance",99,Matthias Luthardt,"Sebastian Bleyl, Matthias Luthardt","Luise Aschenbrenner, Christa Théret, Leonard Kunz",France,Pyramide Distribution,1 215,"2,8","2,8",83679,0.0,Summer
alibi.com 2,2023-02-08,Comédie,88,Philippe Lacheau,"Philippe Lacheau, Pierre Lacheau","Philippe Lacheau, Élodie Fontan, Tarek Boudali",France,StudioCanal,1 017 788,"3,0","3,9",587346,0.0,Winter
une nuit,2023-07-05,"Romance, Drame",90,Alex Lutz,"Alex Lutz, Karin Viard","Alex Lutz, Karin Viard, Jérôme Pouly",France,StudioCanal,58 679,"3,2","3,4",165192,0.0,Summer
x,2022-11-02,Epouvante-horreur,105,Ti West,Ti West,"Mia Goth, Jenna Ortega, Martin Henderson",U.S.A.,Kinovista,31 224,"3,9","3,0",307904,10000000.0,Autumn
plancha,2022-10-26,Comédie,98,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Lambert Wilson, Franck Dubosc, Guillaume De Tonquédec",France,StudioCanal,271 193,"2,1","2,3",223757,0.0,Autumn
marcel the shell with shoes on,2023-06-14,"Animation, Comédie, Famille",90,Dean Fleischer-Camp,"Dean Fleischer-Camp, Nick Paley","Jenny Slate, Dean Fleischer-Camp, Isabella Rossellini",U.S.A.,L'Atelier Distribution,7 514,"3,8","4,0",16784,0.0,Summer
carmen,2023-06-14,"Drame, Romance",116,Benjamin Millepied,"Benjamin Millepied, Loïc Barrère","Paul Mescal, Melissa Barrera, Rossy de Palma",Australie,Pathé,24 397,"2,5","3,4",17346,0.0,Summer
mission impossible - fallout,2018-08-01,"Action, Espionnage",148,Christopher McQuarrie,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames",U.S.A.,Paramount Pictures France,1 169 669,"3,8","4,0",732995,178000000.0,Summer
sauver ou périr,2018-11-28,Drame,116,Frédéric Tellier,"David Oelhoffen, Frédéric Tellier","Pierre Niney, Anaïs Demoustier, Chloé Stefani",France,Mars Films,338 929,"3,3","4,1",906843,0.0,Autumn
toi non plus tu n'as rien vu,2023-03-08,"Drame, Thriller, Judiciaire",93,Beatrice Pollet,Beatrice Pollet,"Maud Wyler, Géraldine Nakache, Grégoire Colin",France,Jour2fête,4 869,"3,0","3,3",98973,0.0,Spring
cinderella,2015-03-25,"Fantastique, Romance",104,Kenneth Branagh,Chris Weitz,"Lily James, Cate Blanchett, Richard Madden",U.S.A.,The Walt Disney Company France,636 418,"3,0","3,5",818007,2900000.0,Spring
uncharted,2022-02-16,"Aventure, Action",116,Ruben Fleischer,"Rafe Judkins, Art Marcum","Tom Holland, Mark Wahlberg, Sophia Ali",U.S.A.,Sony Pictures Releasing France,955 650,"2,6","3,3",164244,120000000.0,Winter
annie colère,2022-11-30,Comédie dramatique,120,Blandine Lenoir,"Blandine Lenoir, Axelle Ropert","Laure Calamy, Zita Hanrot, India Hair",France,Diaphana Distribution,68 373,"3,8","4,0",159874,3500000.0,Autumn
the boogeyman,2023-05-31,"Epouvante-horreur, Thriller",99,Rob Savage,"Mark Heyman, Scott Beck","Chris Messina, Sophie Thatcher, Vivien Lyra Blair",U.S.A.,The Walt Disney Company France,101 134,"3,2","2,7",55348,41900000.0,Spring
la chambre des merveilles,2023-03-15,Comédie dramatique,98,Lisa Azuelos,"Fabien Suarez, Juliette Sales","Alexandra Lamy, Muriel Robin, Hugo Questel",France,SND,298 308,"3,5","3,9",215080,0.0,Spring
goutte d'or,2023-03-01,Drame,98,Clément Cogitore,Clément Cogitore,"Karim Leklou, Jawad Outouia, Elyes Dkhissi",France,Diaphana Distribution,27 639,"3,8","3,2",113489,0.0,Spring
the meg,2018-08-22,"Thriller, Action",114,Jon Turteltaub,"Dean Georgaris, Jon Hoeber","Jason Statham, Bingbing Li, Rainn Wilson",U.S.A.,Warner Bros. France,710 798,"2,3","2,5",986255,150000000.0,Summer
de grandes espérances,2023-03-22,Drame,105,Sylvain Desclous,"Sylvain Desclous, Pierre Erwan Guillaume","Rebecca Marder, Benjamin Lavernhe, Emmanuelle Bercot",France,"The Jokers , Les Bookmakers",82 734,"3,6","3,8",168560,0.0,Spring
