,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
33,"action,aventure",154,U.S.A.,1089875,3.5,3.6,291164.0,300000000.0,21.36,17.9,21.61,20.88,20.43,Summer,False,0.67,0.0,0,114.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"animation,arts martiaux,action,fantastique",99,Japon,218070,3.0,2.7,153338.0,0.0,19.84,13.26,17.92,14.62,13.38,Autumn,False,0.0,0.0,0,154.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,"policier,drame",105,France,559378,4.3,4.0,1555406.0,0.0,15.65,5.39,9.31,7.99,8.56,Autumn,False,0.0,0.0,0,207.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,"comédie dramatique,drame,comédie",87,France,12196,3.6,3.2,104368.0,4000000.0,11.62,9.04,12.94,11.34,10.78,Spring,False,0.33,0.0,0,95.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"action,aventure,science fiction",121,U.S.A.,735356,2.3,2.5,281289.0,200000000.0,8.3,7.73,9.41,8.59,8.79,Winter,True,0.0,0.0,0,114.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,drame,87,France,111837,3.0,3.1,40794.0,0.0,10.46,0.38,2.52,0.12,0.3,Winter,False,0.0,0.0,0,27.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"action,policier,thriller",177,U.S.A.,1165588,3.9,4.1,330830.0,185000000.0,6.92,5.66,8.07,5.99,5.88,Spring,True,0.33,0.0,0,184.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
40,"animation,fantastique,famille",105,U.S.A.,948846,4.1,4.5,1508099.0,175000000.0,14.04,7.61,6.2,2.63,7.77,Autumn,False,0.0,0.0,0,114.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
41,comédie dramatique,120,France,68373,3.8,4.0,159751.0,3500000.0,13.1,3.52,5.51,4.56,3.89,Autumn,False,0.33,0.0,0,127.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"comédie,comédie dramatique",123,France,630004,3.3,2.7,1326317.0,17900000.0,8.36,8.34,9.95,8.16,8.36,Winter,True,1.0,0.5,1,156.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"drame,thriller",125,U.S.A.,110381,2.6,4.0,115627.0,24000000.0,23.63,20.84,21.53,21.93,20.85,Summer,True,0.0,0.0,0,154.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,"drame,romance",122,France,54381,3.8,4.3,140979.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,False,0.0,0.0,0,129.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,"science fiction,thriller,action",93,U.S.A.,187043,2.0,2.0,65512.0,45000000.0,11.33,10.05,12.91,11.87,10.8,Spring,False,0.33,0.0,0,154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
46,"science fiction,thriller",148,U.S.A.,1305534,4.1,4.5,3783086.0,160000000.0,21.25,18.53,21.11,18.77,18.84,Summer,True,1.0,1.0,1,184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
47,comédie,88,France,126252,3.3,3.6,233691.0,0.0,17.93,9.96,13.45,12.49,10.73,Autumn,True,0.33,0.0,0,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"historique,action",100,France,23152,1.3,3.9,173629.0,0.0,3.85,4.78,5.29,1.31,3.88,Winter,False,0.0,0.0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,comédie,93,France,152695,3.7,3.3,203094.0,0.0,16.65,8.11,10.12,9.87,9.17,Autumn,False,0.0,0.0,0,161.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"biopic,drame",140,France,486242,3.1,4.1,228611.0,0.0,21.78,16.39,18.83,17.76,14.91,Autumn,False,0.0,0.0,0,184.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,epouvante-horreur,147,U.S.A.,61418,3.7,3.5,202264.0,9000000.0,24.1,19.24,23.63,24.16,22.45,Summer,True,0.0,0.0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"action,fantastique,aventure",125,U.S.A.,713308,2.1,2.9,127786.0,200000000.0,22.34,14.78,18.99,19.03,16.89,Autumn,False,0.33,0.0,0,184.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,comédie dramatique,110,France,35020,3.5,3.9,161310.0,0.0,8.3,7.73,9.41,8.59,8.79,Winter,True,0.33,0.0,0,73.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"romance,science fiction,comédie,drame",105,Allemagne,16932,3.1,3.7,76820.0,0.0,20.25,17.73,18.54,20.51,19.48,Summer,False,0.0,0.0,0,95.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
55,action,131,U.S.A.,1529608,3.7,4.3,2331023.0,170000000.0,18.01,13.68,21.53,17.98,15.86,Spring,False,0.67,0.0,0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"drame,biopic,historique",90,Japon,52791,3.2,3.3,188166.0,0.0,14.48,11.15,15.9,14.83,13.54,Spring,True,0.0,0.0,0,23.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,"action,thriller",127,U.S.A.,491067,3.2,3.9,358804.0,90000000.0,25.91,20.83,27.03,27.04,23.63,Summer,True,0.33,0.0,0,154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,"aventure,comédie",91,France,83427,3.7,2.0,149535.0,0.0,24.42,21.63,23.0,23.61,22.88,Summer,True,0.67,0.0,0,43.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,"comédie dramatique,drame,comédie",118,France,332971,3.4,4.1,322035.0,7780000.0,7.96,6.37,6.85,6.71,6.88,Spring,False,0.0,0.5,1,161.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"comédie dramatique,drame,comédie",91,France,180034,3.1,3.9,69214.0,0.0,18.5,11.94,13.75,15.43,13.4,Autumn,False,0.67,0.0,0,156.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,comédie,100,France,192906,4.1,3.9,242321.0,4000000.0,21.78,16.39,18.83,17.76,14.91,Autumn,False,0.33,0.5,1,129.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
