title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Le Pacte des loups,31 janvier 2001,"Aventure, Epouvante-horreur, Historique",2h 30min,Christophe Gans,"Stéphane Cabel, Christophe Gans","Samuel Le Bihan, Mark Dacascos, Jérémie Renier",Interdit aux moins de 12 ans,France,Metropolitan FilmExport,Box Office France,"['07 au 14 février 2001', '14 au 21 février 2001']",1 260 659,821 647,"3,5","3,2",99986
Le Bonheur des uns...,9 septembre 2020,Comédie,1h 40min,Daniel Cohen,"Daniel Cohen, Olivier Dazat","Vincent Cassel, Bérénice Bejo, Florence Foresti",None,France,SND,Box Office France,"['09 au 16 septembre 2020', '16 au 23 septembre 2020']",95 111,70 841,"2,9","2,6",431701
Wild,None,"Drame, Biopic",1h 56min,Jean-Marc Vallée,Nick Hornby,"Reese Witherspoon, Gaby Hoffmann, Laura Dern","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Twentieth Century Fox France,Box Office France,"['14 au 21 janvier 2015', '21 au 28 janvier 2015']",55 632,27 108,"3,0","3,8",379552
L'Arnacoeur,17 mars 2010,"Comédie, Romance",1h 45min,Pascal Chaumeil,"Laurent Zeitoun, Jeremy Doner","Romain Duris, Vanessa Paradis, Julie Ferrier",None,France,Universal Pictures International France,Box Office France,"['17 au 24 mars 2010', '24 au 31 mars 2010']",1 167 598,589 028,"4,0","3,8",2842537
Fifty Shades Of Grey 2: Fifty Shades Darker,8 février 2017,"Romance, Drame, Erotique",1h 58min,James Foley,Niall Leonard,"Dakota Johnson, Jamie Dornan, Bella Heathcote",Interdit aux moins de 12 ans,U.S.A.,Universal Pictures International France,Box Office France,"['08 au 15 février 2017', '15 au 22 février 2017']",1 618 110,793 219,"1,5","2,4",1072849
Rien à foutre,2 mars 2022,"Comédie dramatique, Drame, Comédie",1h 55min,Emmanuel Marre,"Julie Lecoustre, Emmanuel Marre, Julie Lecoustre","Adèle Exarchopoulos, Alexandre Perrier, Mara Taquin",None,France,Condor Distribution,Box Office France,"['02 au 9 mars 2022', '09 au 16 mars 2022']",53 656,33 549,"3,9","2,9",201455
Envole-moi,19 mai 2021,Comédie dramatique,1h 31min,Christophe Barratier,"Christophe Barratier, Matthieu Delaporte","Victor Belmondo, Yoann Eloundou, Gérard Lanvin",None,France,Pathé,Box Office France,"['26 mai au 2 juin 2021', '02 au 9 juin 2021']",54 583,36 458,"2,9","3,4",217042
Sin City,1 juin 2005,"Action, Thriller, Policier",2h 03min,Robert Rodriguez,"Frank Miller, Quentin Tarantino, Robert Rodriguez, Frank Miller","Bruce Willis, Mickey Rourke, Jessica Alba",Interdit aux moins de 12 ans,U.S.A.,Pan Européenne Edition,Box Office France,"['01 au 8 juin 2005', '08 au 15 juin 2005']",430 479,265 764,"3,6","4,0",619001
Un petit frère,1 février 2023,Drame,1h 56min,Léonor Serraille,Léonor Serraille,"Annabelle Lengronne, Stéphane Bak, Kenzo Sambin",None,France,Diaphana Distribution,Box Office France,"['01 au 8 février 2023', '08 au 15 février 2023']",18 993,9 976,"3,5","3,5",16154
The Girl With The Dragon Tattoo,18 janvier 2012,"Policier, Thriller",2h 38min,David Fincher,Steven Zaillian,"Rooney Mara, Daniel Craig, Christopher Plummer",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,Box Office France,"['18 au 25 janvier 2012', '25 janvier au 1 février 2012']",477 509,275 425,"3,8","4,0",2477936
Nos plus belles vacances,7 mars 2012,"Comédie, Famille",1h 34min,Philippe Lellouche,Frédéric Petitjean,"Philippe Lellouche, Julie Gayet, Gérard Darmon",None,France,Pathé,Box Office France,"['07 au 14 mars 2012', '14 au 21 mars 2012']",138 820,110 610,"1,8","2,2",1345358
Sex and the City - The Movie,28 mai 2008,"Comédie, Romance",2h 25min,Michael Patrick King,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['28 mai au 4 juin 2008', '04 au 11 juin 2008']",800 145,466 499,"2,8","2,6",1133488
Red Sparrow,4 avril 2018,"Thriller, Espionnage",2h 21min,Francis Lawrence,Justin Haythe,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Twentieth Century Fox France,Box Office France,"['04 au 11 avril 2018', '11 au 18 avril 2018']",331 963,231 629,"2,8","3,6",728218
The Adventures of Tintin: Secret of the Unicorn,26 octobre 2011,"Aventure, Animation, Action, Famille",1h 47min,Steven Spielberg,"Steven Moffat, Edgar Wright","Jamie Bell, Andy Serkis, Daniel Craig",à partir de 8 ans (children's film),U.S.A.,Sony Pictures Releasing France,Box Office France,"['26 octobre au 2 novembre 2011', '02 au 9 novembre 2011']",3 158 313,927 520,"3,5","3,7",2911272
Caché,5 octobre 2005,"Thriller, Drame",1h 55min,Michael Haneke,Michael Haneke,"Daniel Auteuil, Juliette Binoche, Maurice Bénichou",None,France,Les Films du Losange,Box Office France,"['05 au 12 octobre 2005', '12 au 19 octobre 2005']",170 754,120 186,"4,1","2,7",114351
Rio,13 avril 2011,"Animation, Aventure, Famille",1h 30min,Carlos Saldanha,"Don Rhymer, Earl Richey Jones","Laetitia Casta, Anne Hathaway, Lorànt Deutsch",à partir de 6 ans (children's film),U.S.A.,Twentieth Century Fox France,Box Office France,"['13 au 20 avril 2011', '20 au 27 avril 2011']",600 878,543 021,"3,4","3,9",1575694
Contre-enquête,7 mars 2007,Policier,1h 25min,Franck Mancuso,Franck Mancuso,"Jean Dujardin, Laurent Lucas, Aurélien Recoing",None,France,Pathé,Box Office France,"['07 au 14 mars 2007', '14 au 21 mars 2007']",323 499,346 616,"2,1","3,4",404762
Real Steel,19 octobre 2011,"Science fiction, Action, Drame",2h 07min,Shawn Levy,John Gatins,"Hugh Jackman, Dakota Goyo, Evangeline Lilly",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,"['12 au 19 octobre 2011', '19 au 26 octobre 2011']",15 949,438 587,"2,8","3,7",3131685
She Said,23 novembre 2022,"Drame, Biopic, Judiciaire",2h 09min,Maria Schrader,Rebecca Lenkiewicz,"Carey Mulligan, Zoe Kazan, Patricia Clarkson",None,U.S.A.,Universal Pictures International France,Box Office France,"['23 au 30 novembre 2022', '30 novembre au 7 décembre 2022']",58 007,24 505,"3,6","3,8",138201
Happy End,4 octobre 2017,Drame,1h 48min,Michael Haneke,Michael Haneke,"Isabelle Huppert, Jean-Louis Trintignant, Mathieu Kassovitz",None,France,Les Films du Losange,Box Office France,"['04 au 11 octobre 2017', '11 au 18 octobre 2017']",45 026,17 268,"2,6","2,4",300568
Wonder,20 décembre 2017,"Drame, Famille",1h 51min,Stephen Chbosky,"Steve Conrad, Jack Thorne","Julia Roberts, Jacob Tremblay, Owen Wilson",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['20 au 27 décembre 2017', '27 décembre 2017 au 3 janvier 2018']",82 140,98 300,"3,0","4,2",621958
Mignonnes,19 août 2020,"Drame, Comédie",1h 35min,Maimouna Doucouré,Maimouna Doucouré,"Fathia Youssouf, Medina El Aidi, Esther Gohourou",None,France,Bac Films,Box Office France,"['19 au 26 août 2020', '26 août au 2 septembre 2020']",36 415,22 884,"3,6","2,7",333596
