title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Le Vilain,25 novembre 2009,Comédie,1h 26min,Albert Dupontel,Albert Dupontel,"Albert Dupontel, Catherine Frot, Bouli Lanners",,France,StudioCanal,Box Office France,354789,"3,5","3,2",896597
Ninja Assassin,10 février 2010,"Action, Policier, Thriller",1h 39min,James McTeigue,"Matthew Sand, J. Michael Straczynski"," Rain, Naomie Harris, Sung Kang",,U.S.A.,StudioCanal,Box Office France,41223,"2,8","2,6",661802
Demandez la permission aux enfants !,4 avril 2007,"Comédie, Famille",1h 36min,Eric Civanyan,"Eric Civanyan, Guillaume Breton","Sandrine Bonnaire, Pascal Légitimus, Anne Parillaud",à partir de 10 ans (children's film),France,TFM Distribution,Box Office France,164631,"2,5","2,4",258681
Marius,10 juillet 2013,Comédie dramatique,1h 34min,Daniel Auteuil,Daniel Auteuil,"Daniel Auteuil, Raphaël Personnaz, Jean-Pierre Darroussin",,France,Pathé,Box Office France,125081,"3,3","3,8",258938
Une part d'ombre,22 mai 2019,Thriller,1h 34min,Samuel Tilman,Samuel Tilman,"Fabrizio Rongione, Natacha Régnier, Baptiste Lalieu",,Belgique,Destiny Films,Box Office France,12048,"3,2","2,9",129544
La Fille du puisatier,20 avril 2011,"Drame, Romance",1h 47min,Daniel Auteuil,,"Astrid Bergès-Frisbey, Nicolas Duvauchelle, Daniel Auteuil",,France,Pathé,Box Office France,468552,"2,8","3,6",1144766
Vilaine,12 novembre 2008,Comédie,1h 33min,Jean-Patrick Benes,"Allan Mauduit, Allan Mauduit, Jean-Patrick Benes","Marilou Berry, Frédérique Bel, Pierre-François Martin-Laval",,France,SND,Box Office France,316363,"2,4","2,6",851192
Exorcist: The Beginning,17 novembre 2004,Epouvante-horreur,1h 52min,Renny Harlin,"William Wisher Jr., Caleb Carr","Stellan Skarsgård, James D'Arcy, Remy Sweeney",Interdit aux moins de 12 ans,U.S.A.,Warner Bros. France,Box Office France,168761,"2,3","1,7",180733
Bloodshot,,Action,1h 50min,Dave Wilson (II),"Jeff Wadlow, Eric Heisserer","Vin Diesel, Eiza Gonzalez, Sam Heughan",,U.S.A.,Sony Pictures Releasing France,Box Office US,9176695,"1,5","2,5",113760
Ghosts of Girlfriends Past,17 juin 2009,"Comédie, Romance",1h 40min,Mark Waters,"Jon Lucas, Scott Moore","Jennifer Garner, Matthew McConaughey, Michael Douglas",,U.S.A.,Metropolitan FilmExport,Box Office France,80886,"2,0","2,2",361039
Sentimental,11 août 2021,Comédie dramatique,1h 22min,Cesc Gay,Cesc Gay,"Javier Cámara, Griselda Siciliani, Belén Cuesta",,Espagne,Wild Bunch Distribution,Box Office France,9914,"3,2","3,4",117561
La Vérité si je mens ! Les débuts,16 octobre 2019,Comédie,1h 50min,Michel Munz,"Gérard Bitton, Gérard Bitton, Michel Munz","Yohan Manca, Mickael Lumière, Anton Csaszar",,France,UGC Distribution,Box Office France,127768,"2,4","1,9",641012
Nid de guêpes,6 mars 2002,"Action, Policier",1h 45min,Florent Siri,"Florent Siri, Jean-François Tarnowski","Samy Naceri, Benoît Magimel, Nadia Farès",Interdit aux moins de 12 ans,France,Pathé,Box Office France,149237,"3,2","2,5",29586
Garfield,11 août 2004,"Animation, Aventure, Comédie, Famille",1h 20min,Peter Hewitt,"Alec Sokolow, Joel Cohen","Breckin Meyer, Jennifer Love Hewitt, Virginie Efira",à partir de 8 ans (children's film),U.S.A.,UFD,Box Office France,330637,"2,3","1,8",157461
Midnight Sun,,"Drame, Romance",1h 33min,Scott Speer,Eric Kirsten,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle",,U.S.A.,Paramount Pictures France,Box Office France,49648,"2,0","3,7",468326
Omar m'a tuer,22 juin 2011,"Drame, Policier",1h 25min,Roschdy Zem,"Roschdy Zem, Olivier Gorce","Sami Bouajila, Denis Podalydès, Maurice Bénichou",,France,Mars Films,Box Office France,225575,"3,3","3,7",1657290
Keep the Lights On,22 août 2012,Drame,1h 41min,Ira Sachs,"Ira Sachs, Maurício Zacharias","Thure Lindhardt, Zachary Booth, Julianne Nicholson",Interdit aux moins de 12 ans,U.S.A.,KMBO,Box Office France,5908,"3,5","3,4",225266
Repo Men,14 juillet 2010,"Science fiction, Action, Thriller",1h 51min,Miguel Sapochnik,"Eric Garcia, Garrett Lerner","Jude Law, Forest Whitaker, Alice Braga",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Universal Pictures International France,Box Office France,12880,"2,6","3,1",478325
The Kid Who Would Be King,10 avril 2019,"Famille, Fantastique, Aventure",2h 00min,Joe Cornish,Joe Cornish,"Louis Serkis, Tom Taylor (IV), Rebecca Ferguson",à partir de 10 ans (children's film),Grande-Bretagne,Twentieth Century Fox France,Box Office France,55705,"3,1","2,3",240381
Sofia,5 septembre 2018,Drame,1h 20min,Meryem Benm’Barek,Meryem Benm’Barek,"Maha Alemi, Sarah Perles, Hamza Khafif",,France,Memento Distribution,Box Office France,32198,"3,8","3,6",277849
Thelma,22 novembre 2017,"Drame, Fantastique, Epouvante-horreur",1h 56min,Joachim Trier,"Joachim Trier, Eskil Vogt","Eili Harboe, Kaya Wilkins, Henrik Rafaelsen","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Norvège,Le Pacte,Box Office France,22109,"3,3","3,4",577039
Eva,21 mars 2012,"Drame, Fantastique, Science fiction",1h 34min,Kike Maillo,"Sergi Belbel, Cristina Clemente","Daniel Brühl, Marta Etura, Alberto Ammann",,France,Wild Bunch Distribution,Box Office France,9556,"3,3","3,6",514268
Speed Racer,18 juin 2008,"Action, Science fiction, Aventure",2h 15min,Lilly Wachowski,"Lana Wachowski, Lilly Wachowski, Lana Wachowski","Emile Hirsch, Christina Ricci, John Goodman",à partir de 8 ans (children's film),U.S.A.,Warner Bros. France,Box Office France,61860,"2,7","2,7",271705
Disney's A Christmas Carol,25 novembre 2009,Animation,1h 36min,Robert Zemeckis,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth",à partir de 10 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,87220,"3,2","3,5",1637509
Secret Défense,10 décembre 2008,"Espionnage, Action",1h 40min,Philippe Haïm,"Philippe Haïm, Julien Sibony","Vahina Giocante, Nicolas Duvauchelle, Gérard Lanvin","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,UGC,Box Office France,200972,"3,3","3,2",488681
Incognito,29 avril 2009,Comédie,1h 34min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Bruno Bénabar, Franck Dubosc, Jocelyn Quivrin",,France,Pathé,Box Office France,450026,"2,9","3,1",835035
The Informant!,30 septembre 2009,"Comédie, Thriller",1h 47min,Steven Soderbergh,Scott Z. Burns,"Matt Damon, Scott Bakula, Joel McHale",,U.S.A.,Warner Bros. France,Box Office France,122564,"3,0","2,2",279804
The Last Song,,"Drame, Romance",1h 43min,Julie Anne Robinson,"Nicholas Sparks, Jeff Van Wie","Miley Cyrus, Liam Hemsworth, Greg Kinnear",,U.S.A.,1 nomination,Box Office US,16203000,"3,7",--,172742
Premonition,29 août 2007,Drame,1h 40min,Mennan Yapo,Bill Kelly,"Sandra Bullock, Julian McMahon, Shyann McClure",,U.S.A.,TFM Distribution,Box Office France,98795,"1,8","2,4",198180
"Très bien, merci",25 avril 2007,Comédie dramatique,1h 40min,Emmanuelle Cuau,Agnès Caffin,"Gilbert Melki, Sandrine Kiberlain, Olivier Cruveiller",,France,Gémini Films,Box Office France,70742,"4,2","2,5",236899
Tove,1 mars 2023,Biopic,1h 43min,Zaida Bergroth,Eeva Putro,"Alma Pöysti, Krista Kosonen, Shanti Roney",,Finlande,Outplay Films,Box Office France,2306,"2,8","3,1",70761
Lolo,28 octobre 2015,Comédie,1h 40min,Julie Delpy,"Julie Delpy, Eugénie Grandval","Julie Delpy, Dany Boon, Vincent Lacoste",,France,Mars Films,Box Office France,443169,"3,2","2,5",810683
4: Rise of the Silver Surfer,8 août 2007,"Action, Aventure, Fantastique, Science fiction",1h 32min,Tim Story,"Don Payne, Mark Frost","Ioan Gruffudd, Jessica Alba, Chris Evans",,U.S.A.,Twentieth Century Fox France,Box Office France,710287,"2,3","2,3",668059
The Beaver,25 mai 2011,Drame,1h 31min,Jodie Foster,Kyle Killen,"Mel Gibson, Jodie Foster, Anton Yelchin",,U.S.A.,SND,Box Office France,91336,"3,2","3,5",1152927
"Les Premiers, les Derniers",27 janvier 2016,"Drame, Comédie",1h 37min,Bouli Lanners,Bouli Lanners,"Albert Dupontel, Bouli Lanners, Suzanne Clément",,France,Wild Bunch Distribution,Box Office France,38665,"3,8","3,4",364984
Avril et le monde truqué,4 novembre 2015,"Animation, Aventure, Comédie",1h 45min,Franck Ekinci,"Christian Desmares, Franck Ekinci, Christian Desmares","Marion Cotillard, Philippe Katerine, Jean Rochefort",à partir de 10 ans (children's film),France,StudioCanal,Box Office France,39222,"3,7","4,0",648349
Yut doi jung si,17 avril 2013,"Biopic, Arts Martiaux, Action",2h 03min,Wong Kar-Wai,"Xu Haofeng, Jingzhi Zou","Tony Leung Chiu-Wai, Ziyi Zhang, Chen Chang",,Hong-Kong,Wild Bunch Distribution,Box Office France,168364,"3,6","3,3",468362
Pandakopanda amefuri saakasu no maki,14 octobre 2009,Animation,1h 21min,Isao Takahata,Hayao Miyazaki,"Kazuko Sugiyama, Camille Donda, Philippe Catoire",à partir de 6 ans (children's film),Japon,Gebeka Films,Box Office France,15866,"3,6","3,3",102506
Bowling,18 juillet 2012,Comédie,1h 30min,Marie-Castille Mention-Schaar,"Marie-Castille Mention-Schaar, Jean-Marie Duprez","Catherine Frot, Mathilde Seigner, Firmine Richard",,France,Pathé,Box Office France,8310,"2,3","2,5",1315690
L'Antidote,30 mars 2005,Comédie,1h 47min,Vincent de Brus,"Arnaud Lemort, Eric Besnard","Christian Clavier, Jacques Villeret, Agnès Soral",,France,Warner Bros. France,Box Office France,302414,"2,9","1,7",103282
Yves,26 juin 2019,Comédie,1h 47min,Benoit Forgeard,"Benoit Forgeard, Alain Layrac","William Lebghil, Doria Tillier, Philippe Katerine",,France,Le Pacte,Box Office France,38552,"3,4","2,1",412651
Final Destination 2,9 avril 2003,"Epouvante-horreur, Thriller",1h 30min,David R. Ellis,"Eric Bress, J. Mackye Gruber","Ali Larter, A.J. Cook, Michael Landes",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,333830,"3,5","2,8",93889
Ni le ciel ni la terre,30 septembre 2015,"Guerre, Fantastique, Drame",1h 40min,Clément Cogitore,Clément Cogitore,"Jérémie Renier, Kévin Azaïs, Swann Arlaud",,France,Diaphana Distribution,Box Office France,18127,"3,7","3,1",376795
The Last Stand,23 janvier 2013,"Action, Thriller",1h 47min,Kim Jee-Woon,"Andrew Knauer, Jeffrey Nachmanoff","Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,Box Office France,156206,"2,6","3,2",623588
L'Homme de la cave,13 octobre 2021,"Thriller, Drame",1h 54min,Philippe Le Guay,"Philippe Le Guay, Gilles Taurand","François Cluzet, Jérémie Renier, Bérénice Bejo",,France,Ad Vitam,Box Office France,30792,"2,6","2,4",50435
Mais qui a re-tué Pamela Rose ?,5 décembre 2012,Comédie,1h 38min,Kad Merad,"Olivier Baroux, Kad Merad, Olivier Baroux","Kad Merad, Olivier Baroux, Omar Sy",,France,Gaumont Distribution,Box Office France,8891,"3,2","2,5",1193842
L'Esprit de famille,29 janvier 2020,"Comédie, Drame",1h 39min,Eric Besnard,,"Guillaume De Tonquédec, François Berléand, Josiane Balasko",,France,Apollo Films,Box Office France,122373,"2,6","2,3",288892
Bulletproof Monk,13 août 2003,Action,1h 43min,Paul Hunter (III),"Ethan Reiff, Cyrus Voris","Marcus Jean Pirae,  Mako, Roger Yuan",,U.S.A.,UFD,Box Office US,8600000,"2,8","2,0",21566
Tully,27 juin 2018,"Drame, Comédie",1h 36min,Jason Reitman,Diablo Cody,"Charlize Theron, Mackenzie Davis, Ron Livingston",,U.S.A.,Mars Films,Box Office France,46480,"3,6","3,4",388344
Chasing Mavericks,28 novembre 2012,Drame,1h 56min,Michael Apted,"Curtis Hanson, Brandon Hooper, Kario Salem","Gerard Butler, Jonny Weston, Elisabeth Shue",,U.S.A.,Twentieth Century Fox France,Box Office France,25259,"2,0","4,0",413706
Mediterranean Fever,14 décembre 2022,"Drame, Comédie",1h 54min,Maha Haj,Maha Haj,"Amer Hlehel, Ashraf Farah, Anat Hadid",,Palestine,Dulac Distribution,Box Office France,5745,"3,5","3,3",55889
The Guernsey Literary And Potato Peel Pie Society,13 juin 2018,"Drame, Historique",2h 04min,Mike Newell,"Don Roos, Thomas Bezucha","Lily James, Michiel Huisman, Matthew Goode",,Grande-Bretagne,StudioCanal,Box Office France,61610,"2,7","3,8",216278
Johnny English Reborn,19 octobre 2011,"Comédie, Espionnage",1h 41min,Oliver Parker,Hamish McColl,"Rowan Atkinson, Gillian Anderson, Dominic West",à partir de 6 ans (children's film),France,StudioCanal,Box Office France,184368,"2,7","2,8",1514422
16 ans ou presque,18 décembre 2013,Comédie,1h 28min,Tristan Séguéla,"Jean-Baptiste Delafon, Eric Benzekri","Laurent Lafitte, Christophe Malavoy, Judith El Zein",,France,UGC Distribution,Box Office France,196500,"1,8","2,4",786444
Rupan sansei: Kariosutoro no shiro,,"Animation, Aventure",1h 40min,Hayao Miyazaki,"Haruya Yamazaki, Hayao Miyazaki","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi",à partir de 8 ans (children's film),Japon,Splendor Films,Box Office France,3360,"4,0","3,9",81585
Enfermés dehors,5 avril 2006,Comédie,1h 28min,Albert Dupontel,Albert Dupontel,"Albert Dupontel, Claude Perron, Nicolas Marié",,France,UGC,Box Office France,255592,"3,9","3,0",264696
Un Varón,15 mars 2023,Drame,1h 22min,Fabián Hernández,Fabián Hernández,"Felipe Ramirez, Juanita Carrillo Orti, Diego Alexander Mayorga",,Colombie,Destiny Films,Box Office France,2608,"3,6","3,4",4212
El robo del siglo,8 septembre 2021,"Comédie, Policier",1h 54min,Ariel Winograd,"Alex Zito, Fernando Araujo","Guillermo Francella, Diego Peretti, Juan Alari",,Argentine,Eurozoom,Box Office France,5589,"3,4","3,8",10923
Neighbors,6 août 2014,Comédie,1h 37min,Nicholas Stoller,"Andrew Jay Cohen, Brendan O'Brien","Seth Rogen, Rose Byrne, Zac Efron",,U.S.A.,Universal Pictures International France,Box Office France,309858,"2,2","2,4",560086
Premium Rush,5 septembre 2012,"Action, Thriller",1h 31min,David Koepp,"David Koepp, John Kamps","Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez",,U.S.A.,Sony Pictures Releasing France,Box Office France,67023,"3,0","3,2",625772
L'Etudiante et Monsieur Henri,7 octobre 2015,Comédie,1h 35min,Ivan Calbérac,Ivan Calbérac,"Claude Brasseur, Guillaume De Tonquédec, Noémie Schmidt",,France,StudioCanal,Box Office France,194469,"3,4","3,9",506241
Mon Garçon,20 septembre 2017,Thriller,1h 24min,Christian Carion,"Christian Carion, Laure Irmann","Guillaume Canet, Mélanie Laurent, Olivier De Benoist","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Diaphana Distribution,Box Office France,150450,"2,9","2,9",520256
Carriers,26 mai 2010,"Drame, Epouvante-horreur",1h 24min,Àlex Pastor,"David Pastor, Àlex Pastor, David Pastor","Chris Pine, Piper Perabo, Lou Taylor Pucci","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,Box Office France,56944,"2,8","2,2",477234
Das Weiße Band - Eine deutsche Kindergeschichte,21 octobre 2009,Drame,2h 24min,Michael Haneke,Michael Haneke,"Christian Friedel, Ernst Jacobi, Leonie Benesch","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Autriche,Les Films du Losange,Box Office France,164012,"4,1","3,6",330016
The Wicker Man,,"Epouvante-horreur, Drame, Thriller",1h 42min,Neil LaBute,Neil LaBute,"Nicolas Cage, Ellen Burstyn, Kate Beahan","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,6 nominations,Box Office US,9610204,"1,6",--,81724
Anoko wa kizoku,30 mars 2022,Drame,2h 05min,Yukiko Sode,Yukiko Sode,"Mugi Kadowaki, Kiko Mizuhara, Kengo Kora",,Japon,Art House,Box Office France,28303,"3,5","3,8",225456
Les Fantômes d’Ismaël,17 mai 2017,"Thriller, Drame, Romance",1h 54min,Arnaud Desplechin,"Arnaud Desplechin, Julie Peyr","Mathieu Amalric, Marion Cotillard, Charlotte Gainsbourg",,France,Le Pacte,Box Office France,173994,"4,0","2,2",446582
Teenage Mutant Ninja Turtles: Out of the Shadows,29 juin 2016,"Aventure, Action",1h 53min,Dave Green,"Josh Appelbaum, André Nemec","Megan Fox, Stephen Amell, Noel Fisher",,U.S.A.,Paramount Pictures France,Box Office France,433446,"2,1","2,8",41999
Astro Boy,9 décembre 2009,Animation,1h 35min,David Bowers,Timothy Harris,"Freddie Highmore, Nicolas Cage, Charlize Theron",à partir de 8 ans (children's film),U.S.A.,SND,Box Office France,82811,"3,0","3,0",260841
Les Tuche 2 - Le rêve américain,3 février 2016,Comédie,1h 34min,Olivier Baroux,"Philippe Mechelen, Lionel Dutemple","Jean-Paul Rouve, Isabelle Nanty, Claire Nadeau",,France,Pathé,Box Office France,1502557,"2,8","2,2",1623336
Les Petits princes,26 juin 2013,Comédie dramatique,1h 30min,Vianney Lebasque,"Vianney Lebasque, Mathieu Gompel","Paul Bartel (II), Reda Kateb, Eddy Mitchell",,France,EuropaCorp Distribution,Box Office France,51962,"3,2","4,0",329316
Dumb and Dumber To,17 décembre 2014,Comédie,1h 49min,Bobby Farrelly,"Peter Farrelly, Sean Anders, Mike Cerrone","Jim Carrey, Jeff Daniels, Rob Riggle",,U.S.A.,Metropolitan FilmExport,Box Office France,147054,"2,9","2,7",352411
Streams,26 avril 2023,"Drame, Thriller",2h 02min,Mehdi Hmili,Mehdi Hmili,"Afef Ben Mahmoud, Zeineb Sawen, Iheb Bouyahia",Interdit aux moins de 12 ans,Tunisie,La Vingt-Cinquième Heure,Box Office France,1039,"3,0","3,4",81335
We Are Your Friends,26 août 2015,"Drame, Musical, Romance",1h 36min,Max Joseph,"Max Joseph, Meaghan Oppenheimer","Zac Efron, Emily Ratajkowski, Wes Bentley","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,StudioCanal,Box Office France,86658,"3,5","3,6",296505
Boule & Bill,27 février 2013,"Comédie, Famille",1h 25min,Alexandre Charlot,"Franck Magnier, Alexandre Charlot, Franck Magnier","Franck Dubosc, Marina Foïs, Charles Crombez",à partir de 8 ans (children's film),France,StudioCanal,Box Office France,871475,"1,5","1,6",863274
Leave No Trace,19 septembre 2018,Drame,1h 49min,Debra Granik,"Debra Granik, Anne Rosellini","Thomasin McKenzie, Ben Foster, Jeff Kober",,U.S.A.,Condor Distribution,Box Office France,21684,"3,7","4,0",162431
Doctor sleep,5 mai 2004,"Fantastique, Thriller",1h 45min,Nick Willing,"William Brookfield, Nick Willing","Goran Visnjic, Shirley Henderson, Paddy Considine",Interdit aux moins de 12 ans,Grande-Bretagne,First Look Pictures Releasing,Box Office France,63259,"3,1","2,1",14509
The Ruins,11 juin 2008,"Thriller, Epouvante-horreur",1h 31min,Carter Smith,Scott B. Smith,"Jonathan Tucker, Jena Malone, Laura Ramsey",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office US,8003421,"3,3","2,6",223574
Arès,23 novembre 2016,"Action, Science fiction",1h 20min,Jean-Patrick Benes,"Jean-Patrick Benes, Allan Mauduit","Ola Rapace, Micha Lescot, Thierry Hancisse",Interdit aux moins de 12 ans,France,Gaumont Distribution,Box Office France,18577,"3,1","3,4",227843
Possessor,,"Thriller, Science fiction, Epouvante-horreur",1h 44min,Brandon Cronenberg,Brandon Cronenberg,"Andrea Riseborough, Christopher Abbott, Rossif Sutherland",,Canada,The Jokers / Les Bookmakers,Box Office US,227500,"3,9","2,4",21066
A Wrinkle In Time,14 mars 2018,"Fantastique, Famille",1h 50min,Ava DuVernay,Jennifer Lee,"Storm Reid, Oprah Winfrey, Reese Witherspoon",,U.S.A.,The Walt Disney Company France,Box Office France,198760,"1,6","1,5",276960
Le Passé,17 mai 2013,Drame,2h 10min,Asghar Farhadi,Asghar Farhadi,"Bérénice Bejo, Tahar Rahim, Ali Mosaffa",,France,Memento Distribution,Box Office France,260761,"4,2","3,8",872215
Peppermint,12 septembre 2018,"Thriller, Action",1h 35min,Pierre Morel,Chad St. John,"Jennifer Garner, John Ortiz, John Gallagher Jr.",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,85402,"2,8","3,4",207330
L'Apparition,14 février 2018,Drame,2h 24min,Xavier Giannoli,Xavier Giannoli,"Vincent Lindon, Galatea Bellugi, Patrick d'Assumçao",,France,Memento Distribution,Box Office France,150810,"3,5","3,3",445419
Atlantique,2 octobre 2019,Drame,1h 45min,Mati Diop,"Mati Diop, Olivier Demangel","Mama Sané, Ibrahima Traore, Abdou Balde",,France,Ad Vitam,Box Office France,32846,"3,3","3,3",93225
The Nutcracker and the Four Realms,28 novembre 2018,"Fantastique, Famille",1h 39min,Lasse Hallström,"Joe Johnston, Ashleigh Powell","Mackenzie Foy, Keira Knightley, Helen Mirren",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,254939,"2,4","2,8",387733
Trouble Every Day,11 juillet 2001,"Thriller, Epouvante-horreur, Erotique",1h 41min,Claire Denis,"Claire Denis, Jean-Pol Fargeau","Vincent Gallo, Tricia Vessey, Béatrice Dalle",Interdit aux moins de 16 ans,France,Rezo Films,Box Office France,43106,"4,2","2,5",37483
The Break Up,21 juin 2006,"Comédie, Romance",1h 46min,Peyton Reed,"Jeremy Garelick, Jay Lavender","Jennifer Aniston, Vince Vaughn, Jason Bateman",,U.S.A.,United International Pictures (UIP),Box Office France,291432,"2,1","2,0",136382
Le Traducteur,13 octobre 2021,"Thriller, Drame",1h 45min,Rana Kazkaz,"Anas Khalaf, Rana Kazkaz, Magali Negroni","Ziad Bakri, Yumna Marwan, David Field",,Syrie,Alba Films,Box Office France,2975,"3,2","2,9",119601
Runner Runner,25 septembre 2013,"Thriller, Policier",1h 32min,Brad Furman,"Brian Koppelman, David Levien","Justin Timberlake, Ben Affleck, Gemma Arterton",,U.S.A.,Twentieth Century Fox France,Box Office France,178703,"1,9","2,5",583213
The Bank Job,6 août 2008,"Policier, Thriller",1h 40min,Roger Donaldson,"Dick Clement, Ian La Frenais","Jason Statham, Saffron Burrows, Stephen Campbell-Moore",,U.S.A.,Metropolitan FilmExport,Box Office France,183237,"3,8","3,5",532564
Black Gold,23 novembre 2011,"Aventure, Drame",2h 09min,Jean-Jacques Annaud,"Jean-Jacques Annaud, Menno Meyjes","Tahar Rahim, Mark Strong, Antonio Banderas",,France,Warner Bros. France,Box Office France,150639,"2,6","3,2",1107064
Good Kill,22 avril 2015,Thriller,1h 42min,Andrew Niccol,Andrew Niccol,"Ethan Hawke, Bruce Greenwood, Zoë Kravitz",,U.S.A.,TF1 Vidéo,Box Office France,56489,"2,6","3,1",280206
Tendre Et Saignant,19 janvier 2022,"Comédie, Romance",1h 31min,Christopher Thompson,"Christopher Thompson, Fabrice Roger-Lacan","Géraldine Pailhas, Arnaud Ducret, Alison Wheeler",,France,Orange Studio Distribution / UGC Distribution,Box Office France,72295,"2,9","2,9",206072
La Vénus à la fourrure,13 novembre 2013,"Comédie, Drame",1h 33min,Roman Polanski,"Roman Polanski, David Ives","Emmanuelle Seigner, Mathieu Amalric",,France,Mars Films,Box Office France,121751,"4,1","3,9",450279
Ooops ! Noah is gone,9 décembre 2015,"Animation, Aventure",1h 26min,Toby Genkel,"Sean McCormack (II), Mark Hodkinson, Toby Genkel","Catherine Conet, Tara Flynn, Sébastien Hebrant",à partir de 6 ans (children's film),Allemagne,Paradis Films,Box Office France,97019,"3,2","3,2",432414
Wall Street: Money Never Sleeps,29 septembre 2010,Drame,2h 11min,Oliver Stone,"Allan Loeb, Stephen Schiff","Michael Douglas, Shia LaBeouf, Josh Brolin",,U.S.A.,Twentieth Century Fox France,Box Office France,292351,"2,3","2,5",1039394
High Crimes,10 juillet 2002,Thriller,1h 55min,Carl Franklin,"Yuri Zeltser, Grace Cary Bickley","Ashley Judd, Morgan Freeman, Amanda Peet",,U.S.A.,UFD,Box Office France,139400,"2,7","2,6",27846
Lobo e cão,12 avril 2023,Drame,1h 51min,Claudia Varejão,Claudia Varejão,"Ana Cabral, Ruben Pimenta, Cristiana Branquinho",,Portugal,Epicentre Films,Box Office France,974,"3,8","3,5",3055
The Night,,"Drame, Thriller, Epouvante-horreur",1h 45min,Kourosh Ahari,Kourosh Ahari,"Shahab Hosseini, Niousha Noor, George Maguire (II)",,U.S.A.,First International Production,Box Office US,11010,"1,7",--,12662
Gulliver's Travels,,"Aventure, Comédie",1h 25min,Rob Letterman,"Joe Stillman, Nicholas Stoller","Jack Black, Jason Segel, Emily Blunt",à partir de 8 ans (children's film),U.S.A.,Twentieth Century Fox France,Box Office France,303203,"1,7","1,8",1034513
Demi-sœurs,30 mai 2018,Comédie,1h 45min,Saphia Azzeddine,"François-Régis Jeanne, Saphia Azzeddine","Sabrina Ouazani, Alice David, Charlotte Gabris",,France,SND,Box Office France,105640,"3,0","2,8",642903
Hasta la vista,7 mars 2012,Comédie dramatique,1h 53min,Geoffrey Enthoven,Pierre De Clercq,"Robrecht Vanden Thoren, Johan Heldenbergh, Gilles De Schrijver",,Belgique,Les Films 13,Box Office France,1090,"3,5","4,2",1262635
Wish Upon,26 juillet 2017,"Epouvante-horreur, Thriller, Fantastique",1h 30min,John R. Leonetti,Barbara Marshall (II),"Joey King, Ryan Phillippe, Ki Hong Lee",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office France,167240,"2,0","2,0",328071
The Pink Panther,8 mars 2006,"Comédie, Policier, Romance",1h 35min,Shawn Levy,"Len Blum, Steve Martin","Kevin Kline, Steve Martin, Beyoncé Knowles-Carter",,U.S.A.,Twentieth Century Fox France,Box Office France,250854,"2,3","1,9",179856
Jobs,21 août 2013,"Biopic, Drame",2h 13min,Joshua Michael Stern,Matt Whiteley,"Ashton Kutcher, Dermot Mulroney, Josh Gad",,U.S.A.,Metropolitan FilmExport,Box Office France,141241,"1,8","2,8",357515
Lune de Miel,12 juin 2019,Comédie,1h 28min,Elise Otzenberger,Elise Otzenberger,"Judith Chemla, Arthur Igual, Brigitte Roüan",,France,Le Pacte,Box Office France,20178,"3,0","2,7",224303
The X Files,21 octobre 1998,"Fantastique, Thriller",2h 01min,Rob Bowman,"Chris Carter, Frank Spotnitz","Jeffrey DeMunn, Martin Landau, Blythe Danner",,Canada,UFD,Box Office France,100301,"2,9",--,68106
Les Confins du monde,5 décembre 2018,Drame,1h 43min,Guillaume Nicloux,"Jérôme Beaujour, Guillaume Nicloux","Gaspard Ulliel, Guillaume Gouix, Lang-Khê Tran",Interdit aux moins de 12 ans avec avertissement,France,Ad Vitam,Box Office France,22746,"3,7","3,0",225050
Underworld : Awakening,8 février 2012,"Action, Fantastique, Epouvante-horreur",1h 30min,Måns Mårlind,"Björn Stein, Len Wiseman, John Hlavin","Kate Beckinsale, Theo James, India Eisley",Interdit aux moins de 12 ans,U.S.A.,SND,Box Office France,270145,"2,6","3,2",1691805
