title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
The Courier,23 juin 2021,"Drame, Espionnage, Thriller, Biopic",1h 52min,Dominic Cooke,Tom O'Connor (II),"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan",,Grande-Bretagne,SND,Box Office France,103555,"3,1","3,9",193011
"Percy Jackson: Sea of Monsters
",14 août 2013,"Fantastique, Aventure",1h 46min,Thor Freudenthal,"Marc Guggenheim, Larry Karaszewski","Logan Lerman, Brandon T. Jackson, Alexandra Daddario",à partir de 8 ans (children's film),U.S.A.,Twentieth Century Fox France,Box Office France,549325,"2,0","2,8",599572
Wasp Network,29 janvier 2020,"Espionnage, Thriller",2h 07min,Olivier Assayas,Olivier Assayas,"Penélope Cruz, Édgar Ramírez, Gael García Bernal",,France,Memento Distribution,Box Office France,89408,"3,2","2,9",346609
Duplex,7 juillet 2004,Comédie,1h 29min,Danny DeVito,Larry Doyle,"Ben Stiller, Drew Barrymore, Eileen Essell",,U.S.A.,TFM Distribution,Box Office France,101217,"3,3","2,6",77366
Maleficent: Mistress of Evil,16 octobre 2019,"Fantastique, Aventure",1h 59min,Joachim Rønning,"Linda Woolverton, Noah Harpster","Angelina Jolie, Elle Fanning, Harris Dickinson",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,786485,"2,7","3,6",363073
Spies In Disguise,25 décembre 2019,"Animation, Action",1h 40min,Nick Bruno,"Troy Quane, Brad Copeland, Lloyd Taylor","Daniel Njo Lobé, Will Smith, Julien Crampon",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,442565,"3,3","3,5",606146
The Squid and the Whale,12 juillet 2006,Comédie dramatique,1h 21min,Noah Baumbach,Noah Baumbach,"Jeff Daniels, Laura Linney, Jesse Eisenberg",,U.S.A.,Gaumont Columbia Tristar Films,Box Office France,23831,"3,9","2,9",44854
Une femme du monde,8 décembre 2021,Drame,1h 35min,Cécile Ducrocq,Cécile Ducrocq,"Laure Calamy, Nissim Renard, Béatrice Facquer","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Tandem,Box Office France,21018,"3,6","3,7",95393
Notre jour viendra,15 septembre 2010,Comédie dramatique,1h 35min,Romain Gavras,"Romain Gavras, Karim Boukercha","Vincent Cassel, Olivier Barthelemy, Justine Lerooy",Interdit aux moins de 12 ans,France,UGC Distribution,Box Office France,20368,"1,9","2,9",459870
Divorce Club,14 juillet 2020,Comédie,1h 48min,Michaël Youn,"Matt Alexander, Michaël Youn","Arnaud Ducret, François-Xavier Demaison, Audrey Fleurot",,France,SND,Box Office France,242669,"3,1","2,4",533033
